,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1880.00000,480.00000,653.00000,1133.00000,48.00000,-37.00000,-12.00000,-112.00000,2832.00000,-763.00000,,,,4.00000,-759.00000,-322.00000,,-322.00000,-527.00000,-527.00000,-1617.00000,-25.00000,-2491.00000,-418.00000,33.00000,-1617.00000
2021-12-31,2607.00000,477.00000,144.00000,621.00000,42.00000,-77.00000,-25.00000,53.00000,3159.00000,-590.00000,261.00000,,,4.00000,-325.00000,-375.00000,,-375.00000,-49.00000,-49.00000,-884.00000,-22.00000,-1330.00000,1504.00000,30.00000,-884.00000
2020-12-31,797.00000,472.00000,431.00000,903.00000,-76.00000,-25.00000,-4.00000,-122.00000,1529.00000,-706.00000,526.00000,,,365.00000,185.00000,-760.00000,-230.00000,-990.00000,33.00000,33.00000,-381.00000,-20.00000,-1358.00000,356.00000,30.00000,-381.00000
2019-12-31,-76.00000,510.00000,557.00000,1067.00000,46.00000,-23.00000,6.00000,66.00000,966.00000,-384.00000,297.00000,,,274.00000,187.00000,-75.00000,-195.00000,-270.00000,-47.00000,-47.00000,-1013.00000,-18.00000,-1348.00000,-195.00000,30.00000,-1013.00000
2018-12-31,748.00000,486.00000,486.00000,972.00000,-41.00000,-14.00000,-18.00000,-227.00000,1112.00000,-427.00000,,,,-13.00000,-440.00000,-271.00000,425.00000,154.00000,-314.00000,-314.00000,-995.00000,-7.00000,-1162.00000,-490.00000,42.00000,-995.00000
2017-12-31,582.00000,521.00000,206.00000,727.00000,-85.00000,-39.00000,-12.00000,-30.00000,1201.00000,-216.00000,403.00000,,,180.00000,367.00000,-606.00000,,-606.00000,128.00000,128.00000,-941.00000,-1.00000,-1420.00000,148.00000,40.00000,-941.00000
2016-12-31,1027.00000,565.00000,-887.00000,-322.00000,-54.00000,61.00000,5.00000,129.00000,735.00000,-510.00000,2486.00000,,,583.00000,2559.00000,-725.00000,,-725.00000,-1942.00000,-1942.00000,-954.00000,-9.00000,-3630.00000,-336.00000,60.00000,-932.00000
2015-12-31,506.00000,479.00000,168.00000,647.00000,12.00000,10.00000,18.00000,5.00000,1075.00000,-519.00000,,,,32.00000,-487.00000,,,,-484.00000,-484.00000,-663.00000,-9.00000,-1156.00000,-568.00000,31.00000,-619.00000
2014-12-31,1826.00000,500.00000,-910.00000,-410.00000,29.00000,-66.00000,-97.00000,-156.00000,1109.00000,-367.00000,707.00000,,,21.00000,361.00000,887.00000,,887.00000,-84.00000,-84.00000,-607.00000,-921.00000,-725.00000,745.00000,40.00000,-563.00000
2013-12-31,563.00000,472.00000,434.00000,906.00000,-27.00000,-13.00000,-210.00000,-307.00000,1004.00000,-273.00000,-1581.00000,,,25.00000,-1829.00000,-523.00000,7.00000,-516.00000,1059.00000,1728.00000,-481.00000,31.00000,762.00000,-63.00000,42.00000,-458.00000
2012-12-31,384.00000,456.00000,76.00000,532.00000,-33.00000,-54.00000,-87.00000,-229.00000,581.00000,-285.00000,80.00000,,,13.00000,-192.00000,-187.00000,-32.00000,-219.00000,112.00000,112.00000,-334.00000,-3.00000,-444.00000,-55.00000,37.00000,-334.00000
2011-12-31,331.00000,480.00000,-94.00000,386.00000,-53.00000,-46.00000,-13.00000,-282.00000,291.00000,121.00000,,,,1.00000,122.00000,-583.00000,2.00000,-581.00000,1.00000,1.00000,-323.00000,-24.00000,-927.00000,-514.00000,25.00000,-323.00000
2010-12-31,1283.00000,503.00000,-1294.00000,-791.00000,-67.00000,-30.00000,1.00000,434.00000,689.00000,-17.00000,,49.00000,49.00000,132.00000,164.00000,-632.00000,-14.00000,-646.00000,,,-608.00000,-1.00000,-1255.00000,-402.00000,24.00000,-608.00000
2009-12-31,-568.00000,538.00000,178.00000,716.00000,93.00000,251.00000,161.00000,-320.00000,-203.00000,132.00000,,92.00000,92.00000,52.00000,276.00000,-335.00000,-30.00000,-365.00000,-2.00000,-2.00000,-127.00000,-4.00000,-498.00000,-425.00000,26.00000,-127.00000
