,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,395.66100,302.40900,-173.64900,128.76000,-12.07100,9.15400,-2.84000,516.76900,-434.73200,-304.77700,-23.15500,-23.15500,-23.33400,-785.99800,-19.44300,298.56800,279.12500,307.27500,307.27500,-347.28400,-48.70200,190.41400,-78.81500,13.70400,-347.28400
2021-12-31,269.08100,279.97600,-87.58300,192.39300,1.21400,5.10500,13.10100,471.35200,-440.51400,-228.59800,-3.11500,-3.11500,12.10900,-660.11800,-277.64300,,-277.64300,172.98100,172.98100,-335.65600,-12.64900,-452.96700,-641.73300,13.00900,-335.65600
2020-12-31,135.88800,255.02700,-14.22600,240.80100,-6.03200,-5.05900,-5.47000,369.92900,-514.86000,173.87200,-3.34800,-3.34800,-24.04700,-368.38300,513.68600,398.72200,912.40800,99.17700,99.17700,-324.59600,-25.25300,661.73600,663.28200,11.92400,-324.59600
2019-12-31,360.54200,239.75800,-114.38100,125.37700,-16.12800,-10.36800,-24.16900,461.91900,-409.91000,117.48100,-1.05200,-1.05200,-23.05100,-316.53200,98.88400,-4.01200,94.87200,143.02700,143.02700,-313.64900,-24.35500,-100.10500,45.28200,,-313.64900
2018-12-31,249.02600,244.24500,-8.51700,235.72800,0.91700,24.22000,27.78700,516.68800,-368.25800,164.27200,-1.03700,-1.03700,12.77600,-192.24700,-16.62000,-41.00000,-57.62000,130.91800,130.91800,-301.19400,-13.41300,-241.30900,83.13200,,-301.19400
2017-12-31,297.87000,216.05000,-65.23200,150.81800,2.05900,-3.48700,12.81400,458.82800,-518.93600,-301.71700,-0.69600,-0.69600,-16.57300,-837.92200,-218.25800,613.13400,394.87600,118.58300,263.57400,-282.99500,-6.01000,369.44500,-9.64900,,-282.99500
2016-12-31,258.88300,193.58500,-32.50800,161.07700,1.86800,-1.78900,7.23800,427.67200,-437.28000,-142.95800,-7.22000,-7.22000,-2.76300,-590.22100,-49.55900,184.87900,135.32000,329.10300,329.10300,-267.69400,-27.89100,168.83800,6.28900,,-267.69400
2015-12-31,218.42400,174.79600,-10.67400,164.12200,-9.20000,-2.96600,-13.47100,369.04600,-282.53300,-56.89100,-2.80200,-2.80200,-11.53700,-353.76300,55.60800,53.50000,109.10800,110.85500,110.85500,-243.31400,-18.83700,-42.18800,-26.90500,,-243.31400
2014-12-31,172.28900,170.81400,4.90100,175.71500,-3.06300,-3.79700,-2.60700,346.13000,-360.95800,1.25200,-6.73100,-6.73100,-29.71300,-396.15000,-228.66200,244.57900,15.91700,216.15500,216.15500,-215.21600,-7.81200,9.04400,-40.97600,,-215.21600
2013-12-31,167.60800,161.09900,-17.04900,144.05000,-6.32100,1.13200,0.13600,314.49800,-290.14200,-44.41000,,,-10.64600,-345.19800,-466.23500,562.46000,96.22500,186.54800,186.54800,-193.01600,-7.11800,82.63900,51.93900,,-193.01600
2012-12-31,156.23200,142.03900,-13.61700,128.42200,7.33200,-2.96000,7.63100,296.63300,-180.67100,-80.86500,,,-12.02200,-273.55800,-223.01500,244.80700,21.79200,112.27000,112.27000,-178.02000,-9.93500,-53.89300,-30.81800,,-178.02000
2011-12-31,149.61200,126.56800,-19.20500,107.36300,1.88800,-3.02900,-16.13500,244.71100,-142.46200,-79.86200,-6.94700,-6.94700,32.90200,-196.36900,105.24100,-81.15900,24.08200,154.92100,154.92100,-167.31300,-8.02300,3.66700,52.00900,,-167.31300
2010-12-31,128.23700,119.81700,0.08100,119.89800,7.46100,-2.08100,4.50100,256.73500,-89.09500,-57.13300,-16.93000,-16.93000,-23.93000,-187.08800,-252.39000,225.00700,-27.38300,6.61000,6.61000,-163.12000,-5.34600,-189.23900,-119.59200,,-163.12000
2009-12-31,103.87200,115.09300,15.70900,130.80200,7.07900,-0.00600,16.82600,256.76500,-102.07900,-8.40900,-7.02000,-7.02000,-9.83300,-127.34100,13.52900,24.03400,37.56300,115.50200,115.50200,-156.10000,-6.22300,-9.25800,120.16600,,-156.10000
