,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,1478.00000,184.00000,256.00000,440.00000,-1099.00000,385.00000,-714.00000,1204.00000,-198.00000,,,-6429.00000,-6429.00000,-22516.00000,-29143.00000,-8055.00000,,-8055.00000,804.00000,2844.00000,-254.00000,41256.00000,35791.00000,7852.00000,-155.00000
2020-12-31,1064.00000,166.00000,226.00000,392.00000,-853.00000,-72.00000,-925.00000,531.00000,-149.00000,,,251.00000,251.00000,-21957.00000,-21855.00000,55.00000,-800.00000,-745.00000,540.00000,932.00000,-198.00000,24730.00000,24719.00000,3395.00000,-139.00000
2019-12-31,930.00000,138.00000,103.00000,241.00000,-433.00000,201.00000,-232.00000,939.00000,-168.00000,,,-1863.00000,-1863.00000,-15004.00000,-17035.00000,3100.00000,700.00000,3800.00000,189.00000,382.00000,-177.00000,10980.00000,14985.00000,-1111.00000,-128.00000
2018-12-31,853.82800,114.36300,71.42600,185.78900,53.90000,17.68700,71.58700,1111.20400,-133.87500,,,2672.94700,2672.94700,-13601.09000,-11062.02000,400.00000,,400.00000,213.50700,153.66700,-175.56800,10086.85000,10464.95000,514.13800,-117.84300
2017-12-31,757.66000,91.95400,140.97700,232.93100,14.59400,6.95300,21.54700,1012.13800,-166.70600,,,-3345.69900,-3345.69900,-10971.69000,-14484.09000,3284.81800,-25.97300,3258.84500,519.57200,363.72200,-165.58900,10204.28000,13661.25000,189.29900,-107.54900
2016-12-31,673.42800,56.12200,59.96100,116.08300,-18.37600,81.35000,62.97400,852.48500,-86.74800,-31.80400,,-4476.68200,-4476.68200,-8735.38700,-13330.62000,2287.29500,-3.67000,2283.62500,535.92800,681.11210,-163.54000,10653.55000,13454.75000,976.61200,-94.95100
2015-12-31,522.14500,26.86200,24.61200,51.47400,80.32800,-26.68900,53.63900,627.25800,-52.71400,-115.14000,,-3725.11800,-3725.11800,-6380.84000,-10273.81000,-1275.00000,93.60400,-1181.39600,435.67500,532.26700,-143.36400,10753.01000,9960.51400,313.96000,-84.43600
2014-12-31,487.00600,-4.20200,0.13600,-4.06600,-31.76500,65.03300,33.26800,516.20800,-42.07000,,,-1935.68800,-1935.68800,-4209.00600,-6186.76400,521.25700,-7.09300,514.16390,244.07500,244.07500,-130.03100,5051.61300,5679.82100,9.26500,-74.47500
2013-12-31,462.07000,-48.02000,42.69800,-5.32200,136.62000,-31.14700,105.47300,562.22100,-60.58000,,30.80100,-1399.31100,-1368.51000,-6171.00300,-7600.09300,2000.00000,-88.31800,1911.68200,4.35200,382.30100,-88.48500,5037.99500,7243.49300,205.62100,-47.81400
2012-12-31,402.70200,-118.40600,54.44700,-63.95900,-88.17100,188.92800,100.75700,439.50000,-55.06100,-126.31300,-26.01100,-785.26800,-811.27900,-5430.58300,-6423.23500,1050.00000,-104.34300,945.65700,14.62200,407.99600,-59.70800,4661.27400,5955.21900,-28.51600,-40.96500
2011-12-31,358.99300,-185.66500,14.49500,-171.17000,-112.30200,-8.69300,-120.99500,66.82800,-46.20700,,-4.89000,-2026.16700,-2031.05700,-3750.95200,-5828.21600,1500.00000,91.60600,1591.60600,4.83000,-5.17000,-4.60500,3282.26200,4864.09300,-897.29500,-4.60500
2010-12-31,276.00100,-137.95300,97.20400,-40.74900,-43.46500,2.48100,-40.98400,194.26800,-24.89900,,0.00000,-806.38000,-806.38000,-1927.15500,-2758.43400,100.56600,-7.21300,93.35300,1970.76300,1970.76300,-4.79200,1854.36400,3913.68800,1349.52200,-4.79200
2009-12-31,351.46200,-302.80100,193.77000,-109.03100,-16.28100,-187.73600,-204.01700,38.41400,-14.61800,,,-0.97100,-0.97100,-1805.02500,-1820.61400,-2869.42500,,-2869.42500,,,-4.81900,4665.42500,1791.18100,8.98100,-4.81900
