,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,910.60000,183.80000,-166.10000,17.70000,-236.60000,-346.70000,581.60000,-136.30000,-71.90000,887.20000,-171.00000,-171.00000,17.50000,525.50000,-395.00000,-395.00000,-360.40000,-360.40000,-364.20000,-57.70000,-1177.30000,-70.20000,,-364.20000
2021-12-31,805.80000,208.20000,208.90000,417.10000,-96.60000,-177.60000,1045.30000,-107.10000,-107.50000,,552.00000,552.00000,-145.40000,192.00000,-63.30010,-63.30010,-398.30000,-398.30000,-381.60000,-426.30000,-1269.50000,-32.20000,,-381.60000
2020-12-31,744.30000,225.60000,159.70000,385.30000,-61.10000,-252.10000,877.50000,-87.70000,-69.10000,,-210.70020,-210.70020,-6.00000,-373.50000,-165.00000,-165.00000,-237.50000,-237.50000,-370.30000,586.90000,-185.90000,318.10000,,-370.30000
2019-12-31,1058.30000,257.70000,-438.20000,-180.50000,-20.70000,36.80000,914.60000,-81.10000,-46.60000,711.70000,-465.29980,-465.29980,48.30000,167.00000,-209.00000,-209.00000,-515.90000,-515.90000,-340.80000,-418.40000,-1484.10000,-402.50000,,-340.80000
2018-12-31,851.90000,264.70000,51.10000,315.80000,-26.80000,-346.40000,821.30000,-188.70000,-150.30000,,10.20000,10.20000,,-328.80000,396.00000,396.00000,-402.30000,-402.30000,-341.70000,-9.20000,-357.20000,135.30000,,-341.70000
2017-12-31,-557.10000,726.90000,193.70000,920.60000,-54.30000,378.50000,742.00000,-102.30000,-74.80000,-24.90000,-2.60000,-2.60000,,-204.60000,246.20000,246.20000,-489.80000,-489.80000,-325.60000,-1.30000,-570.50000,-33.10000,,-325.60000
2016-12-31,253.20000,263.20000,-75.90000,187.30000,-112.30000,601.40000,1041.90000,-122.50000,-107.30000,,-41.30000,-41.30000,,-271.10000,-430.40000,-430.40000,-465.20000,-465.20000,-312.20000,-1.40000,-1209.20000,-438.40000,,-312.20000
2015-12-31,837.80000,270.20000,23.80000,294.00000,-122.00000,-60.70000,1071.10000,-143.70000,-122.80000,,-19.90000,-19.90000,,-286.40000,-500.00000,-500.00000,-435.50000,-435.50000,-316.50000,,-1252.00000,-467.30000,,-316.50000
2014-12-31,852.40000,271.90000,22.70000,294.60000,-32.40000,-101.10000,1045.90000,-105.90000,-73.10000,-10.60000,100.20000,100.20000,,-89.40000,-500.00000,-500.00000,-481.20000,-481.20000,-265.20000,,-1246.40000,-289.90000,,-265.20000
2013-12-31,798.40000,262.80000,14.00000,276.80000,-71.10000,13.40000,1088.60000,-122.00000,-119.30000,,-100.00000,-100.00000,,-341.30000,197.30000,197.30000,-370.80000,-370.80000,-277.20000,,-450.70000,296.60000,,-277.20000
2012-12-31,1025.90000,246.10000,42.00000,288.10000,-58.10000,-128.70000,1185.30000,-93.30000,-174.90000,10.00000,,,,-258.20000,445.80000,445.80000,-713.10000,-713.10000,-254.20000,,-521.50000,405.60000,,-254.20000
2011-12-31,1165.40000,192.60000,1.10000,193.70000,-78.90000,-184.20000,1174.90000,-65.80000,-96.70000,-1197.80000,,,,-1360.30000,297.00000,297.00000,-703.90000,-703.90000,-194.20000,,-601.10000,-786.50000,,-194.20000
2010-12-31,909.90000,175.90000,66.50000,242.40000,-9.20000,-157.90000,994.40000,-78.70000,-35.00000,-4.70000,36.90000,36.90000,16.90000,-64.60000,247.00000,247.00000,-539.30000,-539.30000,-165.30000,,-457.60000,472.20000,,-165.30000
2009-12-31,848.80000,154.20000,55.20000,209.40000,-53.90000,159.90000,1218.10000,-71.60000,-27.30000,-515.90000,255.50000,255.50000,35.20000,-324.10000,-86.20000,-86.20000,-377.00000,-377.00000,-41.20000,,-504.40000,389.60000,31.90000,-41.20000
