,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4147.00000,4204.00000,660.00000,4864.00000,-423.00000,-347.00000,316.00000,-147.00000,8864.00000,-3173.00000,85.00000,-3088.00000,1425.00000,3050.00000,4475.00000,-5132.00000,-5132.00000,-2344.00000,-88.00000,-3089.00000,2613.00000,107.00000,-2344.00000
2021-12-31,3826.00000,4635.00000,41.00000,4676.00000,-553.00000,-129.00000,1458.00000,1223.00000,9725.00000,-3086.00000,79.00000,-3007.00000,815.00000,-1329.00000,-514.00000,-4562.00000,-4562.00000,-2189.00000,-323.00000,-7588.00000,-931.00000,128.00000,-2189.00000
2020-12-31,2501.00000,4626.00000,204.00000,4830.00000,19.00000,18.00000,-48.00000,98.00000,7429.00000,-3400.00000,414.00000,-2986.00000,115.00000,1198.00000,1313.00000,-2410.00000,-2410.00000,-2028.00000,-220.00000,-3345.00000,1054.00000,133.00000,-2028.00000
2019-12-31,2285.00000,4687.00000,-786.00000,3901.00000,80.00000,-81.00000,108.00000,-67.00000,6119.00000,-3682.00000,4871.00000,1189.00000,-1484.00000,224.00000,-1260.00000,-2586.00000,-2586.00000,-1891.00000,-3260.00000,-8997.00000,-1766.00000,95.00000,-1891.00000
2018-12-31,4381.00000,2198.00000,-3074.00000,-876.00000,-124.00000,-4.00000,-10.00000,149.00000,3654.00000,-1883.00000,7246.00000,5363.00000,-3116.00000,208.00000,-2908.00000,-522.00000,-522.00000,-1166.00000,-402.00000,-4998.00000,3849.00000,62.00000,-1166.00000
2017-12-31,1247.00000,1184.00000,700.00000,1884.00000,-92.00000,-22.00000,2.00000,-90.00000,3041.00000,-1311.00000,-3.00000,-1314.00000,-572.00000,-199.00000,-771.00000,108.00000,108.00000,-901.00000,-92.00000,-1656.00000,93.00000,59.00000,-901.00000
2016-12-31,1500.00000,1122.00000,104.00000,1226.00000,-33.00000,-13.00000,17.00000,63.00000,2789.00000,-1465.00000,-305.00000,-1770.00000,166.00000,191.00000,357.00000,-89.00000,-89.00000,-856.00000,-71.00000,-659.00000,377.00000,39.00000,-856.00000
2015-12-31,1547.00000,1106.00000,200.00000,1306.00000,1.00000,-23.00000,-96.00000,-158.00000,2695.00000,-1541.00000,238.00000,-1303.00000,497.00000,-329.00000,168.00000,-637.00000,-637.00000,-819.00000,-22.00000,-1310.00000,21.00000,30.00000,-819.00000
2014-12-31,1694.00000,1170.00000,162.00000,1332.00000,-80.00000,-42.00000,-30.00000,-139.00000,2887.00000,-1689.00000,-114.00000,-1803.00000,782.00000,-193.00000,589.00000,-759.00000,-759.00000,-759.00000,-98.00000,-1027.00000,-12.00000,51.00000,-759.00000
2013-12-31,1755.00000,1109.00000,135.00000,1244.00000,-84.00000,-54.00000,-51.00000,-82.00000,2917.00000,-2020.00000,-1217.00000,-3237.00000,1312.00000,149.00000,1461.00000,-436.00000,-436.00000,-708.00000,11.00000,328.00000,-19.00000,70.00000,-708.00000
2012-12-31,1692.00000,1001.00000,69.00000,1070.00000,-36.00000,-18.00000,35.00000,-53.00000,2752.00000,-2180.00000,-198.00000,-2378.00000,514.00000,293.00000,807.00000,-459.00000,-459.00000,-655.00000,4.00000,-303.00000,67.00000,70.00000,-655.00000
2011-12-31,1672.00000,1003.00000,38.00000,1041.00000,-108.00000,-31.00000,-158.00000,-253.00000,2455.00000,-1797.00000,-208.00000,-2005.00000,961.00000,-47.00000,914.00000,-742.00000,-742.00000,-602.00000,50.00000,-380.00000,51.00000,62.00000,-602.00000
2010-12-31,1195.00000,925.00000,160.00000,1085.00000,-114.00000,-26.00000,-398.00000,-375.00000,1905.00000,-1388.00000,-96.00000,-1484.00000,375.00000,115.00000,490.00000,-404.00000,-404.00000,-551.00000,46.00000,-419.00000,-6.00000,47.00000,-551.00000
2009-12-31,1297.00000,846.00000,40.00000,886.00000,39.00000,58.00000,66.00000,-15.00000,2168.00000,-1352.00000,-100.00000,-1452.00000,393.00000,-455.00000,-62.00000,-141.00000,-141.00000,-491.00000,-17.00000,-711.00000,13.00000,39.00000,-491.00000
