,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2245.00000,353.00000,294.00000,647.00000,-1681.00000,,1968.00000,287.00000,3102.00000,-90.00000,-288.00000,,,-3151.00000,-3151.00000,-9412.00000,-12941.00000,,,,-230.00000,-230.00000,-762.00000,-7353.00000,-8345.00000,-18184.00000,-663.00000
2021-12-31,2521.00000,371.00000,-342.00000,29.00000,477.00000,,-63.00000,414.00000,3030.00000,-91.00000,-72.00000,-1182.00000,,-2207.00000,-2207.00000,687.00000,-2865.00000,-1132.00000,-102.00000,-1234.00000,-467.00000,-577.00000,-716.00000,13817.00000,11290.00000,11455.00000,-608.00000
2020-12-31,1094.00000,421.00000,1190.00000,1611.00000,-1256.00000,,772.00000,-484.00000,2324.00000,-134.00000,-59.00000,-381.00000,,-3522.00000,-3522.00000,-757.00000,-4853.00000,-6220.00000,-2050.00000,-8270.00000,,346.00000,-698.00000,24993.00000,16371.00000,13842.00000,-595.00000
2019-12-31,1582.00000,426.00000,493.00000,919.00000,-708.00000,,611.00000,-97.00000,2581.00000,-178.00000,-24.00000,,,950.00000,950.00000,-239.00000,509.00000,-4652.00000,450.00000,-4202.00000,-1101.00000,-611.00000,-656.00000,2955.00000,-2514.00000,576.00000,-577.00000
2018-12-31,1759.00000,462.00000,173.00000,635.00000,198.00000,,-354.00000,-156.00000,2275.00000,-151.00000,-71.00000,357.00000,,401.00000,401.00000,-3581.00000,-3045.00000,4299.00000,1100.00000,5399.00000,-2122.00000,-2122.00000,-516.00000,-2434.00000,327.00000,-443.00000,-452.00000
2017-12-31,1263.00000,537.00000,337.00000,874.00000,-46.00000,,158.00000,112.00000,2297.00000,-150.00000,-41.00000,,,-312.00000,-312.00000,-298.00000,-801.00000,394.00000,500.00000,894.00000,-1275.00000,-1275.00000,-410.00000,-2175.00000,-2966.00000,-1470.00000,-346.00000
2016-12-31,1163.00000,574.00000,337.00000,911.00000,-408.00000,,191.00000,-217.00000,2037.00000,,-64.00000,,-205.00000,-976.00000,-1181.00000,545.00000,-700.00000,-559.00000,-10.00000,-569.00000,-839.00000,-839.00000,-381.00000,589.00000,-1200.00000,137.00000,-317.00000
2015-12-31,1062.00000,523.00000,456.00000,979.00000,120.00000,-37.00000,-649.00000,-566.00000,1599.00000,-369.00000,-4.00000,,,-562.00000,-562.00000,-5189.00000,-6124.00000,4854.00000,-2243.00000,2611.00000,-623.00000,-623.00000,-368.00000,4215.00000,5835.00000,1310.00000,-304.00000
2014-12-31,1147.00000,523.00000,238.00000,761.00000,-239.00000,5.00000,450.00000,216.00000,2107.00000,-242.00000,-21.00000,,,-850.00000,-850.00000,-2668.00000,-3781.00000,-1350.00000,71.00000,-1279.00000,-256.00000,230.00000,-299.00000,1753.00000,405.00000,-1269.00000,-247.00000
2013-12-31,1091.00000,645.00000,549.00000,1194.00000,1586.00000,5.00000,-154.00000,1437.00000,3745.00000,-186.00000,-28.00000,,,2314.00000,2314.00000,-2171.00000,-71.00000,-969.00000,608.00000,-361.00000,-340.00000,-340.00000,-170.00000,-3019.00000,-3890.00000,-216.00000,-138.00000
2012-12-31,1120.00000,717.00000,613.00000,1330.00000,339.00000,187.00000,-534.00000,-8.00000,2441.00000,-180.00000,,855.00000,,-2151.00000,-2151.00000,2483.00000,1007.00000,-2202.00000,-564.00000,-2766.00000,875.00000,-2184.00000,-102.00000,-152.00000,-5204.00000,-1756.00000,-54.00000
2011-12-31,-215.00000,1428.00000,1519.00000,2947.00000,1278.00000,-150.00000,875.00000,2003.00000,4753.00000,-201.00000,0.00000,,,-876.00000,-876.00000,1736.00000,659.00000,-5003.00000,-870.00000,-5873.00000,,,-226.00000,1013.00000,-5086.00000,326.00000,-51.00000
2010-12-31,-539.00000,732.00000,2580.00000,3312.00000,667.00000,1923.00000,-1137.00000,1453.00000,4227.00000,-191.00000,,,,657.00000,657.00000,3618.00000,4084.00000,-5373.00000,269.00000,-5104.00000,,,-233.00000,-4066.00000,-9403.00000,-1092.00000,-49.00000
2009-12-31,-1031.00000,527.00000,3898.00000,4425.00000,135.00000,-1989.00000,535.00000,-1319.00000,2037.00000,-234.00000,,,,-4773.00000,-4773.00000,3367.00000,-1640.00000,-454.00000,-12154.00000,-12608.00000,1769.00000,2047.00000,-299.00000,7501.00000,-3359.00000,-2962.00000,-105.00000
