,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,1512.04100,394.65500,201.35300,596.00800,238.77800,-365.26200,-326.06800,-418.67600,1689.37300,-654.07000,,,,,-654.07000,,,-974.14890,-974.14890,-431.29500,,-1405.44400,-370.14100,121.93600,-431.29500
2022-01-31,1722.58900,360.66400,149.99200,510.65600,-753.29100,135.31100,168.16300,-494.39590,1738.84900,-557.84000,0.00000,,,,-557.84000,-65.00000,-65.00000,-682.27290,-682.27290,-405.12300,,-1152.39600,28.61300,134.21700,-405.12300
2021-01-31,85.38200,364.24500,313.70900,677.95400,323.35700,938.83700,180.59700,1482.59700,2245.93300,-405.43300,0.00000,,,,-405.43300,2190.10600,2190.10600,-154.15500,-154.15500,-101.40400,-232.68800,1701.85900,3542.35900,101.56800,-101.40400
2020-01-31,1660.92800,350.89200,127.44700,478.33900,-81.89700,114.15300,35.26200,32.27900,2171.54600,-555.48300,0.51700,,0.51700,,-554.96600,,,-1313.45600,-1313.45600,-369.79300,,-1683.24900,-66.66900,95.43800,-369.79300
2019-01-31,1587.45700,330.35700,127.36200,457.71900,-108.70700,110.48300,16.01900,21.50100,2066.67700,-413.89800,3.48900,,3.48900,,-410.40900,-85.00000,-85.00000,-1109.27200,-1109.27200,-337.18900,,-1531.46100,124.80700,95.58500,-337.18900
2018-01-31,1362.75300,313.16300,46.18600,359.34900,-128.84900,41.32200,48.50300,-40.76400,1681.33800,-355.44200,0.68700,,0.68700,,-354.75500,,,-901.96500,-901.96500,-247.52600,,-1149.49100,177.09200,87.41700,-247.52600
2017-01-31,1117.65400,302.51500,65.85100,368.36600,-93.78200,83.08500,83.57800,72.88100,1558.90100,-297.88000,1.70000,,1.70000,,-296.18000,,,-724.78200,-724.78200,-214.64000,23.33100,-916.09100,346.63000,74.55400,-214.64000
2016-01-31,1020.66100,274.82800,127.29500,402.12300,-46.42900,-41.46400,-8.63900,-96.53200,1326.25200,-366.96000,1.10400,-0.71800,0.38600,4.06500,-362.50900,,,-748.73900,-748.73900,-192.31200,42.30200,-898.74900,64.99400,70.93700,-192.31200
2015-01-31,924.72400,232.95900,78.43100,311.39000,-115.52000,204.15800,48.11300,136.75100,1372.86500,-646.69100,12.02100,,12.02100,-4.32900,-638.99900,245.67600,245.67600,-567.06300,-567.06300,-168.45400,29.41500,-460.42600,273.44000,53.00100,-168.45400
2014-01-31,837.30400,206.11100,32.35200,238.46300,-47.91800,-4.10400,-1.74200,-53.76400,1022.00300,-550.51500,1.61400,-12.01200,-10.39800,-2.89500,-563.80800,,,-560.77700,-560.77700,-147.91700,26.90600,-681.78800,-223.59300,46.84700,-147.91700
2013-01-31,786.76300,185.49100,10.81000,196.30100,-79.16700,40.10900,35.63800,-3.42000,979.64400,-424.43400,6.24700,-5.43000,0.81700,-2.10700,-425.72400,,,-460.40300,-460.40300,-125.69400,29.10300,-556.99400,-3.07400,48.95200,-125.69400
2012-01-31,657.17000,159.89200,62.98600,222.87800,-43.15300,-11.61400,-5.17600,-59.94300,820.10500,-416.27100,,4.58900,4.58900,-60.08600,-471.76800,,,-448.56400,-448.56400,-102.04200,18.18000,-532.42600,-184.08900,40.40400,-102.04200
2011-01-31,554.79700,160.69300,19.24000,179.93300,-214.41900,102.85100,49.90400,-61.66400,673.06600,-198.65100,,1.80600,1.80600,,-196.84500,,,-348.06500,-348.06500,-77.32100,14.74600,-410.64000,65.58100,36.55100,-77.32100
2010-01-31,442.75700,159.04300,43.15000,202.19300,8.56000,115.89300,118.98100,243.43400,888.38400,-158.47700,,21.64400,21.64400,,-136.83300,,,-256.65200,-256.65200,-55.20200,7.29100,-304.56300,446.98800,25.74600,-55.20200
2009-01-31,305.44100,141.80200,48.93800,190.74000,144.23700,-101.68200,44.70300,87.25800,583.43900,-224.30100,,5.53800,5.53800,,-218.76300,,,-257.03600,-257.03600,-49.83800,5.97300,-300.90100,63.77500,22.57500,-49.83800
