,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-2722.00000,41921.00000,28439.00000,70360.00000,-21897.00000,-2592.00000,2945.00000,2216.00000,-20886.00000,46752.00000,-58321.00000,-8316.00000,29036.00000,29036.00000,-37601.00000,11719.00000,3999.00000,15718.00000,-6000.00000,-6000.00000,,9718.00000,17776.00000,19621.00000
2021-12-31,33364.00000,34433.00000,-1859.00000,32574.00000,-18163.00000,-9487.00000,3602.00000,2314.00000,-19611.00000,46327.00000,-55396.00000,-1985.00000,-773.00000,-773.00000,-58154.00000,6088.00000,203.00000,6291.00000,,,,6291.00000,-5900.00000,12757.00000
2020-12-31,21331.00000,25180.00000,6072.00000,31252.00000,-8169.00000,-2849.00000,17480.00000,1265.00000,13481.00000,66064.00000,-35044.00000,-2325.00000,-22242.00000,-22242.00000,-59611.00000,-1723.00000,619.00000,-1104.00000,,,,-1104.00000,5967.00000,9208.00000
2019-12-31,11588.00000,21789.00000,7575.00000,29364.00000,-7681.00000,-3278.00000,8193.00000,1711.00000,-2438.00000,38514.00000,-12689.00000,-2461.00000,-9131.00000,-9131.00000,-24281.00000,-9950.00000,-116.00000,-10066.00000,,,,-10066.00000,4237.00000,6864.00000
2018-12-31,10073.00000,15341.00000,6078.00000,21419.00000,-4615.00000,-1314.00000,3263.00000,1151.00000,-1043.00000,30723.00000,-11323.00000,-2186.00000,1140.00000,1140.00000,-12369.00000,-7759.00000,73.00000,-7686.00000,,,,-7686.00000,10317.00000,5418.00000
2017-12-31,3033.00000,11478.00000,3894.00000,15372.00000,-4780.00000,-3583.00000,7100.00000,738.00000,-242.00000,18365.00000,-10058.00000,-13972.00000,-3054.00000,-3054.00000,-27084.00000,9928.00000,,9928.00000,,,,9928.00000,1922.00000,4215.00000
2016-12-31,2371.00000,8116.00000,2709.00000,10825.00000,-3436.00000,-1426.00000,5030.00000,1955.00000,3847.00000,17203.00000,-6737.00000,-116.00000,-2663.00000,-2663.00000,-9516.00000,-3716.00000,,-3716.00000,,,,-3716.00000,3759.00000,2975.00000
2015-12-31,596.00000,6281.00000,2450.00000,8731.00000,-1755.00000,-2187.00000,4294.00000,1292.00000,2557.00000,12039.00000,-4589.00000,-795.00000,-1066.00000,-1066.00000,-6450.00000,-3882.00000,,-3882.00000,,,,-3882.00000,1333.00000,2119.00000
2014-12-31,-241.00000,4746.00000,1234.00000,5980.00000,-1039.00000,-1193.00000,1759.00000,741.00000,974.00000,6842.00000,-4893.00000,-979.00000,807.00000,807.00000,-5065.00000,4426.00000,,4426.00000,,,6.00000,4432.00000,5899.00000,1497.00000
2013-12-31,274.00000,3253.00000,1067.00000,4320.00000,-846.00000,-1410.00000,1888.00000,399.00000,767.00000,5475.00000,-3444.00000,-312.00000,-520.00000,-520.00000,-4276.00000,-617.00000,,-617.00000,,,78.00000,-539.00000,574.00000,1134.00000
2012-12-31,-39.00000,2159.00000,383.00000,2542.00000,-861.00000,-999.00000,2070.00000,275.00000,1523.00000,4180.00000,-3785.00000,-745.00000,935.00000,935.00000,-3595.00000,2790.00000,,2790.00000,-960.00000,-960.00000,429.00000,2259.00000,2815.00000,833.00000
2011-12-31,631.00000,1083.00000,571.00000,1654.00000,-866.00000,-1777.00000,2997.00000,43.00000,1464.00000,3903.00000,-1811.00000,-705.00000,586.00000,586.00000,-1930.00000,-267.00000,,-267.00000,-277.00000,-277.00000,62.00000,-482.00000,1492.00000,557.00000
2010-12-31,1152.00000,568.00000,88.00000,656.00000,-295.00000,-1019.00000,2373.00000,-218.00000,1581.00000,3495.00000,-979.00000,-352.00000,-2029.00000,-2029.00000,-3360.00000,-78.00000,,-78.00000,,,259.00000,181.00000,333.00000,424.00000
2009-12-31,902.00000,378.00000,298.00000,676.00000,-481.00000,-531.00000,1859.00000,465.00000,1612.00000,3293.00000,-373.00000,-40.00000,-1924.00000,-1924.00000,-2337.00000,-385.00000,,-385.00000,,,105.00000,-280.00000,675.00000,341.00000
