,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3555.39800,1568.80400,-1035.49500,533.30880,-71.30700,,37.72300,4126.43000,-4097.45600,-92.05200,-442.36600,-442.36600,132.81700,-4499.05700,3029.64800,3029.64800,,,-2494.72300,-419.13600,115.78900,-277.63400,175.35600,-2494.72300
2021-12-31,3148.59000,1438.35900,-1439.25400,-0.89500,-328.51100,,-151.65300,2996.04200,-1237.02200,,-798.10300,-798.10300,45.06700,-1990.05800,1360.85200,1360.85200,0.74300,0.74300,-1872.86100,-497.05900,-1008.32500,-41.96900,113.02800,-1872.86100
2020-12-31,1616.63000,1443.50000,-89.61100,1353.88900,-127.61900,,-33.51400,2937.00500,-1248.29400,-1694.79500,-385.93600,-385.93600,254.69500,-3074.33000,1031.25200,1031.25200,-32.61200,-39.81200,-1722.98900,359.38700,-372.16200,-490.76900,109.83100,-1722.98900
2019-12-31,1701.84600,1058.45900,-503.32500,555.13390,-108.16500,,7.05400,2264.03400,-791.86010,,-276.16900,-276.16900,382.67900,-685.35000,802.69510,802.69510,6.08200,6.08200,-1345.66000,-302.71600,-839.59900,744.99900,97.55700,-1345.66000
2018-12-31,1822.96000,892.92900,-869.50000,23.42900,-72.95500,,-42.83000,1803.55900,-869.82810,-45.87000,-160.35800,-160.35800,412.26000,-663.79600,59.03320,59.03320,6.89100,6.89100,-1123.36700,-174.65800,-1232.10100,-103.19000,76.09300,-1123.36700
2017-12-31,1760.95900,798.87000,-946.23500,-147.36500,37.27800,,73.65200,1687.24600,923.88400,-374.60500,-249.73500,-249.73500,243.73400,543.27800,-875.83690,-875.83690,32.85800,19.67600,-942.88400,-807.53900,-2606.58400,-360.27000,76.64000,-942.88400
2016-12-31,1292.54000,822.24000,-617.95100,204.28900,-106.33700,,-79.82400,1417.00500,458.72190,,-265.95100,-265.95100,1059.26700,1252.03800,-898.32190,-898.32190,39.47000,39.47000,-931.55900,-335.05400,-2125.46500,543.23600,60.34100,-931.55900
2015-12-31,925.51500,848.53200,-597.39700,251.13490,-64.74900,,-60.32300,1116.32700,327.24710,-4809.49900,-474.42000,-474.42000,167.44000,-4789.23200,2217.59800,2217.59800,90.25800,90.25800,-804.69700,2092.75700,3595.91600,-86.61200,53.66500,-804.69700
2014-12-31,739.28400,620.74500,-414.58200,206.16310,-0.09300,,-50.97400,894.47300,396.37110,,-1346.80600,-1346.80600,285.17400,-665.26100,-143.22510,-143.22510,378.24700,-321.58600,,114.00400,-350.80700,-140.43700,57.47800,
2013-12-31,353.04900,627.28600,-402.31400,224.97200,-12.91200,,-93.03200,484.98900,3814.01800,,-1899.79700,-1899.79700,419.70100,2333.92200,-2516.82500,-2516.82500,1505.79100,1023.29100,-580.86200,-291.22600,-2365.62200,390.31900,49.23900,-580.86200
2012-12-31,-30.47200,767.45900,-89.18500,678.27400,-178.38700,,-184.31000,463.49200,713.10300,-365.15600,-165.01100,-165.01100,346.67900,529.61500,-408.38100,-408.38100,30.98100,30.98100,-567.83400,-126.27700,-1071.51100,-75.26200,53.14600,
2011-12-31,-157.93800,544.50000,7.50800,552.00810,-40.09500,,-187.00600,207.06400,474.28800,-791.20600,-37.75500,-37.75500,121.60800,-233.06500,-608.38200,-608.38200,1156.49300,1156.49300,-414.09800,29.30500,163.31800,138.43800,72.47600,-387.13300
2010-12-31,-1270.45300,395.24900,1128.12300,1523.37200,,63.70100,-12.13600,240.78300,1099.05600,,-335.39600,-335.39600,-30.36500,733.29500,-1747.95900,-1747.95900,1162.46100,1162.46100,-306.07400,-78.19000,-969.76200,3.27200,25.08500,-280.65800
2009-12-31,23.92900,387.43100,-180.69000,206.74100,,102.51000,-141.57500,89.09500,202.39400,,944.08200,944.08200,88.80100,1235.27700,-2529.77400,-2529.77400,1491.13700,1491.13700,-297.26100,-126.73800,-1462.63600,-140.27400,17.24200,-271.84500
