,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-127.20400,113.56700,416.41300,529.98000,154.14500,-437.64100,-241.55700,-107.74200,-761.57800,-358.80200,-111.96500,-103.00000,,,,-1.46300,-216.42800,537.00020,-0.25900,536.74130,-25.01800,-25.01800,-209.31200,-6.58200,295.82900,-322.21600,23.45700,-209.31200
2021-12-31,77.22400,126.50300,537.62500,664.12810,-181.17300,-293.45500,368.75300,-40.63600,-117.94300,623.40900,-66.46300,0.00000,,,,14.00800,-52.45500,-625.00000,-0.45200,-625.45200,,,-209.48400,-53.08400,-888.02000,-349.97400,16.63000,-209.48400
2020-12-31,-75.57900,144.01100,496.41800,640.42900,-6.94500,-136.05700,-32.64100,-1.14400,-116.38100,448.46900,-53.06400,0.00000,,,,11.98200,-41.08200,576.64990,-4.32600,572.32390,-200.26900,-200.26900,-210.38500,-19.50100,142.16900,579.51400,18.96900,-210.38500
2019-12-31,600.72000,141.69800,56.12700,197.82500,45.15700,147.33000,-67.39000,-6.59700,4.88700,803.43200,-96.20000,,-25.23200,,,11.77200,-109.66000,-597.06790,-1.45900,-598.52690,,,-216.95800,-8.52500,-824.01000,-126.85600,9.27700,-216.95800
2018-12-31,539.66600,141.07400,46.89300,187.96700,10.26900,-202.01900,165.78800,-7.58500,-84.23100,643.40200,-83.73600,,-334.91500,,,,-418.65100,43.27910,-8.44400,34.83510,,,-216.31600,-19.01600,-200.49700,11.45600,21.41600,-216.31600
2017-12-31,73.88100,132.88100,224.76600,357.64700,-31.65600,23.74800,71.80600,-22.15900,224.19000,655.71800,-82.54900,,-21.96400,,,,-104.51300,149.20020,-49.12600,100.07420,-400.01700,-400.01700,-219.90300,-65.92200,-585.76800,-38.67900,23.58200,-219.90300
2016-12-31,539.38200,112.20900,57.64800,169.85700,-83.27900,135.80700,-60.99400,-24.56300,-103.63200,605.60700,-2.56600,,-964.07500,,,,-966.64100,1161.49700,-88.28400,1073.21300,-379.90100,-379.90100,-167.37500,-14.88300,511.05400,141.07600,31.78000,-167.37500
2015-12-31,428.85500,110.98000,31.77200,142.75200,-21.97400,-289.65400,74.61300,35.04400,-344.60000,227.00700,-83.97100,,-192.82900,,,,-276.80000,703.94970,-16.77700,687.17270,-351.49500,-351.49500,-161.31600,-41.38000,132.98200,79.31400,29.61800,-161.31600
2014-12-31,404.51900,104.21300,20.14800,124.36100,1.22800,-40.24800,71.90100,14.27000,-20.79000,508.09000,-57.19100,,-360.43900,64.38000,64.38000,-5.06500,-358.31500,89.60210,19.99200,109.59400,,,-119.60700,-13.75200,-23.76500,123.99200,30.58700,-119.60700
2013-12-31,330.49400,97.81100,40.63200,138.44300,4.80300,83.74800,30.89700,12.85700,122.34400,591.28100,-37.53800,-559.85500,,,,,-597.39300,157.45390,10.14800,167.60190,,,-59.44200,-14.40300,93.75700,73.06700,24.17800,-59.44200
2012-12-31,164.68100,102.20400,60.47300,162.67700,-46.81200,313.81800,-40.58300,5.45300,226.24900,553.60700,-40.57000,,12.70400,,,,-27.86600,-483.37400,-37.08100,-520.45500,8.75200,8.75200,,-6.07400,-517.77700,7.45100,20.49600,0.00000
2011-12-31,266.68800,112.38400,23.07900,135.46300,26.58500,-287.90800,39.70600,3.63900,-228.67300,173.47800,-76.47900,,-9.15400,,,,-85.63300,-109.78220,11.96900,-97.81320,17.10400,17.10400,,-14.33100,-95.04000,-8.32600,16.17300,
2010-12-31,211.29300,117.12500,48.42200,165.54700,-0.32900,-231.84500,29.93400,11.59700,-243.78600,133.05400,-60.59800,,-222.87800,,,-0.51900,-283.99500,188.50000,-16.51310,171.98690,5.93800,5.93800,,-22.24000,155.68500,4.72800,19.53400,
2009-12-31,51.28300,107.72200,75.42900,183.15100,-39.80500,248.82000,3.52200,22.21000,180.07000,414.50400,-88.86000,,,,,0.01600,-88.84400,-284.15500,4.62500,-279.53000,1.17900,1.17900,,-75.82300,-354.17400,-28.39900,37.69700,
