,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,5327.00000,4108.00000,-2656.00000,1452.00000,437.00000,-1575.00000,-509.00000,428.00000,7168.00000,-2288.00000,-487.00000,28.00000,,,-82.00000,-2829.00000,-2.00000,489.00000,487.00000,-2803.00000,-2803.00000,-3128.00000,-415.00000,-5859.00000,-1633.00000,420.00000,-3128.00000
2021-12-31,4145.00000,4557.00000,-411.00000,4146.00000,-570.00000,163.00000,-847.00000,-337.00000,7142.00000,-2134.00000,-308.00000,791.00000,,,287.00000,-1364.00000,-192.00000,-113.00000,-305.00000,-2327.00000,-2327.00000,-2957.00000,-1167.00000,-6756.00000,-1000.00000,442.00000,-2957.00000
2020-12-31,-2928.00000,7339.00000,-182.00000,7157.00000,1318.00000,412.00000,-278.00000,-214.00000,4334.00000,-1795.00000,-312.00000,2137.00000,,,3313.00000,3343.00000,-14078.00000,-2041.00000,-16119.00000,-47.00000,-47.00000,-2732.00000,15038.00000,-3860.00000,3841.00000,330.00000,-2732.00000
2019-12-31,3731.00000,2708.00000,-260.00000,2448.00000,88.00000,-1267.00000,-484.00000,-552.00000,5821.00000,-1868.00000,-351.00000,125.00000,,,-582.00000,-2676.00000,-2712.00000,896.00000,-1816.00000,-124.00000,-124.00000,-2442.00000,2469.00000,-1913.00000,1206.00000,268.00000,-2442.00000
2018-12-31,1406.00000,1896.00000,111.00000,2007.00000,-1147.00000,-417.00000,-1050.00000,124.00000,2670.00000,-1467.00000,-400.00000,-14965.00000,,,-427.00000,-17259.00000,10817.00000,-370.00000,10447.00000,-289.00000,-289.00000,-2170.00000,4221.00000,12209.00000,-2425.00000,169.00000,-2170.00000
2017-12-31,4920.00000,2140.00000,-189.00000,1951.00000,-448.00000,-1074.00000,-2213.00000,-585.00000,5631.00000,-2014.00000,-380.00000,-161.00000,596.00000,596.00000,-1060.00000,-3019.00000,3350.00000,-271.00000,3079.00000,-1422.00000,-1422.00000,-2074.00000,-576.00000,-993.00000,1796.00000,192.00000,-2074.00000
2016-12-31,5436.00000,1962.00000,313.00000,2275.00000,-941.00000,-719.00000,-254.00000,-1464.00000,6412.00000,-1699.00000,-388.00000,-499.00000,,,77.00000,-2509.00000,4017.00000,-331.00000,3686.00000,-2241.00000,-2241.00000,-2069.00000,-564.00000,-1188.00000,37.00000,152.00000,-2069.00000
2015-12-31,4356.00000,1863.00000,1687.00000,3550.00000,-438.00000,-766.00000,-202.00000,-916.00000,6755.00000,-1652.00000,-437.00000,-338.00000,,,-367.00000,-2794.00000,-20.00000,795.00000,775.00000,-8859.00000,-8859.00000,-2184.00000,-508.00000,-10776.00000,1585.00000,158.00000,-2184.00000
2014-12-31,6468.00000,1820.00000,622.00000,2442.00000,111.00000,-636.00000,-632.00000,-1246.00000,6979.00000,-1594.00000,-593.00000,-58.00000,,,278.00000,-1967.00000,-206.00000,-346.00000,-552.00000,-1313.00000,-1313.00000,-2048.00000,-336.00000,-4249.00000,563.00000,219.00000,-2048.00000
2013-12-31,5655.00000,1735.00000,518.00000,2253.00000,-476.00000,-465.00000,-36.00000,46.00000,7314.00000,-1569.00000,-722.00000,1409.00000,,,-441.00000,-1323.00000,-2775.00000,-113.00000,-2888.00000,-822.00000,-822.00000,-1908.00000,-313.00000,-5931.00000,-229.00000,250.00000,-1908.00000
2012-12-31,5130.00000,1524.00000,400.00000,1924.00000,-165.00000,-539.00000,-434.00000,-327.00000,6605.00000,-1389.00000,-1543.00000,-15601.00000,,,-262.00000,-18795.00000,10057.00000,-214.00000,9843.00000,522.00000,522.00000,-1752.00000,-592.00000,8021.00000,-1141.00000,210.00000,-1752.00000
2011-12-31,4979.00000,1263.00000,241.00000,1504.00000,-697.00000,-330.00000,-24.00000,-291.00000,6460.00000,-929.00000,,137.00000,,,120.00000,-672.00000,-557.00000,562.00000,5.00000,-1949.00000,-1949.00000,-1602.00000,-437.00000,-3983.00000,1877.00000,221.00000,-1602.00000
2010-12-31,4711.00000,1300.00000,-914.00000,386.00000,-313.00000,-259.00000,-20.00000,576.00000,5720.00000,-838.00000,,-2537.00000,,,225.00000,-3150.00000,611.00000,-141.00000,470.00000,-1814.00000,-1814.00000,-1482.00000,-314.00000,-3140.00000,-366.00000,148.00000,-1482.00000
2009-12-31,4179.00000,1258.00000,-666.00000,592.00000,955.00000,695.00000,-3.00000,1065.00000,5353.00000,-826.00000,,-545.00000,,,267.00000,-1104.00000,-975.00000,-762.00000,-1737.00000,-758.00000,-758.00000,-1356.00000,-340.00000,-4191.00000,122.00000,153.00000,-1356.00000
