,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-578.00000,1061.00000,1138.00000,2199.00000,-625.00000,-885.00000,605.00000,1027.00000,122.00000,1888.00000,-772.00000,-845.00000,53.00000,-1564.00000,,-28.00000,-28.00000,-828.00000,-828.00000,-743.00000,7.00000,-1592.00000,-1365.00000,207.00000,-743.00000
2021-12-31,-330.00000,1105.00000,1057.00000,2162.00000,-126.00000,170.00000,246.00000,190.00000,480.00000,2374.00000,-541.00000,-196.00000,274.00000,-463.00000,-63.00000,-873.00000,-936.00000,-434.00000,-434.00000,-749.00000,-24.00000,-2143.00000,-279.00000,205.00000,-749.00000
2020-12-31,-15761.00000,16090.00000,582.00000,16672.00000,680.00000,-80.00000,-711.00000,327.00000,216.00000,1304.00000,-787.00000,130.00000,39.00000,-618.00000,458.00000,533.00000,991.00000,,,-744.00000,-22.00000,225.00000,883.00000,210.00000,-744.00000
2019-12-31,271.00000,1418.00000,296.00000,1714.00000,-583.00000,-200.00000,249.00000,1087.00000,553.00000,2126.00000,-976.00000,-99.00000,30.00000,-1045.00000,-45.00000,-542.00000,-587.00000,-250.00000,-250.00000,-745.00000,48.00000,-1534.00000,-474.00000,,-745.00000
2018-12-31,283.00000,1486.00000,-123.00000,1363.00000,-204.00000,-339.00000,794.00000,129.00000,380.00000,1762.00000,-537.00000,-77.00000,36.00000,-578.00000,-684.00000,-376.00000,-1060.00000,-2486.00000,-2486.00000,-810.00000,-7.00000,-4363.00000,-3307.00000,,-810.00000
2017-12-31,-391.00000,1103.00000,-615.00000,488.00000,-1190.00000,418.00000,303.00000,-439.00000,-908.00000,-799.00000,-493.00000,-3355.00000,-275.00000,-4123.00000,3751.00000,-663.00000,3088.00000,-477.00000,-477.00000,-406.00000,8714.00000,10919.00000,6049.00000,,-406.00000
2016-12-31,185.00000,550.00000,-38.00000,512.00000,278.00000,367.00000,-256.00000,-807.00000,-418.00000,262.00000,-404.00000,-16.00000,-52.00000,-472.00000,,-156.00000,-156.00000,,,,54.00000,-102.00000,-451.00000,,0.00000
2015-12-31,-631.00000,2610.00000,-96.00000,2514.00000,469.00000,442.00000,-450.00000,-954.00000,-493.00000,1277.00000,-577.00000,-86.00000,197.00000,-466.00000,,177.00000,177.00000,,,,-692.00000,-515.00000,42.00000,,0.00000
2014-12-31,1731.00000,1814.00000,-106.00000,1708.00000,-524.00000,-296.00000,291.00000,-47.00000,-486.00000,2953.00000,-1354.00000,-314.00000,9.00000,-1659.00000,,-248.00000,-248.00000,-384.00000,-384.00000,-279.00000,-28.00000,-939.00000,341.00000,,-279.00000
2013-12-31,1103.00000,1698.00000,-84.00000,1614.00000,-453.00000,-120.00000,845.00000,,241.00000,3161.00000,-1630.00000,-22.00000,-11.00000,-1663.00000,,-571.00000,-571.00000,-249.00000,-249.00000,-267.00000,-16.00000,-1103.00000,384.00000,115.00000,-267.00000
2012-12-31,1317.00000,1568.00000,-121.00000,1447.00000,16.00000,-547.00000,-94.00000,,-771.00000,1835.00000,-2521.00000,,,-2521.00000,,847.00000,847.00000,81.00000,81.00000,-263.00000,-19.00000,646.00000,-35.00000,115.00000,-263.00000
2011-12-31,1743.00000,1321.00000,-124.00000,1197.00000,-1024.00000,-641.00000,314.00000,,-1414.00000,1507.00000,-2150.00000,,9.00000,-1891.00000,-71.00000,125.00000,54.00000,183.00000,183.00000,-261.00000,-6.00000,-30.00000,-406.00000,108.00000,-261.00000
2010-12-31,819.00000,1069.00000,-181.00000,888.00000,-702.00000,-243.00000,292.00000,,-812.00000,856.00000,-1283.00000,-888.00000,45.00000,-2376.00000,1479.00000,52.00000,1531.00000,74.00000,74.00000,-241.00000,2.00000,1366.00000,-139.00000,87.00000,-241.00000
2009-12-31,421.00000,711.00000,-142.00000,569.00000,399.00000,240.00000,-89.00000,,251.00000,1239.00000,-923.00000,-58.00000,15.00000,-966.00000,-525.00000,-16.00000,-541.00000,51.00000,51.00000,-185.00000,,-675.00000,-360.00000,88.00000,-185.00000
