,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,127.00000,2298.00000,-33.00000,2265.00000,-637.00000,,-130.00000,-182.00000,2173.00000,-2485.00000,,3716.00000,-321.00000,3395.00000,-274.00000,636.00000,-2683.00000,-2683.00000,-21.00000,-21.00000,,73.00000,-2631.00000,178.00000,78.00000,0.00000
2021-12-31,-1993.00000,2335.00000,-717.00000,1618.00000,-304.00000,,884.00000,1041.00000,704.00000,-15.00000,,-5932.00000,-28.00000,-5960.00000,-8.00000,-5983.00000,4847.00000,4847.00000,442.00000,442.00000,,-1.00000,5288.00000,9.00000,98.00000,0.00000
2020-12-31,-8885.00000,2370.00000,-1292.00000,1078.00000,538.00000,,1305.00000,1217.00000,-6543.00000,-1607.00000,,-3378.00000,,-3378.00000,643.00000,-4342.00000,8245.00000,8245.00000,2797.00000,2797.00000,-43.00000,-5.00000,10994.00000,109.00000,91.00000,-43.00000
2019-12-31,1686.00000,2318.00000,740.00000,3058.00000,73.00000,,-1267.00000,-867.00000,3815.00000,-4214.00000,,957.00000,,957.00000,1014.00000,-2243.00000,-230.00000,-230.00000,-1097.00000,-1097.00000,-178.00000,-63.00000,-1568.00000,4.00000,94.00000,-178.00000
2018-12-31,1412.00000,2159.00000,625.00000,2784.00000,222.00000,,-641.00000,-566.00000,3533.00000,-3634.00000,,365.00000,207.00000,572.00000,1089.00000,-1973.00000,-587.00000,-587.00000,-837.00000,-837.00000,-186.00000,-62.00000,-1672.00000,-112.00000,86.00000,-186.00000
2017-12-31,1282.00000,2017.00000,2308.00000,4325.00000,-190.00000,,-830.00000,-721.00000,4744.00000,-5877.00000,,1591.00000,-203.00000,1388.00000,853.00000,-3636.00000,726.00000,726.00000,-1615.00000,-1615.00000,-198.00000,-58.00000,-1145.00000,-37.00000,90.00000,-198.00000
2016-12-31,2584.00000,1699.00000,1858.00000,3557.00000,-160.00000,,254.00000,401.00000,6524.00000,-5606.00000,,-96.00000,,-96.00000,,-5702.00000,3874.00000,3874.00000,-4500.00000,-4500.00000,-224.00000,-44.00000,-894.00000,-72.00000,100.00000,-224.00000
2015-12-31,7610.00000,1487.00000,-2650.00000,-1163.00000,352.00000,,-711.00000,-186.00000,6249.00000,-6116.00000,,470.00000,52.00000,522.00000,,-5594.00000,2856.00000,2856.00000,-3846.00000,-3846.00000,-278.00000,9.00000,-1259.00000,-604.00000,284.00000,-278.00000
2014-12-31,2882.00000,1342.00000,539.00000,1881.00000,-160.00000,,-1636.00000,-1686.00000,3080.00000,-5278.00000,,2060.00000,,2060.00000,307.00000,-2911.00000,170.00000,170.00000,-1052.00000,-1052.00000,-144.00000,711.00000,-315.00000,-146.00000,304.00000,-144.00000
2013-12-31,-1834.00000,1020.00000,1949.00000,2969.00000,-93.00000,,-362.00000,-384.00000,675.00000,-2986.00000,206.00000,-1034.00000,,-1034.00000,,-3814.00000,2208.00000,2208.00000,,,,1591.00000,3799.00000,660.00000,39.00000,0.00000
2012-12-31,-1876.00000,1001.00000,2028.00000,3029.00000,-222.00000,,-117.00000,110.00000,1285.00000,-1765.00000,,194.00000,,194.00000,,-1571.00000,-1020.00000,-1020.00000,,,,1503.00000,483.00000,197.00000,29.00000,
2011-12-31,-1979.00000,1075.00000,1062.00000,2137.00000,-164.00000,,473.00000,498.00000,743.00000,-1614.00000,,322.00000,,322.00000,,-1292.00000,24.00000,24.00000,,,,640.00000,664.00000,115.00000,40.00000,
2010-12-31,-471.00000,1093.00000,279.00000,1372.00000,29.00000,-81.00000,354.00000,283.00000,1241.00000,-1958.00000,,-72.00000,,-72.00000,,-2030.00000,-612.00000,-612.00000,1.00000,1.00000,,1415.00000,804.00000,15.00000,43.00000,
2009-12-31,-1468.00000,1104.00000,889.00000,1993.00000,43.00000,-79.00000,504.00000,393.00000,930.00000,-1445.00000,,-1331.00000,,-1331.00000,53.00000,-2723.00000,574.00000,574.00000,413.00000,413.00000,,768.00000,1755.00000,-38.00000,61.00000,
