,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1280.60000,905.40000,356.80000,1262.20000,-84.10000,-45.50000,307.10000,-221.60000,-603.40000,1955.90000,-480.50000,,-1162.40000,-17.40000,,-17.40000,8.10000,-1652.20000,,,,-1049.40000,-1049.40000,-195.20000,-77.60000,-1322.20000,-1042.70000,144.10000,-195.20000
2021-12-31,2379.50000,745.10000,272.70000,1017.80000,42.80000,2.80000,-10.20000,-23.20000,-263.70000,3109.60000,-373.10000,,-496.90000,-27.80000,,-27.80000,13.20000,-884.60000,-375.00000,,-375.00000,-1616.80000,-1616.80000,,-74.00000,-2065.80000,151.90000,153.70000,
2020-12-31,1557.00000,1086.80000,265.00000,1351.80000,-955.90000,-196.60000,-5.30000,43.00000,-856.90000,2135.30000,-339.60000,,-267.60000,-40.10000,,-40.10000,4.10000,-643.20000,-412.20000,,-412.20000,-44.10000,-44.10000,,-61.10000,-517.40000,983.30000,111.70000,
2019-12-31,824.90000,577.20000,343.50000,920.70000,-123.10000,-21.90000,-12.80000,-4.50000,-294.40000,1444.70000,-392.50000,,-874.30000,-27.50000,,-27.50000,11.20000,-1283.10000,210.10010,,210.10010,-385.30000,-385.30000,,-77.50000,-252.70000,-89.30000,107.00000,
2018-12-31,883.90000,552.10000,-71.10000,481.00000,-30.80000,-18.90000,43.30000,-91.70000,-70.30000,1305.40000,-329.70000,,540.40000,-22.30000,,-22.30000,18.30000,206.70000,-694.99990,,-694.99990,-630.90000,-630.90000,,-64.00000,-1389.90000,110.20000,91.60000,
2017-12-31,1232.90000,533.20000,-416.10000,117.10000,-9.20000,-16.40000,172.30000,104.20000,148.10000,1498.10000,-307.40000,-2.50000,-1882.60000,-36.20000,,-36.20000,,-2228.70000,956.89990,,956.89990,-264.50000,-264.50000,,-99.20000,593.20000,-117.00000,109.70000,
2016-12-31,712.90000,500.80000,156.30000,657.10000,-89.60000,-9.60000,-8.70000,-7.70000,-172.90000,1197.10000,-248.10000,0.00000,-548.60000,13.50000,-12.50000,1.00000,,-795.70000,-653.40000,,-653.40000,26.70000,26.70000,,-44.30000,-671.00000,-282.80000,109.60000,
2015-12-31,438.70000,459.80000,112.40000,572.20000,-88.70000,-0.20000,30.70000,67.70000,-28.50000,982.40000,-255.20000,,-3736.00000,8.00000,-11.70000,-3.70000,,-3994.90000,3109.40000,,3109.40000,98.90000,98.90000,,-23.70000,3184.60000,136.40000,102.10000,
2014-12-31,512.60000,247.50000,55.10000,302.60000,-31.10000,-0.30000,-21.20000,-12.90000,-76.20000,739.00000,-202.10000,,-159.40000,,11.40000,11.40000,,-350.10000,-20.30000,,-20.30000,-154.20000,-154.20000,,-26.10000,-200.60000,176.00000,45.70000,
2013-12-31,575.40000,232.40000,85.40000,317.80000,-67.50000,-15.30000,60.80000,-32.30000,-74.50000,818.70000,-201.10000,0.00000,-159.50000,7.50000,-6.50000,1.00000,,-359.60000,328.10000,,328.10000,-841.60000,-841.60000,,-4.80000,-518.30000,-62.80000,37.30000,
2012-12-31,584.80000,232.50000,99.10000,331.60000,0.60000,-6.30000,-30.00000,7.10000,-75.00000,841.40000,-170.60000,-2.50000,-335.10000,,-26.00000,-26.00000,,-534.20000,431.80000,,431.80000,-430.70000,-430.70000,,-1.90000,-0.80000,307.50000,40.70000,
2011-12-31,533.10000,235.30000,59.70000,295.00000,-37.10000,-6.10000,-8.70000,9.80000,27.50000,855.60000,-142.00000,,-138.30000,,,,,-280.30000,29.00000,,29.00000,-525.50000,-525.50000,,-148.50000,-645.00000,-71.40000,48.90000,
2010-12-31,571.60000,209.40000,63.30000,272.70000,-25.30000,-5.80000,50.10000,-13.50000,39.30000,883.60000,-121.30000,-0.40000,-1185.80000,,-10.00000,-10.00000,,-1317.50000,787.20000,,787.20000,-254.70000,-254.70000,,-17.20000,515.30000,82.20000,40.00000,
2009-12-31,555.60000,203.40000,50.80000,254.20000,74.00000,-4.30000,22.80000,5.90000,52.60000,862.40000,-113.80000,0.00000,-215.90000,,-4.30000,-4.30000,,-334.00000,-336.80000,-5.00000,-341.80000,-248.20000,-248.20000,,-10.90000,-600.90000,-71.20000,36.40000,
