,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1191.62400,61.24100,121.64300,182.88400,-128.98100,-347.71200,49.76500,-62.71300,-486.80900,887.69900,-187.41300,-23.42700,-329.47200,,405.28800,405.28800,-26.34300,-161.36700,0.07500,0.07500,-707.01300,-707.01300,,-706.93800,-19.32100,64.10900
2021-12-31,1377.47500,50.15500,90.00600,140.16100,-254.22800,-277.79300,114.29700,-51.50700,-361.89500,1155.74100,-42.54000,-13.58500,,,-924.54410,-924.54410,-11.35300,-992.02200,2.92800,2.92800,31.89300,31.89300,,34.82100,146.04900,70.48300
2020-12-31,1409.59400,57.03000,-74.29100,-17.26100,-119.67200,30.30400,18.69600,-20.81200,-28.17000,1364.16300,-47.72900,-18.55000,,,-379.78500,-379.78500,-26.42300,-472.48700,-3.08600,-3.08600,-522.98210,-522.98210,,-526.06800,382.45600,70.28900
2019-12-31,1107.83500,60.72700,68.45400,129.18100,-59.94100,-85.22200,28.83200,-39.66200,-123.25400,1113.76200,-100.42200,-8.73700,,,-216.30000,-216.30000,-1.26500,-326.72400,-13.56900,-13.56900,-614.93700,-614.93700,,-628.50600,160.44400,63.35600
2018-12-31,993.00400,56.97900,55.81800,112.79700,-38.41200,-26.14600,9.85200,-25.12300,56.08000,1161.88100,-57.64600,-12.98400,,,355.40000,355.40000,-11.81400,272.95600,-1.88600,-1.88600,-1314.22500,-1314.22500,,-1316.11100,108.89100,57.11100
2017-12-31,820.67800,48.88700,119.05600,167.94300,16.53800,-88.86700,29.57900,103.82700,-0.89000,987.73100,-82.01900,-9.69300,,,-438.63000,-438.63000,-1.19900,-531.54100,-2.58300,-2.58300,-308.55200,-308.55200,,-311.13500,151.04000,52.28200
2016-12-31,712.68500,40.84500,26.55200,67.39700,-106.36300,20.87500,45.34000,7.13700,-78.72700,701.35500,-787.49700,-5.51800,,-152.05000,688.86500,536.81500,0.00700,-256.19300,-2.35900,-2.35900,-2236.03200,-2236.03200,,-2238.39100,-1797.83500,45.84800
2015-12-31,546.73300,30.86000,-310.14000,-279.28000,-76.73100,-7.06800,20.86400,-48.34400,255.27000,522.72300,-34.67900,172.77000,198.00800,-2033.58400,2097.94900,64.36500,-0.39800,400.06600,-1.08300,-1.08300,888.69400,888.69400,,887.61100,1805.09400,32.71900
2014-12-31,483.18500,25.65100,18.33900,43.99000,-9.71000,42.76300,11.28200,-7.21900,70.31600,597.49100,-26.98900,-3.41100,,-1130.60100,719.36800,-411.23290,1.23000,-440.40300,-1.61900,-1.61900,8.99300,8.99300,,7.37400,158.97400,28.55200
2013-12-31,338.66100,22.76200,-10.86700,11.89500,-50.28300,-21.55200,-8.20400,-1.51900,-8.52300,342.03300,-31.74000,-11.17500,,-557.41900,264.88600,-292.53300,-4.36000,-339.80800,-1.88700,-1.88700,-46.34700,-46.34700,30.34800,-17.88600,-11.16500,28.76400
2012-12-31,340.02000,20.56200,5.53600,26.09800,-17.77900,-47.56800,3.65900,-10.18200,-78.44200,287.67600,-42.64700,-6.30100,,-597.15500,917.57500,320.41990,0.37700,271.84900,-2.07600,-2.07600,-716.65500,-716.65500,19.65600,-699.07500,-136.81700,28.41300
2011-12-31,286.21900,17.08400,15.71700,32.80100,-57.00800,-4.46500,26.25000,-12.49200,14.80700,333.82700,-25.03300,-5.13200,,-583.13800,439.86600,-143.27200,0.41000,-173.02700,-1.94200,-1.94200,-156.07400,-156.07400,3.82400,-154.19200,4.48900,19.42400
2010-12-31,212.02900,11.77600,5.73800,17.51400,-8.38300,-44.97300,33.35200,-8.24800,-0.49900,229.04400,-12.43000,-9.85200,,-257.47400,68.68600,-188.78800,-1.44000,-212.51000,-0.42000,-0.42000,-2.71600,-2.71600,12.37400,9.23800,26.49300,16.86200
2009-12-31,208.71600,5.90700,12.16000,18.06700,8.46100,8.54500,-2.18500,-9.67100,-70.59100,156.19200,-22.67700,-5.21500,,-74.97600,97.17300,22.19700,1.22600,-4.46900,-1.53900,-1.53900,-83.67100,-83.67100,3.13100,-82.07900,71.54800,14.04000
