,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2842.00000,6341.00000,-318.00000,6023.00000,-533.00000,1862.00000,-3774.00000,-2445.00000,6465.00000,-41.00000,-4.00000,355.00000,-3674.00000,-3319.00000,-364.00000,-3728.00000,,,-1794.00000,-1794.00000,-875.00000,,-2669.00000,38.00000,-875.00000
2021-12-31,3662.00000,5913.00000,-1102.00000,4811.00000,-359.00000,1249.00000,-2839.00000,-1949.00000,7274.00000,-28.00000,-38.00000,1671.00000,-6503.00000,-4832.00000,-298.00000,-5196.00000,739.00000,739.00000,-1907.00000,-1907.00000,-869.00000,,-2037.00000,40.00000,-869.00000
2020-12-31,2697.00000,5562.00000,-161.00000,5401.00000,-68.00000,592.00000,-2232.00000,-1708.00000,6519.00000,-113.00000,,-566.00000,-3836.00000,-4402.00000,-377.00000,-4892.00000,-10.00000,-10.00000,-545.00000,-545.00000,-861.00000,,-1416.00000,227.00000,-861.00000
2019-12-31,2622.00000,5364.00000,-397.00000,4967.00000,-227.00000,1008.00000,-3700.00000,-2919.00000,5205.00000,-107.00000,,-957.00000,-1671.00000,-2628.00000,-167.00000,-2902.00000,-8.00000,-8.00000,-1335.00000,-1335.00000,-844.00000,,-2187.00000,121.00000,-844.00000
2018-12-31,2523.00000,5184.00000,-492.00000,4692.00000,-493.00000,710.00000,-3242.00000,-3025.00000,4380.00000,-74.00000,,908.00000,-2785.00000,-1877.00000,-378.00000,-2329.00000,-9.00000,-9.00000,-1189.00000,-1189.00000,-814.00000,,-2012.00000,29.00000,-814.00000
2017-12-31,2056.00000,4979.00000,-276.00000,4703.00000,-378.00000,521.00000,-2797.00000,-2654.00000,4148.00000,-59.00000,-439.00000,-26.00000,-1390.00000,-1416.00000,-288.00000,-2202.00000,132.00000,132.00000,-1267.00000,-1267.00000,-785.00000,,-1920.00000,37.00000,-785.00000
2016-12-31,3014.00000,4811.00000,-190.00000,4621.00000,324.00000,372.00000,-4318.00000,-3622.00000,4469.00000,-48.00000,,-199.00000,-1121.00000,-1320.00000,-359.00000,-1727.00000,91.00000,91.00000,-2140.00000,-2140.00000,-757.00000,,-2806.00000,-73.00000,-757.00000
2015-12-31,3439.00000,4703.00000,-104.00000,4599.00000,87.00000,248.00000,-4995.00000,-4660.00000,3434.00000,-123.00000,-13.00000,-326.00000,1196.00000,870.00000,-417.00000,317.00000,-8.00000,-8.00000,-3041.00000,-3041.00000,-739.00000,55.00000,-3733.00000,6.00000,-739.00000
2014-12-31,3692.00000,4746.00000,-444.00000,4302.00000,193.00000,73.00000,-4630.00000,-4364.00000,3693.00000,-33.00000,-12.00000,-498.00000,1025.00000,527.00000,-276.00000,206.00000,,,-3137.00000,-3137.00000,-729.00000,57.00000,-3809.00000,80.00000,-729.00000
2013-12-31,3673.00000,4688.00000,-356.00000,4332.00000,1338.00000,27.00000,-5816.00000,-4451.00000,3816.00000,-107.00000,-997.00000,111.00000,435.00000,546.00000,-352.00000,-910.00000,-6.00000,-6.00000,-2255.00000,-2255.00000,-729.00000,51.00000,-2939.00000,-36.00000,-729.00000
2012-12-31,2473.00000,4737.00000,-170.00000,4567.00000,315.00000,123.00000,-4454.00000,-4016.00000,3230.00000,-95.00000,,117.00000,-648.00000,-531.00000,-346.00000,-972.00000,-258.00000,-258.00000,-1232.00000,-1232.00000,-694.00000,38.00000,-2146.00000,116.00000,-694.00000
2011-12-31,1426.00000,4678.00000,-273.00000,4405.00000,572.00000,188.00000,-4035.00000,-3275.00000,2169.00000,-66.00000,,2018.00000,-429.00000,1589.00000,-371.00000,1152.00000,-8.00000,-8.00000,-2651.00000,-2651.00000,-665.00000,18.00000,-3306.00000,14.00000,-665.00000
2010-12-31,3216.00000,4614.00000,-369.00000,4245.00000,1274.00000,63.00000,-5797.00000,-4460.00000,3054.00000,-21.00000,,-699.00000,3177.00000,2478.00000,-348.00000,2109.00000,74.00000,74.00000,-4630.00000,-4630.00000,-673.00000,8.00000,-5221.00000,-55.00000,-673.00000
2009-12-31,3622.00000,4610.00000,322.00000,4932.00000,1780.00000,-96.00000,-5393.00000,-3709.00000,4231.00000,-15.00000,,370.00000,-1323.00000,-953.00000,69.00000,-899.00000,351.00000,351.00000,-3108.00000,-3108.00000,-693.00000,8.00000,-3442.00000,-95.00000,-693.00000
