,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,492.60800,303.87000,-51.82600,252.04400,-150.57000,-78.52300,-2.65200,121.35500,-152.55400,619.64000,-324.73300,-120.11700,-158.27400,4.54900,-153.72500,-9.34700,-607.92200,19.79400,19.79400,-13.54100,-13.54100,-48.65000,-42.39700,-5.10000,73.61700
2021-12-31,398.83700,265.54000,50.18000,315.72000,-26.63300,-25.15900,44.90100,5.52900,42.94200,760.79900,-228.77200,-1170.40100,-45.55500,6.53200,-39.02300,0.26400,-1437.93200,669.98100,669.98100,4.94500,4.94500,-2.32800,672.59800,13.19500,71.47400
2020-12-31,365.30600,234.92400,-35.08400,199.84000,-85.62700,-18.37900,0.74800,36.50200,-26.27500,546.57500,-166.56000,-418.62800,-26.69200,11.40100,-15.29100,-1.06500,-601.54400,30.58810,30.58810,22.60700,22.60700,-5.94700,47.24800,-6.92700,56.34100
2019-12-31,254.06100,198.09500,19.61300,217.70800,-8.32300,-21.39900,29.77500,2.73200,6.17900,480.93600,-140.51400,-515.70100,-22.34100,0.94200,-21.39900,-3.88800,-681.50200,227.28000,227.28000,16.45900,16.45900,-11.80200,231.93700,42.72800,57.27100
2018-12-31,228.72400,161.77900,20.21000,181.98900,-21.19600,-13.33800,-12.73200,30.46400,14.81400,441.14000,-140.05400,-824.86800,-25.12500,35.84900,10.72400,-0.80500,-955.00300,554.02510,554.02510,23.81100,23.81100,-19.77700,558.05900,30.98700,47.34600
2017-12-31,125.44900,131.15900,56.18900,187.34800,-48.27900,-17.83800,0.03400,68.36000,5.94300,318.07400,-82.43100,47.45000,-46.21700,9.12800,-37.08900,-0.51600,-72.58600,-135.57900,-135.57900,-68.03900,-68.03900,-4.85800,-208.47600,46.43700,44.00300
2016-12-31,156.36600,126.65800,41.74000,168.39800,-52.78000,-4.02100,22.07600,11.93300,-13.49400,316.89900,-55.28800,-648.48200,-40.24800,47.65200,7.40400,3.69400,-692.67200,388.03000,388.03000,10.93000,10.93000,-18.20400,380.75600,-0.06900,43.64200
2015-12-31,151.08700,94.88100,30.29700,125.17800,-16.96300,3.36400,1.17400,32.22700,28.21600,306.83300,-63.25200,-247.65100,,-14.49200,-14.49200,-2.22100,-327.61600,75.18300,75.18300,-78.11100,-78.11100,-4.33000,-7.25800,-42.61200,40.12200
2014-12-31,128.19800,98.17000,30.52000,128.69000,-28.08800,-2.95600,4.59900,7.84600,-3.77400,252.13200,-56.92500,-234.26700,,-5.64800,-5.64800,-1.15000,-297.99000,104.38400,104.38400,-48.33000,-48.33000,5.36000,61.41400,4.09600,31.03500
2013-12-31,104.15100,106.19700,24.05400,130.25100,-19.49200,-1.57100,-7.08000,-6.84500,-25.35700,209.04500,-39.15400,-29.21800,,-5.98200,-5.98200,0.30700,-74.04700,-11.50000,-11.50000,-165.93200,-165.93200,93.19500,-84.23700,46.24200,24.54200
2012-12-31,97.86600,98.89700,31.58400,130.48100,-16.26600,0.78500,-3.25700,-7.01500,-25.86000,208.00600,-47.53400,-16.86100,,6.61900,6.61900,2.78600,-54.99000,-66.23100,-66.23100,-64.18900,-64.18900,19.29900,-111.12100,40.78000,21.85500
2011-12-31,109.97700,105.24000,25.20600,130.44600,7.66900,3.76600,2.20800,-18.87800,-27.78400,206.84200,-49.14300,,,7.05100,7.05100,5.44700,-36.64500,-2.25700,-2.25700,-283.79500,-283.79500,14.26600,-271.78600,-110.25500,21.70600
2010-12-31,-342.11700,418.42600,82.57400,501.00000,-5.64000,1.98900,0.07100,-11.93400,7.55600,168.23600,-42.86000,,,44.86400,44.86400,0.95000,2.95400,197.83700,197.83700,-352.03500,-352.03500,-13.69700,-167.89500,-3.41400,25.52600
2009-12-31,112.60200,103.76000,41.88400,145.64400,21.08200,-4.37600,-11.34900,-17.62100,-43.57500,215.57700,-79.85300,-83.34700,,-48.50700,-48.50700,2.62300,-209.08400,-36.13000,-36.13000,-45.07800,-45.07800,0.23100,-80.97700,-61.01800,23.65200
