,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-07-31,1090.13000,138.60500,73.43500,212.04000,-97.75000,-10.85100,-23.35700,-125.48700,1176.68300,-333.11500,,-374.86600,-2.59100,-377.45700,268.26200,-442.31000,-416.75900,,-416.75900,37.73300,37.73300,,-3.66700,-382.69300,335.97600,38.96500,
2021-07-31,936.49500,123.08400,27.13000,150.21400,-127.51300,-24.60200,-4.10000,-95.81800,990.89100,-460.46600,,,,,-5.00000,-465.46600,,,,48.18500,48.18500,,-7.26300,40.92200,570.54200,40.92200,
2020-07-31,699.90700,104.25700,47.56200,151.81900,15.99300,1.34800,4.27200,66.15900,917.88500,-589.50600,,,,,-11.70200,-601.20800,,,,79.91600,79.91600,,-107.33000,-27.41400,291.39900,23.32200,
2019-07-31,591.69300,85.33400,43.52900,128.86300,-60.80800,-4.71900,-25.96300,-73.91000,646.64600,-356.26700,,,,,,-356.26700,,,,-323.41600,-323.41600,,-46.88800,-370.30400,-88.20100,23.44500,
2018-07-31,418.00700,79.04000,46.22700,125.26700,-40.33500,-3.95900,-5.16600,-8.20500,535.06900,-290.27200,1.79600,,,,,-288.47600,,-231.00000,-231.00000,50.31200,50.31200,-0.23500,-1.11500,-182.03800,64.42000,23.22100,-0.23500
2017-07-31,394.26100,57.44100,61.14800,118.58900,-38.54200,1.29400,0.17700,-20.79200,492.05800,-332.22500,,,-3.56600,-3.56600,,-335.79100,,-7.00000,-7.00000,35.45800,35.45800,,-135.43300,-106.97500,54.25100,20.84000,
2016-07-31,270.36000,49.64300,28.62000,78.26300,-54.21300,-2.50900,2.11100,-16.12500,332.49800,-173.25500,,0.37900,,0.37900,,-172.87600,-244.03200,238.00000,-6.03200,-426.24600,-426.24600,,-16.21800,-448.49600,-300.16300,20.86400,
2015-07-31,219.78300,48.89300,18.05200,66.94500,-20.41700,-1.73100,7.19900,-21.65200,265.07600,-77.63200,,0.00000,-4.50000,-4.50000,0.21700,-81.91500,348.93900,,348.93900,-226.77100,-226.77100,,-1.80600,120.36200,297.34400,18.15400,
2014-07-31,178.68700,53.72600,37.70200,91.42800,-12.87000,4.01200,-16.17100,-7.52100,262.59400,-92.96100,,,,,0.85800,-92.10300,-75.00000,-16.29100,-91.29100,12.17900,12.17900,,2.28900,-76.82300,95.03700,22.09900,
2013-07-31,180.02500,56.72800,8.53700,65.26500,-31.17100,-1.77700,-28.62200,-45.96400,199.32600,-211.21000,,,,,3.18900,-208.02100,-96.66000,16.29100,-80.36900,8.38100,8.38100,,6.09700,-65.89100,-76.48100,19.55700,
2012-07-31,182.11900,48.16700,8.28100,56.44800,-16.00400,-0.21800,6.59600,-8.89400,229.67300,-56.12800,,,,,8.04100,-48.08700,68.75000,,68.75000,-187.67700,-187.67700,,4.05400,-114.87300,66.10300,21.79100,
2011-07-31,166.37500,45.69400,15.51300,61.20700,-12.50600,-2.66600,13.28200,15.35000,242.93200,-84.48000,,,,,,-84.48000,375.00000,,375.00000,-730.59900,-730.59900,,1.52400,-354.07500,-194.17900,19.00700,
2010-07-31,151.62700,43.24200,8.90100,52.14300,2.43600,-0.25600,-12.76200,-4.36300,199.40700,-94.72500,,,,,-1.30000,-96.02500,,,,-4.37700,-4.37700,,5.64300,1.26600,105.49700,17.95500,
2009-07-31,141.10300,41.35400,0.48300,41.83700,0.98200,-0.05400,-6.14400,20.39900,203.33900,-71.90400,,,,,12.00000,-59.90400,,-17.50200,-17.50200,-4.70800,-4.70800,,4.57000,-17.64000,123.73700,9.41300,
