,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-2421.00000,4559.00000,108.00000,4667.00000,-146.00000,-361.00000,-167.00000,-1023.00000,1211.00000,-679.00000,-263.00000,11.00000,-931.00000,-954.00000,55.00000,-899.00000,95.00000,95.00000,-573.00000,-61.00000,-1438.00000,-1234.00000,154.00000,-573.00000
2021-12-31,1295.00000,890.00000,106.00000,996.00000,-170.00000,-37.00000,-166.00000,-161.00000,2222.00000,-743.00000,-10502.00000,45.00000,-11200.00000,9080.00000,246.00000,9326.00000,-413.00000,-413.00000,-530.00000,-138.00000,8245.00000,-780.00000,146.00000,-530.00000
2020-12-31,1110.00000,840.00000,104.00000,944.00000,-119.00000,-162.00000,-134.00000,-272.00000,1868.00000,-709.00000,-494.00000,24.00000,-1179.00000,704.00000,-226.00000,478.00000,-298.00000,-298.00000,-473.00000,-52.00000,-345.00000,401.00000,130.00000,-473.00000
2019-12-31,1011.00000,820.00000,583.00000,1403.00000,-52.00000,4.00000,-158.00000,-425.00000,2104.00000,-696.00000,-418.00000,14.00000,-1100.00000,1883.00000,,1883.00000,-914.00000,-914.00000,-423.00000,-48.00000,498.00000,1497.00000,122.00000,-423.00000
2018-12-31,1546.00000,771.00000,-102.00000,669.00000,-12.00000,-197.00000,-99.00000,-248.00000,2017.00000,-659.00000,-268.00000,11.00000,-916.00000,,,,-2194.00000,-2194.00000,-376.00000,-33.00000,-2603.00000,-1565.00000,115.00000,-376.00000
2017-12-31,602.00000,750.00000,434.00000,1184.00000,30.00000,76.00000,-227.00000,-110.00000,1714.00000,-616.00000,-686.00000,10.00000,-1292.00000,665.00000,,665.00000,-217.00000,-217.00000,-315.00000,-40.00000,93.00000,617.00000,107.00000,-315.00000
2016-12-31,4965.00000,800.00000,-4181.00000,-3381.00000,15.00000,80.00000,-74.00000,-176.00000,1654.00000,-719.00000,-11.00000,15.00000,-715.00000,260.00000,-300.00000,-40.00000,-6.00000,-6.00000,-268.00000,-10.00000,-324.00000,588.00000,115.00000,-268.00000
2015-12-31,968.00000,759.00000,341.00000,1100.00000,-4.00000,-118.00000,-453.00000,-339.00000,1771.00000,-911.00000,50.00000,-946.00000,-1807.00000,3082.00000,-575.00000,2507.00000,193.00000,193.00000,-910.00000,-2271.00000,-481.00000,-712.00000,126.00000,-910.00000
2014-12-31,2497.00000,792.00000,321.00000,1113.00000,-93.00000,-143.00000,-141.00000,-414.00000,3215.00000,-925.00000,4.00000,-621.00000,-1542.00000,-988.00000,875.00000,-113.00000,-550.00000,-550.00000,-1095.00000,356.00000,-1402.00000,192.00000,126.00000,-1095.00000
2013-12-31,2012.00000,635.00000,602.00000,1237.00000,16.00000,-49.00000,-120.00000,22.00000,3198.00000,-706.00000,-3642.00000,-1014.00000,-5362.00000,3096.00000,,3096.00000,-913.00000,-913.00000,-1023.00000,485.00000,1645.00000,-537.00000,122.00000,-1023.00000
2012-12-31,2326.00000,712.00000,608.00000,1320.00000,-41.00000,-129.00000,-476.00000,-606.00000,3106.00000,-1161.00000,-408.00000,,-1569.00000,1015.00000,-250.00000,765.00000,-1480.00000,-1480.00000,-804.00000,404.00000,-1115.00000,365.00000,130.00000,-804.00000
2011-12-31,2256.00000,670.00000,552.00000,1222.00000,-229.00000,-315.00000,-247.00000,-693.00000,2817.00000,-960.00000,-467.00000,,-1427.00000,483.00000,250.00000,733.00000,-1583.00000,-1583.00000,-709.00000,422.00000,-1137.00000,220.00000,119.00000,-709.00000
2010-12-31,1427.00000,685.00000,1092.00000,1777.00000,-122.00000,20.00000,-182.00000,-258.00000,3003.00000,-963.00000,-301.00000,,-1264.00000,91.00000,,91.00000,-1453.00000,-1453.00000,-688.00000,334.00000,-1716.00000,-101.00000,120.00000,-688.00000
2009-12-31,2215.00000,638.00000,396.00000,1034.00000,-167.00000,-60.00000,-59.00000,-341.00000,2909.00000,-1014.00000,-132.00000,,-1146.00000,673.00000,-200.00000,473.00000,-1216.00000,-1216.00000,-632.00000,363.00000,-1012.00000,655.00000,140.00000,-632.00000
