,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2625.00000,2261.00000,342.00000,2603.00000,-220.00000,-183.00000,161.00000,-61.00000,-258.00000,4967.00000,-2102.00000,,,,-73.00000,-2175.00000,-677.00000,-677.00000,-368.00000,-368.00000,-2504.00000,404.00000,-3145.00000,-353.00000,-2504.00000
2021-12-31,1850.00000,2213.00000,1806.00000,4019.00000,-265.00000,-202.00000,387.00000,37.00000,-58.00000,5708.00000,-2422.00000,,,,117.00000,-2305.00000,-872.00000,-872.00000,,,-2443.00000,-150.00000,-3465.00000,-62.00000,-2443.00000
2020-12-31,180.00000,2304.00000,2080.00000,4384.00000,88.00000,16.00000,-19.00000,-32.00000,-91.00000,4550.00000,-654.00000,,,,-257.00000,-911.00000,-108.00000,-108.00000,-50.00000,-50.00000,-2362.00000,-118.00000,-2638.00000,1000.00000,-2362.00000
2019-12-31,2239.00000,2494.00000,274.00000,2768.00000,98.00000,4.00000,-198.00000,54.00000,-227.00000,4748.00000,-2267.00000,1527.00000,,,-974.00000,-1714.00000,-3188.00000,-3188.00000,-2.00000,-2.00000,-2163.00000,-832.00000,-6185.00000,-3122.00000,-2163.00000
2018-12-31,1919.00000,2392.00000,527.00000,2919.00000,-45.00000,15.00000,21.00000,189.00000,399.00000,5043.00000,-2839.00000,2998.00000,,,-227.00000,-68.00000,160.00000,160.00000,-273.00000,-273.00000,-1852.00000,141.00000,-1824.00000,3005.00000,-1696.00000
2017-12-31,223.00000,2322.00000,2124.00000,4446.00000,-78.00000,-90.00000,73.00000,120.00000,-2.00000,4601.00000,-3074.00000,,-23.00000,-23.00000,-306.00000,-3403.00000,-2196.00000,-2196.00000,-250.00000,170.00000,-1318.00000,1663.00000,-1681.00000,-461.00000,-1162.00000
2016-12-31,721.00000,2268.00000,2005.00000,4273.00000,-107.00000,49.00000,144.00000,-218.00000,-119.00000,4758.00000,-2885.00000,1401.00000,35.00000,35.00000,-176.00000,-1625.00000,-1431.00000,-1431.00000,,,-1296.00000,90.00000,-2637.00000,498.00000,-1142.00000
2015-12-31,208.00000,3510.00000,1380.00000,4890.00000,382.00000,34.00000,-154.00000,187.00000,486.00000,5313.00000,-5936.00000,,,,230.00000,-5706.00000,-800.00000,-800.00000,3858.00000,5399.00000,-4258.00000,-24.00000,317.00000,-86.00000,-4258.00000
2014-12-31,2443.00000,2085.00000,496.00000,2581.00000,-84.00000,-30.00000,-1.00000,-104.00000,-158.00000,4467.00000,-5000.00000,,,,-210.00000,-5210.00000,6772.00000,6772.00000,-192.00000,-192.00000,-3773.00000,-2336.00000,471.00000,-283.00000,-3773.00000
2013-12-31,2692.00000,1845.00000,-17.00000,1828.00000,-131.00000,-53.00000,-36.00000,-132.00000,-302.00000,4122.00000,-3171.00000,,,,49.00000,-3122.00000,1188.00000,1188.00000,-637.00000,-637.00000,-3314.00000,1668.00000,-1095.00000,-116.00000,-3314.00000
2012-12-31,427.00000,1449.00000,1216.00000,2665.00000,-231.00000,-92.00000,70.00000,32.00000,-315.00000,2808.00000,-1951.00000,-3179.00000,,,33.00000,-5097.00000,3393.00000,3393.00000,-157.00000,-157.00000,-2403.00000,1751.00000,2584.00000,303.00000,-2403.00000
2011-12-31,660.00000,1099.00000,469.00000,1568.00000,8.00000,-36.00000,29.00000,-10.00000,-25.00000,2366.00000,-2356.00000,,,,-36.00000,-2392.00000,779.00000,779.00000,,,-1726.00000,890.00000,-57.00000,-91.00000,-1726.00000
2010-12-31,300.00000,1085.00000,521.00000,1606.00000,18.00000,19.00000,-1.00000,-2.00000,3.00000,1913.00000,-1245.00000,,-926.00000,-926.00000,-117.00000,-2288.00000,1532.00000,1532.00000,,,-1549.00000,727.00000,710.00000,337.00000,-1549.00000
2009-12-31,773.10000,1076.00000,248.10000,1324.10000,47.60000,-20.00000,-180.50000,-102.10000,-461.40000,1579.00000,-1569.30000,,-36.00000,-36.00000,-1868.30000,-3473.60000,2192.00000,2192.00000,,,-1394.00000,1137.60000,1935.60000,47.00000,-1394.00000
