,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,482.00000,403.00000,1521.00000,1924.00000,-1155.00000,114.00000,1044.00000,82.00000,534.00000,2940.00000,-454.00000,-1.00000,,-1715.00000,-1715.00000,-1701.00000,-3871.00000,1064.00000,,1064.00000,-148.00000,-148.00000,,,916.00000,-285.00000,85.00000,
2021-12-31,83.00000,204.00000,644.00000,848.00000,-1089.00000,-142.00000,808.00000,77.00000,34.00000,965.00000,-573.00000,-36.00000,-51.00000,411.00000,411.00000,-1348.00000,-1597.00000,595.00000,,595.00000,1034.00000,1034.00000,,296.00000,1925.00000,1140.00000,90.00000,
2020-12-31,-1.00000,105.00000,254.00000,359.00000,-510.00000,-107.00000,901.00000,-44.00000,824.00000,1182.00000,-247.00000,,-7.00000,347.00000,347.00000,-345.00000,-252.00000,606.00000,,606.00000,-54.00000,-54.00000,-3.00000,-307.00000,242.00000,1057.00000,131.00000,
2019-12-31,-171.99900,73.32000,145.22100,218.54100,-29.82200,-4.14800,267.29300,27.73100,404.54900,451.09100,-136.79800,-0.07200,,-1137.07200,-1137.07200,-173.84800,-1447.79000,155.04000,,155.04000,1866.49500,1965.18300,-2.84400,-96.36700,2021.01200,986.72900,52.05700,
2018-12-31,-36.58500,57.20000,-71.74000,-14.54000,15.55000,-3.01500,175.39800,3.97600,282.03200,230.90700,-97.56200,-0.19200,-4.19500,-513.27780,-513.27780,-57.23200,-672.45900,-235.39500,,-235.39500,,,-6.62400,850.90100,608.88200,76.43500,27.52500,-6.62400
2017-12-31,13.78000,40.92100,118.86800,159.78900,-279.38000,-1.54900,242.03700,-15.88200,95.44100,269.01000,-74.85100,-0.03300,-8.56800,160.28520,160.28520,-99.47400,-22.64100,42.90100,,42.90100,,,-26.49600,-67.30800,-50.90300,154.12000,35.71900,-26.49600
2016-12-31,136.36600,29.02200,27.52200,56.54400,-196.02000,-0.78700,164.06000,-17.88400,-2.65100,190.25900,-76.93900,-0.43100,-7.28400,7.01000,7.01000,-6.59900,-84.24300,4.75100,,4.75100,,,-24.41900,,-19.66800,67.25900,22.98300,-24.41900
2015-12-31,105.78900,23.20900,49.99900,73.20800,-145.61500,-0.23700,119.35300,5.20400,42.37300,221.37000,-62.53000,-1.74600,-45.00900,-74.25310,-74.25310,,-183.53800,-4.02600,,-4.02600,-2.71400,-2.71400,-20.97400,,-27.71400,-56.26300,10.21300,-20.97400
2014-12-31,72.58100,16.94700,53.83600,70.78300,-81.64100,,61.07200,5.21800,53.42900,196.79300,-34.42600,-0.85700,-40.81400,-246.29390,-246.29390,,-322.39100,-7.70400,,-7.70400,-1.94400,-1.94400,-28.30300,302.24800,264.29700,82.85900,11.85200,-28.30300
2013-12-31,117.50700,11.87900,0.35400,12.23300,-50.07900,,47.55800,-10.74300,12.77300,142.51300,-113.75600,-0.45900,-3.42300,38.84900,38.84900,,-78.78900,15.51700,,15.51700,-1.00900,-1.00900,-23.75400,,-9.24600,38.79600,11.64500,-23.75400
2012-12-31,101.24730,8.95930,-3.58090,5.37840,-24.22210,,39.88920,-0.46310,33.26570,139.89140,-16.74780,-1.39070,,-66.48380,-66.48380,,-84.62220,,,,0.00570,0.00570,-17.96800,,-17.96230,34.10730,4.44280,-17.96800
2011-12-31,76.78010,7.26810,-2.23640,5.03170,-28.76940,,27.87580,-2.30130,7.61390,89.42560,-18.92420,-0.28070,-5.46820,-42.20940,-42.20940,,-66.88240,,,,0.01120,0.01120,-10.59320,,-10.58200,10.55120,4.07930,-10.59320
2010-12-31,56.02500,4.92170,-4.04090,0.88080,-9.38850,,15.45840,-4.06680,10.99070,67.89650,-13.21400,-0.41650,,-45.20350,-45.20350,,-58.83400,,-3.00000,-3.00000,0.01820,0.01820,,,-2.98180,7.02710,3.51700,0.00000
2009-12-31,33.20880,3.89380,-1.30280,2.59100,-3.91730,,12.42140,-3.28920,13.90120,49.70100,-3.79820,-0.95570,,1.66760,1.66760,,-3.08630,-15.00000,-0.31060,-15.31060,0.02840,0.02840,,,-15.28230,32.32930,2.00030,0.00000
