,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,641.00000,426.00000,80.00000,506.00000,-52.00000,-368.00000,306.00000,-110.00000,-109.00000,1038.00000,-146.00000,-89.00000,,-235.00000,-30.00000,-30.00000,-473.00000,-473.00000,-111.00000,-94.00000,-708.00000,68.00000,41.00000,-111.00000
2021-12-31,565.00000,441.00000,130.00000,571.00000,-76.00000,-41.00000,109.00000,-135.00000,-63.00000,1073.00000,-105.00000,-435.00000,,-540.00000,-161.00000,-161.00000,-300.00000,-300.00000,-92.00000,-100.00000,-653.00000,-126.00000,46.00000,-92.00000
2020-12-31,412.00000,385.00000,59.00000,444.00000,315.00000,181.00000,-269.00000,-265.00000,-72.00000,784.00000,-115.00000,-40.00000,,-155.00000,-199.00000,-199.00000,-207.00000,-207.00000,-93.00000,-120.00000,-619.00000,-5.00000,20.00000,-93.00000
2019-12-31,327.00000,319.00000,39.00000,358.00000,-6.00000,256.00000,-144.00000,226.00000,331.00000,1016.00000,-182.00000,-2996.00000,,-3178.00000,558.00000,558.00000,,,-82.00000,-15.00000,461.00000,-1738.00000,50.00000,-82.00000
2018-12-31,291.70000,109.30000,20.90000,130.20000,-54.60000,-108.90000,48.80000,-32.10000,-107.20000,314.70000,-82.00000,-51.20000,-14.10000,-147.30000,2026.70000,2026.70000,,,-46.30000,-2.30000,1978.10000,2108.90000,25.30000,-46.30000
2017-12-31,262.30000,103.20000,-44.20000,59.00000,-68.70000,-9.00000,-91.70000,8.20000,-132.50000,188.80000,-88.20000,-945.30000,,-1033.50000,-52.80010,-52.80010,4.40000,4.40000,-42.20000,-6.80000,-97.40000,-909.80000,21.30000,-42.20000
2016-12-31,313.40400,69.79500,10.81700,80.61200,19.72800,45.34000,-18.93200,33.47500,56.51400,450.53000,-49.85300,-183.11300,,-232.96600,772.25200,772.25200,-210.19300,-210.19300,-32.43000,-6.65800,522.97100,714.09900,20.81300,-32.43000
2015-12-31,398.62800,64.73400,31.58700,96.32100,21.50000,20.14700,-76.65000,-16.00500,-44.10500,450.84400,-47.64400,-129.55000,-202.94200,-380.13600,174.72000,174.72000,-384.69000,-384.69000,-26.96300,-14.56500,-251.49800,-199.65800,26.01900,-26.96300
2014-12-31,351.68000,61.26100,16.87200,78.13300,-17.41300,-64.08900,55.37800,-23.79600,42.57200,472.38500,-47.24100,-300.43700,,-347.67800,69.58100,69.58100,-23.42000,-23.42000,-19.24600,-1.40900,25.50600,140.08900,26.13400,-19.24600
2013-12-31,292.23500,51.19300,35.07400,86.26700,-149.69900,26.06000,60.97600,-16.32200,-142.84900,235.65300,-35.23800,-223.45400,,-258.69200,129.22500,129.22500,-27.83300,-27.83300,-12.64400,4.26600,93.01400,69.99400,24.10700,-12.64400
2012-12-31,251.73200,44.13600,18.41600,62.55200,-22.97600,-32.49100,-12.48300,10.98300,-76.84600,237.43800,-35.03000,-149.91400,,-184.94400,-78.05700,-78.05700,-42.12500,-42.12500,-7.66600,3.12500,-124.72300,-69.84900,19.84800,-7.66600
2011-12-31,170.14900,44.84900,-1.17300,43.67600,-68.69700,-79.53700,59.97400,48.34600,34.80100,248.62600,-37.30800,-108.87400,,-146.18200,-26.20200,-26.20200,-21.12300,-21.12300,-3.84900,4.41500,-46.75900,48.67400,18.64600,-3.84900
2010-12-31,123.09900,38.58600,26.22000,64.80600,-34.25500,-1.65000,44.29400,-4.16600,-11.76900,176.13600,-20.42500,-135.83000,,-156.25500,30.31700,30.31700,-5.12500,-5.12500,-1.91400,2.57000,25.84800,48.28200,11.76500,-1.91400
2009-12-31,115.05500,35.51900,6.19200,41.71100,80.54100,33.36000,-48.23800,-4.76700,5.53400,162.30000,-14.19700,-101.02400,,-115.22100,4.17600,4.17600,-17.12200,-17.12200,-1.91700,1.90600,-12.95700,46.85400,3.62000,-1.91700
