,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,0.00000,,,,,,,,3794.00000,,,,,,,,-572.00000,,,,,,,,-926.00000,2547.00000,,
2021-12-31,1191.00000,3540.00000,1358.00000,4898.00000,-445.00000,45.00000,-3652.00000,-2931.00000,3158.00000,-1710.00000,-54.00000,-39.00000,,-1254.00000,-1254.00000,-1877.00000,-4934.00000,1211.00000,176.00000,1387.00000,-1030.00000,-1030.00000,,3314.00000,3671.00000,1747.00000,1107.00000,
2020-12-31,2916.00000,3481.00000,102.00000,3583.00000,-235.00000,-24.00000,-2563.00000,-2790.00000,3709.00000,-779.00000,-38.00000,-441.00000,,-3103.00000,-3103.00000,138.00000,-4223.00000,1847.00000,51.00000,1898.00000,-1251.00000,-1251.00000,,222.00000,869.00000,323.00000,1031.00000,
2019-12-31,-328.00000,2753.00000,2624.00000,5377.00000,-275.00000,-20.00000,-428.00000,-961.00000,4088.00000,-923.00000,-1823.00000,-207.00000,,80.00000,80.00000,4.00000,-2869.00000,254.00000,-62.00000,192.00000,-652.00000,-652.00000,,-96.00000,-556.00000,663.00000,808.00000,
2018-12-31,3284.00000,2355.00000,-884.00000,1471.00000,-157.00000,110.00000,-72.00000,476.00000,5231.00000,-1283.00000,-1964.00000,524.00000,1249.00000,-4401.00000,-3152.00000,863.00000,-5012.00000,2075.00000,941.00000,3016.00000,1898.00000,1898.00000,,-2720.00000,2194.00000,2689.00000,681.00000,
2017-12-31,2810.00000,1806.00000,-573.00000,1233.00000,-84.00000,-47.00000,358.00000,1011.00000,5054.00000,-736.00000,-1402.00000,137.00000,-1575.00000,-4635.00000,-6210.00000,-3614.00000,-11825.00000,2338.00000,1288.00000,3626.00000,428.00000,428.00000,,2794.00000,6848.00000,29.00000,499.00000,
2016-12-31,1670.11500,1199.41800,-475.66200,723.75590,195.20900,-47.13500,129.40700,811.99000,3205.86100,-599.15000,-906.59300,39.56700,-1102.86000,-1975.21900,-3078.07900,-627.96900,-5172.22500,805.34500,181.37900,986.72400,120.53900,120.53900,,973.49210,2080.75500,135.17600,253.49100,
2015-12-31,5006.67600,904.76900,-3567.29400,-2662.52500,-256.96100,102.64500,-299.82700,654.15590,2998.30700,-805.36300,-384.83000,-598.02800,,-3035.84200,-3035.84200,-3.56900,-4827.63200,-1.74600,1599.68300,1597.93700,-405.05500,-405.05500,,7.83900,1200.72100,-600.94300,214.13400,
2014-12-31,1973.27500,640.21800,-246.20800,394.01000,-175.85500,-58.86600,-52.12400,523.66390,2890.94900,-775.39900,-252.03000,-53.00800,,-2540.74400,-2540.74400,0.02900,-3621.14700,235.30600,1000.52300,1235.82900,328.73400,328.73400,-54.47000,-122.09900,1387.99400,670.62000,155.16600,-54.47000
2013-12-31,1710.70300,438.07700,-30.13100,407.94600,-127.83000,0.35100,-44.02700,159.78900,2278.43800,-454.32500,-150.27500,-2180.67100,,-1024.73700,-1024.73700,-42.64900,-3852.65700,,995.65000,995.65000,256.63500,256.63500,,-6.50800,1245.77700,-361.57000,85.02700,
2012-12-31,1667.91500,243.22900,-111.00800,132.22100,-181.87600,54.62800,127.72600,125.35600,1925.49200,-374.46900,-30.54600,-131.70400,-1575.11200,-89.67200,-1664.78400,-5.54200,-2207.04500,34.59000,1468.02600,1502.61600,25.27000,25.27000,,,1527.88600,1244.46600,34.07800,
2011-12-31,1026.14000,137.16000,,137.16000,,,,91.83000,1267.71000,-272.74000,,-301.60000,,,-1544.52000,-89.95000,-2208.83000,,0.00000,365.59000,,3.59000,0.00000,6.81000,376.00000,-566.44000,,
2010-12-31,534.11000,66.87000,,66.87000,,,,113.04000,712.19000,-135.65000,,0.00000,,,-36.57000,-12.24000,-184.47000,,0.00000,0.00000,,5.87000,0.00000,13.03000,18.90000,545.69000,,
2009-12-31,217.56000,46.44000,,46.44000,,,,59.58000,333.93000,-60.16000,,-1.75000,,,-10.84000,-5.76000,-78.53000,,0.00000,0.00000,,13.93000,0.00000,,13.93000,269.22000,,
