,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1374.00000,331.00000,196.00000,527.00000,34.00000,-267.00000,-427.00000,1474.00000,-283.00000,-97.00000,118.00000,118.00000,,-262.00000,362.00000,,362.00000,-1044.00000,-1044.00000,-516.00000,-10.00000,-1208.00000,-42.00000,169.00000,-516.00000
2021-12-31,2214.00000,257.00000,-66.00000,191.00000,-257.00000,-39.00000,-400.00000,2005.00000,-139.00000,-2179.00000,-301.00000,-301.00000,,-2619.00000,1172.00000,,1172.00000,-795.00000,-795.00000,-468.00000,-31.00000,-122.00000,-786.00000,175.00000,-468.00000
2020-12-31,1777.00000,220.00000,111.00000,331.00000,31.00000,-228.00000,38.00000,2146.00000,-103.00000,-897.00000,-77.00000,-77.00000,,-1077.00000,691.00000,-3.00000,688.00000,-556.00000,-556.00000,-421.00000,-62.00000,-351.00000,765.00000,154.00000,-421.00000
2019-12-31,1429.00000,200.00000,162.00000,362.00000,-134.00000,-55.00000,-116.00000,1675.00000,-69.00000,64.00000,41.00000,41.00000,,36.00000,-126.00000,-3.00000,-129.00000,-1023.00000,-1023.00000,-381.00000,-30.00000,-1563.00000,147.00000,136.00000,-381.00000
2018-12-31,1320.00000,192.00000,31.00000,223.00000,-136.00000,94.00000,-82.00000,1461.00000,-91.00000,-283.00000,-32.00000,-32.00000,,-406.00000,290.00000,-131.00000,159.00000,-218.00000,-218.00000,-342.00000,-11.00000,-412.00000,613.00000,130.00000,-342.00000
2017-12-31,1008.00000,158.00000,34.00000,192.00000,-148.00000,278.00000,-445.00000,755.00000,-91.00000,-3511.00000,71.00000,71.00000,111.00000,-3420.00000,1992.00000,130.00000,2122.00000,-193.00000,-193.00000,-293.00000,-36.00000,1600.00000,-980.00000,123.00000,-293.00000
2016-12-31,275.80000,126.70000,-86.90000,39.80000,-104.80000,143.80000,943.60000,1259.20000,-115.20000,-79.30000,296.50000,296.50000,,102.00000,,,,-705.40000,-705.40000,-291.80000,-45.70000,-1042.90000,294.10000,98.10000,-291.80000
2015-12-31,949.60000,113.50000,98.90000,212.40000,-25.40000,21.00000,36.10000,1198.10000,-89.00000,-7.60000,4.60000,4.60000,,-92.00000,852.80000,,852.80000,-1068.40000,-1068.40000,-278.90000,-11.00000,-505.50000,537.90000,87.20000,-278.90000
2014-12-31,1006.00000,95.60000,-57.60000,38.00000,-98.30000,-16.90000,-25.40000,1018.60000,-74.60000,-239.70000,-250.60000,-250.60000,,-564.90000,447.70000,,447.70000,-1122.50000,-1122.50000,-431.60000,41.90000,-1064.50000,-700.00000,80.40000,-431.60000
2013-12-31,815.90000,93.40000,-18.10000,75.30000,-67.00000,74.60000,35.60000,926.80000,-42.30000,-50.70000,-168.90000,-168.90000,,-261.90000,433.40000,,433.40000,-757.10000,-757.10000,-209.50000,34.40000,-498.80000,164.10000,67.10000,-209.50000
2012-12-31,699.70000,93.50000,84.30000,177.80000,-128.20000,21.30000,-54.40000,823.10000,-45.00000,-3.50000,-1.70000,-1.70000,,-50.20000,424.80000,,424.80000,-79.80000,-79.80000,-151.30000,8.90000,202.60000,995.40000,64.50000,-151.30000
2011-12-31,578.00000,79.20000,53.20000,132.40000,17.10000,48.00000,92.90000,803.30000,-67.70000,-197.50000,-2.40000,-2.40000,,-267.60000,-11.30000,,-11.30000,-287.40000,-287.40000,-126.10000,7.10000,-417.70000,100.40000,56.70000,-126.10000
2010-12-31,513.40000,66.30000,33.80000,100.10000,-54.40000,-20.10000,39.80000,653.30000,-79.00000,-148.60000,-1.20000,-1.20000,,-228.80000,491.90000,-443.59990,48.30010,-188.90000,-188.90000,-103.40000,2.70000,-241.30000,185.70000,56.60000,-103.40000
2009-12-31,407.10000,64.10000,71.50000,135.60000,-14.90000,86.60000,101.10000,643.80000,-90.70000,-0.90000,-2.20000,-2.20000,,-93.80000,-1.40000,-274.00000,-275.40000,19.80000,19.80000,-98.20000,5.00000,-348.80000,228.00000,57.40000,-98.20000
