,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-05-31,952.80000,368.40000,34.50000,402.90000,-3.90000,-79.80000,43.20000,-117.30000,-91.10000,1264.60000,-392.40000,,,,3.40000,-389.00000,-12.90000,,-12.90000,-1031.10000,-1031.10000,-563.00000,-2.70000,-1609.70000,-742.60000,60.50000,-563.00000
2021-05-31,629.30000,350.90000,249.50000,600.40000,-18.40000,16.10000,48.90000,161.80000,-36.20000,1193.50000,-264.90000,,,,1.20000,-263.70000,-7.10000,-270.00000,-277.10000,0.80000,0.80000,-202.60000,,-478.90000,451.40000,72.40000,-202.60000
2020-05-31,-52.40000,355.90000,298.40000,654.30000,13.70000,-13.90000,-68.50000,202.60000,115.50000,717.40000,-478.70000,-55.80000,,,-9.50000,-544.00000,-5.20000,270.00000,264.80000,195.60000,195.60000,-322.30000,0.60000,138.70000,306.00000,53.00000,-322.30000
2019-05-31,713.40000,336.70000,129.80000,466.50000,2.10000,-2.10000,55.00000,51.50000,87.70000,1267.60000,-464.70000,,,,2.10000,-462.60000,34.70000,,34.70000,-148.20000,-148.20000,-370.80000,0.10000,-484.20000,310.40000,59.80000,-370.80000
2018-05-31,596.00000,313.10000,73.60000,386.70000,-7.20000,-26.60000,12.60000,40.70000,37.10000,1019.80000,-415.50000,-40.40000,,,4.80000,-451.10000,-113.60000,,-113.60000,-197.00000,-197.00000,-313.50000,-12.50000,-636.60000,-86.20000,42.80000,-313.50000
2017-05-31,479.10000,272.90000,11.20000,284.10000,-6.50000,5.00000,-9.00000,121.00000,153.10000,916.30000,-310.00000,-764.40000,,,4.70000,-1069.70000,501.80000,,501.80000,-117.10000,-117.10000,-279.10000,23.60000,129.20000,-41.70000,40.70000,-279.10000
2016-05-31,375.00000,293.80000,97.30000,391.10000,14.00000,-11.80000,45.60000,35.10000,54.30000,820.40000,73.60000,,,,1.80000,75.40000,-1100.20000,,-1100.20000,-85.50000,-85.50000,-268.20000,333.10000,-1120.80000,-261.10000,37.30000,-268.20000
2015-05-31,709.50000,327.90000,-265.49990,62.40000,7.80000,64.50000,-20.90000,39.20000,102.40000,874.30000,-244.80000,,9.70000,9.70000,,-235.10000,-975.00000,-207.60000,-1182.60000,-342.60000,-342.60000,-278.90000,19.60000,-1784.50000,437.60000,53.70000,-278.90000
2014-05-31,286.20000,318.20000,-94.20000,224.00000,-1.50000,-25.60000,27.20000,58.60000,45.20000,555.40000,-410.40000,,5.70000,5.70000,-31.60000,-436.30000,-2.00000,43.10010,41.10010,57.60000,57.60000,-288.30000,10.40000,-179.20000,10.10000,38.70000,-288.30000
2013-05-31,411.90000,291.30000,-137.20000,154.10000,-11.10000,-1.80000,4.40000,12.60000,28.40000,594.40000,-509.80000,-577.40000,13.10000,13.10000,-40.50000,-1114.60000,692.40000,-98.09990,594.30020,12.00000,12.00000,-258.20000,7.30000,355.40000,17.70000,40.00000,-258.20000
2012-05-31,475.50000,248.00000,-129.90000,118.10000,-10.70000,-53.40000,10.00000,1.90000,-80.10000,513.50000,-454.50000,-58.50000,-10.80000,-10.80000,-15.30000,-539.10000,396.30000,77.20000,473.49990,-304.90000,-304.90000,-223.90000,14.90000,-40.40000,0.00000,46.70000,-223.90000
2011-05-31,476.30000,319.60000,96.40000,416.00000,-5.90000,-79.30000,5.50000,69.80000,2.40000,894.70000,-540.70000,,-1.40000,-1.40000,-10.60000,-552.70000,-228.00000,185.50000,-42.50000,-322.50000,-322.50000,-175.50000,19.50000,-521.00000,-178.30000,66.60000,-175.50000
2010-05-31,404.50000,304.20000,53.10000,357.30000,-15.80000,26.20000,27.60000,25.50000,141.60000,903.40000,-419.60000,,-2.70000,-2.70000,-6.40000,-428.70000,-3.10000,-150.00000,-153.10000,-18.80000,-18.80000,-140.00000,21.90000,-290.00000,185.90000,53.50000,-140.00000
2009-05-31,372.20000,286.40000,143.40000,429.80000,31.80000,-30.20000,-25.20000,47.30000,-18.50000,783.50000,-530.70000,,-28.10000,-28.10000,-3.60000,-562.40000,-4.90000,-28.40000,-33.30000,-87.40000,-87.40000,-110.20000,26.10000,-204.80000,19.70000,41.50000,-110.20000
