,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-03-31,1285.50000,1199.90000,323.10000,1523.00000,-74.90000,-177.80000,79.40000,34.20000,2842.70000,-356.00000,,,-121.70000,-121.70000,,-477.70000,-1376.00000,-1376.00000,-355.10000,-355.10000,-503.80000,-92.70000,-2327.60000,37.40000,210.20000,-503.80000
2021-03-31,349.40000,1241.50000,352.60000,1594.10000,-63.70000,18.40000,-16.70000,-27.00000,1916.50000,-84.30000,,,-89.00000,-89.00000,,-173.30000,-1414.60100,-1414.60100,60.30000,60.30000,-388.30000,-121.60000,-1864.20000,-121.00000,198.30000,-388.30000
2020-03-31,570.60000,1354.40000,-314.50000,1039.90000,-53.30000,28.80000,-13.10000,-66.70000,1543.80000,-64.40000,,4.70000,-73.50000,-68.80000,,-133.20000,-1069.90000,-1069.90000,58.80000,58.80000,-350.10000,-77.00000,-1438.20000,-27.60000,170.20000,-350.10000
2019-03-31,355.90000,1007.30000,126.90000,1134.20000,238.80000,341.60000,-24.20000,184.70000,1674.80000,-228.70000,-7850.60000,1286.90000,-18.60000,1268.30000,,-6811.00000,5109.80000,5109.80000,42.60000,42.60000,-344.40000,-144.50000,4663.50000,-472.70000,166.40000,-344.40000
2018-03-31,255.40000,728.90000,170.80000,899.70000,-85.30000,-59.20000,55.00000,264.50000,1419.60000,-196.50000,,,-815.20000,-815.20000,,-1011.70000,-74.20000,-74.20000,42.00000,42.00000,-337.50000,-45.60000,-415.30000,-7.40000,93.20000,-337.50000
2017-03-31,164.60000,529.80000,70.10000,599.90000,-46.80000,223.70000,135.10000,295.00000,1059.50000,-52.30000,-2747.50000,-499.90000,461.70000,-38.20000,,-2838.00000,964.00000,964.00000,42.20000,42.20000,-315.40000,-95.30000,595.50000,-1184.00000,128.10000,-315.40000
2016-03-31,323.90000,344.20000,-1.80000,342.40000,-2.10000,48.20000,17.10000,78.10000,744.40000,-83.60000,-343.90000,,1245.90000,1245.90000,-18.00000,800.40000,589.50000,589.50000,-335.10000,-335.10000,-291.10000,-23.20000,-59.90000,1484.90000,71.40000,-291.10000
2015-03-31,365.32500,305.50100,59.29100,364.79200,-15.89300,25.51700,15.43300,-8.93500,721.18200,-149.47200,-627.83400,,131.08390,131.08390,-32.09500,-678.31700,401.72680,401.72680,34.43300,34.43300,-286.47800,-51.13400,98.54800,141.21200,58.59600,-286.47800
2014-03-31,395.28100,210.82200,55.57100,266.39300,-12.50800,-18.50000,57.53100,14.89000,676.56400,-96.83700,-11.18700,,-395.25500,-395.25500,,-503.27900,29.54600,29.54600,60.08600,60.08600,-281.20400,-43.44400,-235.01600,-61.73100,53.78700,-281.20400
2013-03-31,127.38900,225.69700,29.11600,254.81300,0.38600,65.86700,51.82400,77.16300,459.36500,-50.51200,-752.30200,,-147.12800,-147.12800,,-949.94200,620.00000,620.00000,51.36500,51.36500,-273.82200,-15.37300,382.17000,-107.42100,52.06900,-273.82200
2012-03-31,336.70500,122.87900,60.60900,183.48800,11.84500,-35.24000,-23.36500,-108.21500,411.97800,-61.95900,-38.58000,,-171.46300,-171.46300,,-272.00200,,,57.45700,57.45700,-266.17800,0.57600,-208.14500,-68.16900,38.28900,-266.17800
2011-03-31,418.95000,113.49300,63.37400,176.86700,6.34100,-22.06800,3.20900,-13.15600,582.66100,-124.45400,-125.72700,1055.28600,-1024.62300,30.66300,31.66800,-187.85000,,,71.94000,71.94000,-256.81100,1.85400,-183.01700,211.79400,36.81200,-256.81100
2010-03-31,217.00500,96.53000,142.67700,239.20700,-49.07800,15.23900,0.09100,-4.16500,452.04700,-47.60400,,,-147.75790,-147.75790,0.10000,-195.26200,,,36.47800,36.47800,-249.55600,2.09400,-210.98400,45.80100,36.77800,-249.55600
2009-03-31,245.58700,100.48800,-9.06400,91.42400,50.83200,-4.11000,-49.98300,-28.35800,308.65300,-102.37000,,,82.37700,82.37700,0.16600,-19.82700,,,-90.37400,-90.37400,-246.65700,6.79800,-330.23300,-41.40700,32.48100,-246.65700
