,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,-564.57200,93.95800,1148.32000,1242.27800,-134.76400,140.94600,266.25600,205.79000,883.49600,-70.58300,-4.01800,-12.37700,,130.52800,130.52800,3.30200,46.85200,-548.68600,-49.14200,-597.82800,0.03200,0.03200,,136.06400,-461.73200,466.03800,707.08700,
2021-06-30,-634.66400,92.84800,1135.94500,1228.79300,-61.25600,64.89900,293.83000,247.20100,841.33000,-31.52000,-1.80000,-91.58400,,384.35100,384.35100,-2.80300,256.64400,-1803.24400,-44.87400,-1848.11800,1.16300,1.16300,,192.15000,-1654.80500,-560.74200,385.73200,
2020-06-30,-346.20900,97.39800,668.66100,766.05900,-29.44000,51.53200,150.14400,154.36000,574.21000,-35.70900,,-53.21200,,-227.16500,-227.16500,-2.84500,-318.93100,-0.00200,-38.12500,-38.12700,1.80200,1.80200,,-6.25000,-42.57500,211.52800,313.39500,
2019-06-30,-605.55600,70.24800,795.28410,865.53200,-30.21100,75.62400,153.91500,206.36600,466.34200,-40.47100,-2.11000,-418.59500,,-142.47000,-142.47000,-0.55200,-604.19800,-0.41000,,-0.41000,3.54200,3.54200,,-6.31900,-3.18700,-141.89800,257.76200,
2018-06-30,-58.13100,79.43500,172.65000,252.08500,-19.63500,43.47700,97.90600,117.50200,311.45600,-27.43400,,,,-17.84100,-17.84100,-6.42100,-51.69600,990.49400,,990.49400,3.99500,3.99500,,-87.70000,906.78900,1165.91900,162.87300,
2017-06-30,-59.65200,61.54600,132.29300,193.83900,-10.20800,10.94700,73.49700,65.19400,199.38100,-14.78700,-0.92500,-381.09000,-312.13700,488.67200,176.53500,-4.30600,-224.57300,,,,9.43800,9.43800,,,9.43800,-15.28900,137.44800,
2016-06-30,-4.90700,21.92600,73.68100,95.60700,-3.48700,11.62200,43.13900,38.84200,129.54200,-34.21300,,,-503.77300,49.50100,-454.27200,-1.02500,-489.51000,,,,438.17900,438.17900,,-5.39500,432.78400,72.61500,75.48000,
2015-06-30,-0.74900,15.51100,42.69800,58.20900,-7.93200,16.06700,37.69100,40.76100,98.22100,-31.77600,-0.90000,-10.61500,14.72500,,14.72500,,-28.56600,,,,2.33800,2.33800,,,2.33800,70.32800,41.53400,
2014-06-30,22.22800,13.31600,9.97900,23.29500,-1.95900,13.27800,20.32200,29.75700,75.28000,-8.11000,-2.14900,,-33.85700,,-33.85700,-2.43800,-46.55400,,,,7.42900,7.42900,-10.00000,,-2.57100,26.60000,11.36400,-10.00000
2013-06-30,11.40300,12.06000,5.62600,17.68600,-0.06300,12.88300,17.75900,25.22100,54.31000,-7.24600,,,-5.09600,,-5.09600,-0.10000,-12.44200,,,,3.04200,5.04200,-2.20100,,2.84100,43.36000,3.49100,-2.20100
