,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3937.00000,850.00000,220.00000,1070.00000,-110.00000,-93.00000,-698.00000,-900.00000,3855.00000,-452.00000,6.00000,0.00000,,,6.00000,-440.00000,-507.00000,-507.00000,-1241.00000,-1241.00000,-306.00000,-646.00000,-2700.00000,695.00000,41.00000,-306.00000
2021-12-31,1260.00000,888.00000,348.00000,1236.00000,-235.00000,-123.00000,664.00000,448.00000,2873.00000,-513.00000,48.00000,-1.00000,,-1.00000,,-466.00000,-518.00000,-518.00000,-475.00000,-475.00000,-260.00000,-210.00000,-1463.00000,945.00000,30.00000,-260.00000
2020-12-31,432.00000,892.00000,-38.00000,854.00000,-19.00000,27.00000,19.00000,12.00000,1231.00000,-307.00000,,0.00000,,,8.00000,-299.00000,,,-95.00000,-95.00000,-258.00000,-189.00000,-542.00000,396.00000,25.00000,-258.00000
2019-12-31,646.00000,875.00000,178.00000,1053.00000,-6.00000,-26.00000,-8.00000,-112.00000,1505.00000,-334.00000,,0.00000,,,15.00000,-319.00000,-769.00000,-769.00000,-351.00000,-351.00000,-265.00000,-198.00000,-1583.00000,-395.00000,28.00000,-265.00000
2018-12-31,428.00000,888.00000,91.00000,979.00000,68.00000,-52.00000,67.00000,127.00000,1497.00000,-396.00000,,,,,21.00000,-375.00000,,,-455.00000,-455.00000,-280.00000,-535.00000,-1270.00000,-153.00000,22.00000,-280.00000
2017-12-31,450.00000,883.00000,-474.00000,409.00000,-57.00000,40.00000,857.00000,839.00000,1631.00000,-453.00000,,9.00000,16.00000,25.00000,15.00000,-413.00000,-1148.00000,-1148.00000,1.00000,1.00000,-280.00000,-137.00000,-1564.00000,-334.00000,17.00000,-280.00000
2016-12-31,-158.00000,678.00000,841.00000,1519.00000,18.00000,-7.00000,-737.00000,-744.00000,617.00000,-2197.00000,,0.00000,,,2.00000,-2195.00000,74.00000,74.00000,,,-280.00000,2645.00000,2439.00000,860.00000,19.00000,-280.00000
2015-12-31,734.00000,480.00000,287.00000,767.00000,-4.00000,-71.00000,-164.00000,-345.00000,1207.00000,-2457.00000,-552.00000,0.00000,13.00000,13.00000,20.00000,-2976.00000,1000.00000,1000.00000,-548.00000,-548.00000,-282.00000,-93.00000,77.00000,-1711.00000,17.00000,-282.00000
2014-12-31,1437.00000,393.00000,-604.00000,-211.00000,39.00000,64.00000,202.00000,195.00000,1421.00000,-1798.00000,1372.00000,5.00000,,5.00000,77.00000,-344.00000,1494.00000,1494.00000,-1917.00000,-1917.00000,-256.00000,-108.00000,-787.00000,286.00000,17.00000,-256.00000
2013-12-31,1532.80000,410.60000,-100.20000,310.40000,0.40000,-80.30000,-192.60000,-376.40000,1466.80000,-811.20000,-72.50000,13.50000,,13.50000,-149.10000,-1019.30000,1498.00000,1498.00000,-1398.80000,-1398.80000,-129.10000,-950.40000,-980.30000,-564.10000,12.60000,-129.10000
2012-12-31,1923.40000,419.80000,-250.80000,169.00000,53.20000,34.80000,111.00000,283.20000,2375.60000,-506.50000,,48.40000,,48.40000,-55.40000,-513.50000,-13.00000,-13.00000,-485.40000,-485.40000,-102.70000,-195.70000,-796.80000,1067.90000,11.90000,-102.70000
2011-12-31,1761.00000,416.20000,3.10000,419.30000,-35.50000,-38.50000,-134.20000,-101.40000,2078.90000,-192.50000,,37.90000,,37.90000,-19.20000,-173.80000,-346.00000,-346.00000,-984.70000,-984.70000,-68.70000,-100.00000,-1499.40000,409.30000,10.60000,-68.70000
2010-12-31,440.70000,394.80000,31.50000,426.30000,70.60000,79.80000,152.60000,327.40000,1194.40000,-241.60000,-3177.80000,209.60000,167.10000,376.70000,-27.50000,-3070.20000,1188.50000,1188.50000,1155.00000,1155.00000,-46.20000,-320.30000,1977.00000,100.60000,8.30000,-46.20000
2009-12-31,448.50000,101.00000,-106.90000,-5.90000,21.30000,440.30000,-185.40000,239.20000,681.80000,-226.40000,,-124.50000,-126.80000,-251.30000,-10.00000,-487.70000,,,3.20000,3.20000,-19.40000,-107.70000,-123.90000,72.10000,6.60000,-19.40000
