,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,18680.00000,7754.00000,2114.00000,9868.00000,-963.00000,-38.00000,901.00000,-173.00000,-234.00000,28314.00000,-6688.00000,-60.00000,-2629.00000,-2629.00000,636.00000,-8741.00000,-3370.00000,-3370.00000,-8908.00000,-8908.00000,-5726.00000,-49.00000,-18053.00000,1296.00000,-5726.00000
2021-12-31,8079.00000,7450.00000,196.00000,7646.00000,-2500.00000,-160.00000,1399.00000,-649.00000,1271.00000,16996.00000,-3671.00000,-8290.00000,3091.00000,3091.00000,326.00000,-8544.00000,-505.00000,-505.00000,-3478.00000,-3478.00000,-2359.00000,7.00000,-6335.00000,2083.00000,-2359.00000
2020-12-31,-2655.00000,5773.00000,2056.00000,7829.00000,521.00000,-25.00000,-249.00000,76.00000,-372.00000,4802.00000,-3398.00000,,-658.00000,-658.00000,-65.00000,-4121.00000,46.00000,46.00000,-897.00000,-897.00000,-1831.00000,-26.00000,-2708.00000,-2047.00000,-1831.00000
2019-12-31,7257.00000,6416.00000,-1990.00000,4426.00000,505.00000,-67.00000,-378.00000,37.00000,-579.00000,11104.00000,-3624.00000,,-2910.00000,-2910.00000,-84.00000,-6618.00000,-80.00000,-80.00000,-3530.00000,-3530.00000,-1500.00000,-119.00000,-5229.00000,-789.00000,-1500.00000
2018-12-31,6305.00000,6309.00000,-315.00000,5994.00000,235.00000,86.00000,-52.00000,-55.00000,635.00000,12934.00000,-5668.00000,,1620.00000,1620.00000,205.00000,-3843.00000,-4995.00000,-4995.00000,-2878.00000,-2878.00000,-1363.00000,-123.00000,-9359.00000,-385.00000,-1363.00000
2017-12-31,-793.00000,7207.00000,648.00000,7855.00000,-886.00000,-55.00000,265.00000,69.00000,15.00000,7077.00000,9269.00000,,-1790.00000,-1790.00000,283.00000,7762.00000,-7876.00000,-7876.00000,-3063.00000,-3063.00000,-1305.00000,-112.00000,-12356.00000,2715.00000,-1305.00000
2016-12-31,-3559.00000,9487.00000,-1044.00000,8443.00000,820.00000,44.00000,-524.00000,105.00000,-481.00000,4403.00000,-3583.00000,,-51.00000,-51.00000,-225.00000,-3859.00000,2343.00000,2343.00000,-189.00000,-189.00000,-1253.00000,-137.00000,764.00000,1242.00000,-1253.00000
2015-12-31,-4371.00000,9596.00000,2369.00000,11965.00000,1810.00000,166.00000,-1647.00000,239.00000,-22.00000,7572.00000,-8098.00000,,0.00000,,-557.00000,-8655.00000,2395.00000,2395.00000,-82.00000,-82.00000,-3664.00000,-78.00000,-1429.00000,-2694.00000,-3664.00000
2014-12-31,6938.00000,8813.00000,1503.00000,10316.00000,1227.00000,-193.00000,-963.00000,-190.00000,-685.00000,16569.00000,-15482.00000,,253.00000,253.00000,264.00000,-14965.00000,980.00000,980.00000,35.00000,35.00000,-3525.00000,-64.00000,-2574.00000,-1184.00000,-3525.00000
2013-12-31,9215.00000,7868.00000,-1045.00000,6823.00000,744.00000,-278.00000,238.00000,-83.00000,103.00000,16141.00000,-5317.00000,,-263.00000,-263.00000,-725.00000,-6305.00000,-946.00000,-946.00000,20.00000,20.00000,-3334.00000,-2873.00000,-7133.00000,2628.00000,-3334.00000
2012-12-31,8498.00000,6974.00000,-311.00000,6663.00000,-1866.00000,210.00000,1103.00000,513.00000,-1239.00000,13922.00000,-12040.00000,,597.00000,597.00000,-184.00000,-11627.00000,-569.00000,-569.00000,-4960.00000,-4960.00000,-3278.00000,4326.00000,-4481.00000,-2162.00000,-3278.00000
2011-12-31,12502.00000,7249.00000,605.00000,7854.00000,-938.00000,-81.00000,1297.00000,-300.00000,-710.00000,19646.00000,-9022.00000,,400.00000,400.00000,1607.00000,-7015.00000,-934.00000,-934.00000,-11027.00000,-11027.00000,-3632.00000,-712.00000,-16305.00000,-3674.00000,-3632.00000
2010-12-31,11417.00000,8413.00000,-4787.00000,3626.00000,324.00000,-43.00000,-18.00000,150.00000,2002.00000,17045.00000,7175.00000,,-982.00000,-982.00000,-1528.00000,4665.00000,-5176.00000,-5176.00000,-3733.00000,-3733.00000,-3175.00000,-735.00000,-12819.00000,8912.00000,-3175.00000
2009-12-31,4492.00000,9717.00000,-1192.00000,8525.00000,-1106.00000,320.00000,1612.00000,282.00000,-538.00000,12479.00000,-9591.00000,,,,-344.00000,-9935.00000,1229.00000,1229.00000,13.00000,13.00000,-2832.00000,-1265.00000,-2855.00000,-213.00000,-2832.00000
