,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,933.90000,100.20000,75.10000,175.30000,-120.00000,-272.10000,17.70000,-18.10000,-434.00000,675.20000,-79.10000,0.50000,,,-127.60000,-206.20000,,1.60000,1.60000,-143.10000,-143.10000,-313.10000,-30.40000,-485.00000,-22.80000,34.00000,-313.10000
2021-12-31,841.40000,104.80000,99.90000,204.70000,-61.40000,-75.40000,56.80000,-13.80000,-79.50000,966.60000,-68.00000,-199.70000,,,-22.70000,-290.40000,-250.00000,3.30000,-246.70000,-268.90000,-268.90000,-275.80000,-27.40000,-818.80000,-143.40000,41.40000,-275.80000
2020-12-31,646.40000,96.70000,91.40000,188.10000,47.90000,34.20000,17.80000,-21.40000,174.10000,1008.60000,-63.80000,-41.50000,,,-82.50000,-187.80000,489.90000,-187.20000,302.70000,-118.50000,-118.50000,-243.30000,-25.20000,-84.30000,738.90000,19.50000,-243.30000
2019-12-31,711.20000,92.40000,127.10000,219.50000,-15.70000,-97.00000,-2.60000,-43.10000,-256.10000,674.60000,-97.70000,-38.60000,,,-85.80000,-222.10000,,17.60000,17.60000,-187.00000,-187.00000,-216.60000,-23.40000,-409.40000,43.60000,23.80000,-216.60000
2018-12-31,696.20000,94.10000,119.50000,213.60000,-47.70000,-38.60000,27.50000,-20.50000,-145.30000,764.50000,-90.20000,-3.00000,,,-117.00000,-210.20000,-62.40000,4.90000,-57.50000,-228.60000,-228.60000,-192.00000,-24.10000,-502.20000,48.90000,27.20000,-192.00000
2017-12-31,572.20000,93.20000,122.40000,215.60000,-55.50000,-76.00000,-2.20000,-51.80000,-179.30000,608.50000,-80.50000,-82.90000,,,-178.00000,-341.40000,147.80000,30.60000,178.40000,-241.70000,-241.70000,-169.40000,-23.40000,-256.10000,14.40000,30.30000,-169.40000
2016-12-31,559.60000,85.60000,84.00000,169.60000,-41.00000,-32.70000,16.30000,-43.80000,-153.10000,576.10000,-72.10000,-160.40000,,,-240.90000,-473.40000,,134.20000,134.20000,-78.60000,-78.60000,-147.50000,-24.10000,-116.00000,-15.20000,31.00000,-147.50000
2015-12-31,490.60000,82.50000,59.50000,142.00000,-44.70000,-43.30000,4.70000,-62.80000,-125.40000,507.20000,-76.90000,-11.80000,,,-217.70000,-306.40000,,-34.00000,-34.00000,-68.80000,-68.80000,-127.90000,-6.00000,-236.70000,-40.10000,39.80000,-127.90000
2014-12-31,432.10000,79.50000,69.50000,149.00000,-57.40000,-61.10000,-7.00000,-88.40000,-178.00000,403.10000,-79.80000,-41.30000,,,-152.10000,-273.20000,-100.00000,45.00000,-55.00000,-46.30000,-46.30000,-107.60000,-3.20000,-212.10000,-84.70000,38.10000,-107.60000
2013-12-31,359.70000,76.70000,69.00000,145.70000,-42.00000,-32.00000,8.40000,-44.00000,-112.80000,392.60000,-62.20000,-38.20000,,,-150.00000,-250.40000,,9.00000,9.00000,-53.40000,-53.40000,-92.00000,-1.40000,-137.80000,3.10000,38.50000,-92.00000
2012-12-31,314.60000,76.70000,83.60000,160.30000,-43.40000,-13.40000,16.60000,-65.90000,-145.60000,329.30000,-76.80000,,27.00000,27.00000,-123.30000,-173.10000,,-11.20000,-11.20000,-31.30000,-31.30000,-81.50000,-3.00000,-127.00000,28.90000,32.10000,-81.50000
2011-12-31,283.80000,74.60000,48.70000,123.30000,-36.80000,-60.90000,-21.50000,-87.20000,-278.60000,128.50000,-57.50000,,,,-162.10000,-219.60000,-200.00000,0.60000,-199.40000,-11.70000,-11.70000,-76.70000,-5.90000,-293.70000,-386.60000,20.30000,-76.70000
2010-12-31,193.00000,72.70000,29.60000,102.30000,-56.50000,-55.20000,26.20000,-86.20000,-154.90000,140.40000,-43.20000,-7.70000,,,-252.10000,-303.00000,97.70000,-0.20000,97.50000,15.00000,15.00000,-71.30000,-6.40000,34.80000,-127.20000,14.90000,-71.30000
2009-12-31,143.70000,74.60000,8.40000,83.00000,52.40000,98.40000,-7.10000,-19.70000,120.40000,347.10000,-63.10000,-8.10000,,,-170.50000,-241.70000,545.90000,1.70000,547.60000,4.50000,4.50000,-69.00000,-7.50000,475.60000,583.60000,-3.00000,-69.00000
