,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-08-31,8687.00000,7116.00000,641.00000,7757.00000,190.00000,-2179.00000,,-1245.00000,15181.00000,-11179.00000,,-155.00000,,-155.00000,-251.00000,-11585.00000,-32.00000,-32.00000,-2557.00000,-2557.00000,-461.00000,70.00000,-2980.00000,510.00000,514.00000,-461.00000
2021-08-31,5861.00000,6214.00000,833.00000,7047.00000,-1446.00000,866.00000,,-370.00000,12468.00000,-10030.00000,,-1057.00000,,-1057.00000,498.00000,-10589.00000,-332.00000,-332.00000,-1294.00000,-1294.00000,,-155.00000,-1781.00000,139.00000,378.00000,0.00000
2020-08-31,2710.00000,5650.00000,328.00000,5978.00000,-723.00000,-435.00000,,-433.00000,8306.00000,-8223.00000,,415.00000,,415.00000,219.00000,-7589.00000,634.00000,634.00000,-251.00000,-251.00000,,-700.00000,-317.00000,411.00000,328.00000,0.00000
2019-08-31,6358.00000,5473.00000,692.00000,6165.00000,2431.00000,-1489.00000,,768.00000,13189.00000,-9780.00000,,-1173.00000,,-1173.00000,868.00000,-10085.00000,210.00000,210.00000,-2729.00000,-2729.00000,,81.00000,-2438.00000,692.00000,243.00000,
2018-08-31,14138.00000,4860.00000,583.00000,5443.00000,-1734.00000,-472.00000,,-1803.00000,17400.00000,-8879.00000,,164.00000,,164.00000,499.00000,-8216.00000,-9185.00000,-9185.00000,1584.00000,1584.00000,,-175.00000,-7776.00000,1371.00000,198.00000,
2017-08-31,5090.00000,3986.00000,221.00000,4207.00000,-1651.00000,50.00000,-361.00000,-1506.00000,8153.00000,-4734.00000,-2634.00000,-269.00000,,-269.00000,100.00000,-7537.00000,753.00000,753.00000,106.00000,106.00000,,-510.00000,349.00000,953.00000,215.00000,
2016-08-31,-275.00000,3106.00000,180.00000,3286.00000,465.00000,-549.00000,0.00000,188.00000,3168.00000,-5817.00000,,2999.00000,-152.00000,2847.00000,-74.00000,-3044.00000,1329.00000,1329.00000,48.00000,48.00000,,368.00000,1745.00000,1888.00000,191.00000,
2015-08-31,2899.00000,2805.00000,-230.00000,2575.00000,393.00000,116.00000,-105.00000,-287.00000,5208.00000,-4021.00000,,-2088.00000,-132.00000,-2220.00000,25.00000,-6216.00000,-117.00000,-117.00000,-810.00000,-810.00000,,209.00000,-718.00000,-1859.00000,168.00000,
2014-08-31,3079.00000,2270.00000,-285.00000,1985.00000,-518.00000,194.00000,243.00000,590.00000,5699.00000,-3107.00000,,-488.00000,79.00000,-409.00000,614.00000,-2902.00000,-1631.00000,-1631.00000,189.00000,189.00000,,-57.00000,-1499.00000,1270.00000,115.00000,
2013-08-31,1194.00000,1926.00000,-1006.00000,920.00000,-409.00000,83.00000,-15.00000,-313.00000,1811.00000,-1442.00000,,-246.00000,-253.00000,-499.00000,31.00000,-1910.00000,378.00000,378.00000,145.00000,145.00000,,-3.00000,520.00000,421.00000,91.00000,
2012-08-31,-1031.00000,2222.00000,394.00000,2616.00000,238.00000,258.00000,-89.00000,592.00000,2114.00000,-1699.00000,,-412.00000,-249.00000,-661.00000,48.00000,-2312.00000,862.00000,862.00000,-1.00000,-1.00000,,-364.00000,497.00000,299.00000,87.00000,
2011-08-31,190.00000,2162.00000,343.00000,2505.00000,54.00000,-357.00000,150.00000,-241.00000,2484.00000,-2423.00000,,79.00000,-14.00000,65.00000,316.00000,-2042.00000,-525.00000,-525.00000,-135.00000,-135.00000,,-535.00000,-1195.00000,-753.00000,76.00000,
2010-08-31,1900.00000,2005.00000,-350.00000,1655.00000,-516.00000,-121.00000,-63.00000,-499.00000,3096.00000,-522.00000,95.00000,0.00000,258.00000,258.00000,-279.00000,-448.00000,-640.00000,-640.00000,-21.00000,-21.00000,,-559.00000,-1220.00000,1428.00000,93.00000,
2009-08-31,-1993.00000,2186.00000,982.00000,3168.00000,126.00000,-356.00000,217.00000,31.00000,1206.00000,-462.00000,,130.00000,-408.00000,-278.00000,66.00000,-674.00000,287.00000,287.00000,275.00000,275.00000,,-852.00000,-290.00000,242.00000,44.00000,
