,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1462.00000,1027.00000,3153.00000,4180.00000,1128.00000,6573.00000,-2749.00000,3267.00000,5158.00000,422.00000,2759.00000,-8840.00000,-6081.00000,-1979.00000,-7638.00000,1659.00000,-1755.00000,-96.00000,-1325.00000,-1325.00000,-1817.00000,8171.00000,4933.00000,4365.00000,-1817.00000
2021-12-31,7794.00000,1264.00000,-2844.00000,-1580.00000,299.00000,7762.00000,-2877.00000,5122.00000,9812.00000,132.00000,367.00000,-4816.00000,-4449.00000,-1025.00000,-5342.00000,-1440.00000,339.00000,-1101.00000,-2300.00000,-2300.00000,-1814.00000,2204.00000,-3011.00000,-921.00000,-1814.00000
2020-12-31,-146.00000,457.00000,5773.00000,6230.00000,-743.00000,10817.00000,-3482.00000,6168.00000,8368.00000,1454.00000,-2463.00000,-16209.00000,-18672.00000,1008.00000,-16210.00000,251.00000,478.00000,729.00000,-347.00000,-347.00000,-1766.00000,6267.00000,4883.00000,-2619.00000,-1766.00000
2019-12-31,4238.00000,460.00000,2723.00000,3183.00000,-971.00000,10992.00000,851.00000,10533.00000,19625.00000,-1755.00000,809.00000,-16692.00000,-15883.00000,610.00000,-17028.00000,1897.00000,-165.00000,1732.00000,-2367.00000,-2367.00000,-1641.00000,642.00000,-1634.00000,979.00000,-1641.00000
2018-12-31,4088.00000,161.00000,-1029.00000,-868.00000,863.00000,16481.00000,371.00000,17764.00000,21664.00000,,510.00000,-21976.00000,-21466.00000,-162.00000,-21628.00000,1124.00000,1324.00000,2448.00000,-1368.00000,-1368.00000,-1521.00000,1222.00000,781.00000,959.00000,-1521.00000
2017-12-31,7974.00000,222.00000,578.00000,800.00000,,10940.00000,-3508.00000,5813.00000,13460.00000,-64.00000,923.00000,-11702.00000,-10779.00000,-1114.00000,-11957.00000,-602.00000,853.00000,251.00000,-1004.00000,-1004.00000,-1296.00000,791.00000,-1258.00000,355.00000,-1296.00000
2016-12-31,4419.00000,318.00000,-323.00000,-5.00000,,10584.00000,99.00000,11301.00000,14876.00000,-532.00000,330.00000,-21450.00000,-21120.00000,-42.00000,-21694.00000,-11.00000,853.00000,842.00000,-1693.00000,-1693.00000,-1300.00000,5352.00000,3201.00000,-3567.00000,-1300.00000
2015-12-31,5712.00000,113.00000,-2429.00000,-2316.00000,524.00000,8311.00000,772.00000,10824.00000,13942.00000,,399.00000,-8304.00000,-7905.00000,159.00000,-7746.00000,209.00000,-2202.00000,-1993.00000,-1455.00000,-1455.00000,-1117.00000,994.00000,-3571.00000,2694.00000,-1117.00000
2014-12-31,1438.00000,631.00000,132.00000,763.00000,44.00000,11276.00000,4268.00000,15886.00000,19396.00000,-23.00000,-472.00000,-16265.00000,-16737.00000,-328.00000,-17088.00000,571.00000,683.00000,1254.00000,-731.00000,-731.00000,-1027.00000,2133.00000,1629.00000,3479.00000,-1027.00000
2013-12-31,-560.00000,411.00000,6918.00000,7329.00000,-33.00000,8379.00000,-6408.00000,595.00000,8445.00000,-488.00000,-1032.00000,-13511.00000,-14543.00000,-1303.00000,-16334.00000,721.00000,3296.00000,4017.00000,-390.00000,-390.00000,-847.00000,-538.00000,2242.00000,-6661.00000,-847.00000
2012-12-31,570.00000,302.00000,3650.00000,3952.00000,-33.00000,17784.00000,-2061.00000,16217.00000,20909.00000,,-200.00000,-15363.00000,-15563.00000,143.00000,-15420.00000,2673.00000,1.00000,2674.00000,-1268.00000,-1268.00000,,-2711.00000,-1305.00000,3849.00000,
2011-12-31,3666.00000,290.00000,271.00000,561.00000,329.00000,6799.00000,-376.00000,6669.00000,12377.00000,-2321.00000,136.00000,-11292.00000,-11156.00000,182.00000,-13295.00000,527.00000,1230.00000,1757.00000,-877.00000,-877.00000,-704.00000,1923.00000,2099.00000,1336.00000,-704.00000
2010-12-31,3012.00000,-104.00000,1680.00000,1576.00000,-644.00000,4497.00000,-1376.00000,1344.00000,6542.00000,,974.00000,-9918.00000,-8944.00000,422.00000,-8522.00000,823.00000,-179.00000,644.00000,1068.00000,1068.00000,-575.00000,476.00000,1613.00000,-249.00000,-575.00000
2009-12-31,3090.00000,175.00000,2381.00000,2556.00000,45.00000,2524.00000,-1277.00000,2393.00000,5840.00000,,-971.00000,3593.00000,2622.00000,-193.00000,2429.00000,-1816.00000,-7243.00000,-9059.00000,1455.00000,1455.00000,-347.00000,-2470.00000,-10421.00000,-1864.00000,-347.00000
