,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2560.00000,2316.00000,643.00000,2959.00000,,7015.00000,9549.00000,15068.00000,-1301.00000,446.00000,14646.00000,5787.00000,20433.00000,296.00000,19874.00000,5585.00000,-698.00000,4887.00000,-101.00000,-101.00000,-1376.00000,-37064.00000,-33654.00000,1646.00000,-1165.00000
2021-12-31,3771.00000,1867.00000,3.00000,1870.00000,,-1898.00000,-2803.00000,2838.00000,-1181.00000,-162.00000,37531.00000,-6237.00000,31294.00000,-10279.00000,19672.00000,933.00000,546.00000,1479.00000,-4504.00000,-4217.00000,-1323.00000,-17901.00000,-21962.00000,464.00000,-1126.00000
2020-12-31,3626.00000,1630.00000,76.00000,1706.00000,,-496.00000,-294.00000,5038.00000,-1222.00000,,-44958.00000,-30291.00000,-75249.00000,-1984.00000,-78455.00000,-2477.00000,1657.00000,-820.00000,-931.00000,53.00000,-1296.00000,77571.00000,75508.00000,2152.00000,-1117.00000
2019-12-31,4467.00000,1315.00000,-147.00000,1168.00000,,-5167.00000,-5539.00000,96.00000,-1210.00000,,-11118.00000,-529.00000,-11647.00000,2309.00000,-10548.00000,-4908.00000,-1783.00000,-6691.00000,-3241.00000,-3241.00000,-1289.00000,20680.00000,9459.00000,-991.00000,-1120.00000
2018-12-31,4254.00000,1339.00000,-531.00000,808.00000,,-574.00000,934.00000,5996.00000,-1085.00000,84.00000,1281.00000,-1711.00000,-430.00000,4730.00000,3299.00000,1657.00000,-2489.00000,-832.00000,-3149.00000,-3149.00000,-1221.00000,-2896.00000,-8098.00000,1125.00000,-1052.00000
2017-12-31,4114.00000,1474.00000,-32.00000,1442.00000,,-694.00000,-889.00000,4667.00000,-1197.00000,,-29748.00000,-4715.00000,-34463.00000,2955.00000,-32705.00000,5544.00000,7436.00000,12980.00000,-2221.00000,-2221.00000,-1076.00000,17095.00000,26778.00000,-1071.00000,-901.00000
2016-12-31,3548.00000,1502.00000,-321.00000,1181.00000,481.00000,1522.00000,1538.00000,6267.00000,-760.00000,-41.00000,50715.00000,2141.00000,52856.00000,-1771.00000,50284.00000,3501.00000,-5924.00000,-2423.00000,-1933.00000,-943.00000,-900.00000,-54784.00000,-59050.00000,-2613.00000,-778.00000
2015-12-31,3222.00000,1457.00000,-10.00000,1447.00000,-381.00000,-414.00000,-542.00000,4127.00000,-601.00000,8.00000,-16367.00000,-2157.00000,-18524.00000,-670.00000,-19787.00000,933.00000,4252.00000,5185.00000,-2003.00000,-1013.00000,-865.00000,11878.00000,15185.00000,-433.00000,-760.00000
2014-12-31,2651.00000,1292.00000,-1148.00000,144.00000,,2636.00000,1689.00000,4484.00000,-206.00000,36.00000,12546.00000,-21346.00000,-8800.00000,-2705.00000,-11675.00000,445.00000,7199.00000,7644.00000,-1273.00000,-1273.00000,-833.00000,2291.00000,7829.00000,510.00000,-760.00000
2013-12-31,2185.00000,1389.00000,195.00000,1584.00000,,-3946.00000,-4411.00000,-642.00000,-609.00000,65.00000,-6150.00000,-958.00000,-7108.00000,-5548.00000,-13200.00000,1185.00000,1591.00000,2776.00000,-738.00000,-244.00000,-744.00000,13833.00000,15621.00000,1733.00000,-680.00000
2012-12-31,2515.00000,1246.00000,-525.00000,721.00000,,-1412.00000,-1607.00000,1629.00000,-646.00000,-29.00000,-8842.00000,-17027.00000,-25869.00000,-2843.00000,-29387.00000,-2198.00000,4912.00000,2714.00000,-1083.00000,-15.00000,-641.00000,26230.00000,28288.00000,552.00000,-623.00000
2011-12-31,2569.00000,776.00000,-176.00000,600.00000,,-425.00000,-958.00000,2211.00000,-629.00000,-64.00000,-57145.00000,-14847.00000,-71992.00000,-7493.00000,-80178.00000,2582.00000,3374.00000,5956.00000,-830.00000,-830.00000,-593.00000,74232.00000,78765.00000,500.00000,-593.00000
2010-12-31,2581.00000,629.00000,1110.00000,1739.00000,,-155.00000,-270.00000,4050.00000,-216.00000,-2660.00000,-5748.00000,-6602.00000,-12350.00000,289.00000,-14937.00000,721.00000,1294.00000,2015.00000,687.00000,687.00000,-440.00000,8528.00000,10790.00000,-57.00000,-440.00000
2009-12-31,-1083.00000,711.00000,3597.00000,4308.00000,,-636.00000,556.00000,3781.00000,-312.00000,-364.00000,34728.00000,-15527.00000,19201.00000,4563.00000,23088.00000,-4249.00000,3923.00000,-326.00000,1223.00000,-1777.00000,-672.00000,-25198.00000,-27973.00000,-1157.00000,-599.00000
