,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,856.60000,332.00000,82.60000,414.60000,-456.70000,-109.10000,105.20000,839.80000,459.40000,1730.60000,-281.20000,-30.80000,1075.90000,1075.90000,,763.90000,,,-1965.10000,-1965.10000,-165.20000,-2130.30000,363.80000,217.30000
2021-12-31,606.70000,267.20000,129.40000,396.60000,-72.50000,-19.40000,-13.10000,507.50000,496.40000,1499.70000,-295.90000,-74.90000,-954.70000,-954.70000,0.40000,-1325.10000,989.40000,989.40000,-715.80000,-715.80000,-190.80000,82.80000,257.30000,207.90000
2020-12-31,488.50000,207.50000,187.20000,394.70000,-176.40000,-42.20000,37.40000,292.80000,200.50000,1083.70000,-125.90000,-40.20000,92.00000,92.00000,1.30000,-72.80000,,,-1058.00000,-1058.00000,-113.60000,-1171.60000,-160.70000,191.70000
2019-12-31,331.70000,163.50000,199.20000,362.70000,-96.70000,-48.50000,7.70000,274.00000,113.60000,808.00000,-92.20000,-34.60000,-375.50010,-375.50010,,-502.30000,,,-95.60000,-95.60000,-100.00000,-195.60000,110.10000,174.10000
2018-12-31,334.90000,146.00000,34.90000,180.90000,-82.00000,-33.40000,14.60000,211.90000,123.10000,638.90000,-53.00000,-21.70000,-60.20000,-60.20000,,-134.90000,,,-125.30000,-125.30000,-77.30000,-202.60000,301.40000,162.90000
2017-12-31,31.40000,58.00000,176.80000,234.80000,-38.40000,9.40000,13.10000,287.60000,328.20000,594.40000,-135.30000,,58.50000,58.50000,,-76.80000,,,-370.50000,-370.50000,-45.10000,-415.60000,102.00000,137.20000
2016-12-31,32.20000,53.30000,97.20000,150.50000,-57.90000,-43.00000,0.10000,238.20000,163.00000,345.70000,-67.20000,-22.10000,15.20000,15.20000,,-74.10000,,,-66.00000,-66.00000,-39.90000,-105.90000,165.70000,122.40000
2015-12-31,7.98700,39.04600,68.62800,107.67400,-66.46400,-19.08800,-2.51700,222.39900,166.88600,282.54700,-37.35800,-38.02500,74.41600,74.41600,,-0.96700,,,7.31400,7.31400,-28.87100,-21.55700,260.02300,95.08800
2014-12-31,25.34300,30.73100,72.20600,102.93700,-55.88800,-32.45900,18.03300,124.43200,68.30200,196.58200,-32.19700,-0.01700,2.86400,2.86400,,-29.35000,,,11.34700,11.34700,-10.59800,0.74900,167.38100,58.99400
2013-12-31,44.27300,27.25700,23.14600,50.40300,-22.08000,-35.09300,10.48500,67.25900,52.70800,147.38400,-13.87700,-7.63500,-125.22200,-125.22200,,-146.73400,,,-7.94500,-7.94500,1.52200,-6.42300,-7.10200,43.90900
2012-12-31,66.83600,24.52600,10.24800,34.77400,-12.12000,-11.30300,0.96100,69.68300,82.25600,183.86600,-22.08300,-1.24900,-159.37900,-159.37900,,-182.71100,,,38.08700,38.08700,12.06900,50.15600,50.98500,30.69000
2011-12-31,62.49200,19.50400,-8.66600,10.83800,-23.24600,-6.03400,6.80100,39.48900,59.51200,132.84200,-3.62400,-2.62300,-160.57900,-160.57900,,-166.82600,,,19.96800,19.96800,19.82900,39.79700,5.13100,19.01500
2010-12-31,41.24500,13.04500,-0.73000,12.31500,-17.78400,-5.94600,2.43700,47.27100,49.82300,103.38300,-3.77600,,-279.99600,-279.99600,0.06200,-283.71000,,,29.11000,29.11000,4.90900,34.01900,-145.59900,9.31500
2009-12-31,60.17900,6.77100,-31.51500,-24.74400,-8.50800,-2.01200,3.04600,28.64100,26.53600,61.97100,-4.58900,-0.54900,18.89500,18.89500,,13.75700,,,92.54800,79.78000,-1.73100,78.04900,155.88700,7.46100
