,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,3011.60000,790.20000,-227.70000,562.50000,-1377.10000,-272.70000,262.40000,-547.10010,3027.00000,-702.80000,,-170.30000,-170.30000,-1159.90000,-2033.00000,905.89990,370.10000,1276.00000,33.60000,33.60000,-1004.70000,304.90000,1262.60000,-1004.70000
2021-12-31,1865.50000,903.30000,-212.90000,690.40000,-322.10000,-628.00000,-112.50000,-369.20000,2186.70000,-728.70000,,-176.10000,-176.10000,-457.89990,-1362.70000,-235.59990,24.70000,-210.89990,36.00000,36.00000,-708.00000,-882.90000,-111.30000,-708.00000
2020-12-31,1301.20000,1049.00000,-135.30000,913.70000,993.00000,-51.90000,-115.20000,772.30000,2987.20000,-1036.50000,,-244.60000,-244.60000,-594.70000,-1875.80000,251.60010,-831.90000,-580.29990,11.60000,11.60000,-1239.80000,-1808.50000,-635.50000,-1239.80000
2019-12-31,2387.90000,1077.30000,77.10000,1154.40000,-592.50000,24.60000,-86.50000,-682.00000,2860.30000,-1380.40000,,-135.10000,-135.10000,-691.90000,-2207.40000,714.30000,557.10000,1271.40000,-49.40000,-49.40000,-1138.60000,83.40000,739.20000,-1138.60000
2018-12-31,2195.10000,1054.10000,-19.80000,1034.30000,-811.40000,-332.70000,378.10000,-237.10010,2992.30000,-1298.60000,,315.60000,315.60000,-947.70010,-1930.70000,584.59990,625.90000,1210.50000,-335.10000,-335.10000,-804.30000,71.10000,1071.20000,-804.30000
2017-12-31,1675.20000,1107.50000,-178.60000,928.90000,-465.70000,-149.90000,393.70000,111.70000,2715.80000,-1375.90000,,-190.80000,-190.80000,-397.90000,-1964.60000,-226.90000,352.10000,125.20000,39.30000,39.30000,-558.30000,-393.80000,449.00000,-558.30000
2016-12-31,521.70000,993.10000,-106.10000,887.00000,339.80000,64.10000,496.80000,892.10000,2300.80000,-1521.60000,,272.90000,272.90000,-315.59990,-1564.30000,369.70010,-322.80000,46.90010,-41.10000,-41.10000,-829.30000,-823.50000,-100.70000,-829.30000
2015-12-31,1604.00000,907.10000,-59.10000,848.00000,-168.10000,64.30000,370.40000,104.00000,2556.00000,-1301.10000,,-294.30000,-294.30000,-379.49990,-1974.90000,413.10000,250.70000,663.80000,-179.80000,-179.80000,-680.50000,-196.50000,278.80000,-680.50000
2014-12-31,1358.80000,632.50000,161.90000,794.40000,-304.10000,-189.50000,211.70000,-29.60000,2123.60000,98.40000,-1239.10000,-124.60000,-124.60000,-266.59990,-1531.90000,-232.20000,349.10000,116.90010,-13.60000,-13.60000,-623.80000,-520.50000,-12.50000,-623.80000
2013-12-31,1171.30000,810.70000,120.60000,931.30000,-197.50000,-39.60000,269.40000,273.10000,2375.70000,-1526.20000,,-101.20000,-101.20000,-523.60000,-2151.00000,1565.20000,-1039.30000,525.90000,31.00000,31.00000,-283.10000,273.80000,477.70000,-283.10000
2012-12-31,1111.60000,700.90000,14.90000,715.80000,68.70000,-61.50000,-12.00000,-308.40000,1519.00000,-1478.90000,,-280.60000,-280.60000,-828.50010,-2588.00000,1533.00000,-365.80000,1167.20000,-148.20000,-148.20000,-809.50000,209.50000,-834.30000,-809.50000
2011-12-31,1042.30000,673.80000,208.70000,882.50000,-959.50000,-187.10000,229.40000,-332.20000,1592.60000,-1308.30000,,-471.80000,-471.80000,-638.90000,-2419.00000,-152.40000,1642.60000,1490.20000,-326.70000,-326.70000,-217.40000,946.10000,65.90000,-217.40000
2010-12-31,457.60000,189.90000,488.30000,678.20000,-43.40000,96.60000,141.10000,415.60000,1551.40000,231.90000,-715.40000,-233.70000,-233.70000,250.10010,-467.10000,-182.60000,-548.10000,-730.70000,22.00000,22.00000,-251.70000,-960.40000,128.80000,-251.70000
2009-12-31,111.90000,651.70000,46.00000,697.70000,805.00000,53.40000,-22.90000,563.70000,1373.30000,395.90000,-843.30000,-42.80000,-42.80000,800.80000,310.60000,-811.89990,-789.80000,-1601.70000,17.60000,17.60000,-232.10000,-1816.20000,-43.20000,-232.10000
