,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1086.90000,176.60000,1.60000,178.20000,-119.80000,-198.00000,21.90000,28.60000,-324.10000,941.00000,-162.40000,,,,-0.60000,-163.00000,165.00000,165.00000,-228.60000,-228.60000,-711.30000,,-774.90000,-6.10000,7.20000,-711.30000
2021-12-31,925.00000,170.70000,-6.70000,164.00000,-135.20000,-189.50000,26.10000,-44.70000,-318.90000,770.10000,-148.20000,,,,-0.30000,-148.50000,-15.00000,-15.00000,31.60000,31.60000,-643.70000,,-627.10000,-9.50000,5.60000,-643.70000
2020-12-31,859.10000,162.40000,14.70000,177.10000,-29.70000,36.00000,14.20000,14.50000,65.60000,1101.80000,-157.50000,-125.00000,,,0.80000,-281.70000,60.00000,60.00000,-11.00000,-11.00000,-803.40000,,-754.40000,70.80000,5.70000,-803.40000
2019-12-31,790.90000,148.70000,25.00000,173.70000,-30.40000,-84.40000,-0.80000,-9.30000,-121.90000,842.70000,-239.80000,,,,0.10000,-239.70000,-155.00000,-155.00000,58.50000,58.50000,-498.60000,,-595.10000,7.70000,5.70000,-498.60000
2018-12-31,751.90000,138.20000,46.50000,184.70000,-120.30000,-193.30000,46.10000,-26.20000,-262.40000,674.20000,-166.80000,-3.70000,,,-3.40000,-173.90000,85.00000,85.00000,-89.60000,-89.60000,-441.90000,,-446.50000,50.30000,5.10000,-441.90000
2017-12-31,578.60000,127.40000,-17.60000,109.80000,-103.70000,-76.30000,36.30000,-16.50000,-103.20000,585.20000,-112.50000,-58.70000,,,-8.10000,-179.30000,35.00000,35.00000,-73.10000,-73.10000,-369.10000,,-407.20000,4.20000,5.20000,-369.10000
2016-12-31,499.40000,104.00000,37.80000,141.80000,-40.50000,-80.90000,-17.20000,30.40000,-121.30000,519.90000,-183.00000,,,,-5.10000,-188.10000,30.00000,30.00000,-30.20000,-30.20000,-346.60000,,-346.80000,-16.30000,4.10000,-346.60000
2015-12-31,516.40000,86.60000,21.50000,108.10000,-20.60000,-47.80000,20.60000,-10.90000,-74.20000,550.30000,-145.30000,-23.50000,,,-11.80000,-180.60000,260.00000,260.00000,-273.80000,-273.80000,-327.10000,,-340.90000,14.60000,5.80000,-327.10000
2014-12-31,494.15000,72.67200,17.22100,89.89300,-63.41800,-87.62200,12.50100,-5.78000,-84.65100,499.39200,-183.65500,-5.57500,0.45100,0.45100,-0.00200,-188.78100,90.00000,90.00000,-45.24500,-45.24500,-296.58100,2.09400,-249.73200,55.99000,7.03900,-296.58100
2013-12-31,448.63600,64.19100,19.52000,83.71100,-51.59300,-68.68500,13.23400,-16.89300,-116.22700,416.12000,-201.55000,,-0.09700,-0.09700,-0.14500,-201.79200,,,0.22600,0.22600,-237.45600,2.78700,-234.44300,-21.10500,5.40000,-237.45600
2012-12-31,420.53600,54.05200,19.41600,73.46800,-43.29100,-69.23100,4.24000,-4.32700,-97.71200,396.29200,-133.88200,,26.81100,26.81100,-0.13300,-107.20400,,,29.64400,29.64400,-367.30600,10.14900,-327.51300,-38.06500,4.80000,-367.30600
2011-12-31,357.92900,44.70600,29.20800,73.91400,-77.67800,-88.78300,13.30500,-22.52600,-163.35400,268.48900,-116.48900,,4.05400,4.05400,0.21200,-112.22300,,,8.93900,8.93900,-191.74100,0.98300,-181.81900,-26.01700,4.05000,-191.74100
2010-12-31,265.35600,40.75500,14.32500,55.08000,-64.62200,-48.96400,6.98400,-20.69500,-79.94800,240.48800,-69.13800,,-0.58100,-0.58100,-10.32900,-80.04800,,,,,-182.81400,,-182.81400,-21.15900,4.03000,-182.81400
2009-12-31,184.35700,40.08700,20.20800,60.29500,21.36200,60.42500,-14.17200,23.48500,61.41800,306.07000,-47.67500,-5.03200,-28.94100,-28.94100,-0.10100,-81.74900,,,-41.10400,-41.10400,-106.94300,,-148.04700,78.96000,3.85000,-106.94300
