,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,263.09900,101.06900,29.95300,131.02200,-57.59600,-32.00700,12.74100,-3.08200,-69.51700,325.27200,-44.90800,,-26.94300,-25.00000,-51.94300,,-96.85100,-85.50000,-85.50000,-83.79500,-83.79500,-50.18500,-23.37300,-242.85300,-26.52400,42.18300,-50.18500
2021-06-30,139.58500,87.74700,96.03300,183.78000,-15.54900,-7.14000,19.09100,-1.10100,29.26300,352.16400,-44.30100,-225.35200,26.69300,-0.55600,26.13700,,-243.51600,-15.50000,-15.50000,21.91400,21.91400,-49.62200,-19.34300,-62.55100,52.46600,48.98200,-49.62200
2020-06-30,229.29600,82.73700,-100.83800,-18.10100,6.55600,-14.86100,10.34300,-2.60500,-5.24600,205.21700,-51.74400,,76.93300,1.90600,78.83900,,27.09500,-148.50000,-148.50000,20.87100,20.87100,-48.90200,-7.27200,-183.80200,45.73900,32.36700,-48.90200
2019-06-30,96.07200,78.17100,32.80200,110.97300,-15.00000,-13.64700,6.10100,-0.69800,-27.75100,181.61900,-25.41100,-289.49200,-21.89600,,-21.89600,,-336.79900,166.50000,166.50000,22.54500,22.54500,-48.36400,-6.29700,134.38400,-21.10400,32.28000,-48.36400
2018-06-30,126.15000,64.46300,-22.91800,41.54500,-2.70000,-13.32700,5.02600,2.78200,1.89600,170.36700,-20.93400,-67.85100,27.81900,21.57400,49.39300,0.68000,-38.71200,-4.50000,-4.50000,19.17000,19.17000,-47.97300,-65.88500,-99.18800,30.37800,28.24000,-47.97300
2017-06-30,76.08600,60.03600,20.83500,80.87100,-19.68600,-0.73200,5.69500,-2.08800,-15.45100,143.72100,-15.17900,-253.78500,3.01000,-40.00000,-36.99000,,-305.95400,252.00000,252.00000,5.25700,5.25700,-47.32500,-20.81900,189.11300,27.37500,14.63100,-47.32500
2016-06-30,104.47600,42.76400,12.23700,55.00100,-22.98100,-6.62600,8.92400,-0.38100,-15.04100,144.15700,-16.89800,-91.42300,0.77600,,0.77600,-0.02500,-107.57000,18.50000,18.50000,5.45800,5.45800,-47.60700,0.27900,-23.37000,9.70500,9.43000,-47.60700
2015-06-30,107.73500,37.22600,5.92200,43.14800,-11.74700,-4.71400,2.15400,-0.62000,-11.36700,139.35900,-19.90500,-420.10200,13.46600,,13.46600,0.04900,-426.49200,68.03600,68.03600,9.73100,9.73100,-47.10700,0.61500,31.27500,-264.03600,5.95700,-47.10700
2014-06-30,110.94800,19.17500,7.88800,27.06300,1.14500,-2.89500,1.36800,-0.55400,-1.84100,136.76200,-13.82100,-109.18000,182.66400,-10.00000,172.66400,0.02500,49.68800,,,8.32600,8.32600,-45.39400,0.26200,-36.80600,154.78200,3.52300,-45.39400
2013-06-30,112.56100,12.32100,3.18600,15.50700,-2.33400,-2.21600,0.24300,-0.03300,-5.26900,123.56200,-22.45400,,-9.10200,,-9.10200,0.35200,-31.20400,,,-1.28900,-1.28900,-43.46300,0.07500,-44.67700,47.11100,1.86400,-43.46300
2012-06-30,112.33100,12.46700,5.65700,18.12400,-2.09600,-1.57700,1.58100,-0.47600,-3.93900,126.74600,-6.01700,,-15.28500,,-15.28500,-0.36600,-21.66800,,,-23.65800,-23.65800,-41.01800,0.05100,-64.62500,39.06200,1.64100,-41.01800
2011-06-30,112.30200,8.70000,6.24600,14.94600,-3.62400,-1.02100,-0.59100,0.25600,-0.27900,127.19400,-3.63000,-131.76600,22.15400,,22.15400,-0.94300,-114.18500,,,2.55600,2.55600,-39.69100,0.84700,-36.28800,-16.52600,1.13800,-39.69100
2010-06-30,109.77600,8.13000,0.89800,9.02800,-4.03400,-2.36800,-0.07400,-0.18600,-7.76600,111.26000,-4.64400,,-110.02100,,-110.02100,0.05000,-114.61500,,,-12.31900,-12.31900,-38.38800,0.19600,-50.51100,-66.80100,1.13500,-38.38800
2009-06-30,105.24200,7.76600,1.93100,9.69700,0.04900,-2.12300,1.39400,-0.04200,-4.07600,111.32100,-6.55600,,26.49400,,26.49400,1.34000,21.27800,,,-91.35700,-91.35700,-28.19400,0.10700,-119.44400,-6.05200,1.47800,-28.19400
