,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,27528.00000,4050.00000,6112.00000,10162.00000,6705.00000,-95772.00000,20799.00000,-45239.00000,-6327.00000,,,-16969.00000,84103.00000,67134.00000,-69663.00000,-2529.00000,31855.00000,6485.00000,38340.00000,-5073.00000,-1301.00000,-8576.00000,-134502.00000,-106039.00000,-118018.00000,2862.00000,-8576.00000
2021-12-31,31978.00000,7735.00000,-2686.00000,5049.00000,-8951.00000,-22104.00000,-34455.00000,-48871.00000,-7193.00000,,,52740.00000,-309745.00000,-257005.00000,-56286.00000,-313291.00000,29849.00000,26438.00000,56287.00000,-25126.00000,-24928.00000,-8055.00000,268346.00000,291650.00000,-32242.00000,2768.00000,-8055.00000
2020-12-31,17894.00000,5944.00000,11203.00000,17147.00000,-608.00000,16942.00000,-12883.00000,-934.00000,37993.00000,,,-28900.00000,-189969.00000,-218869.00000,41204.00000,-177665.00000,9065.00000,321.00000,9386.00000,-7025.00000,-5916.00000,-7727.00000,360076.00000,355819.00000,218903.00000,2031.00000,-7727.00000
2019-12-31,27430.00000,3795.00000,9854.00000,13649.00000,1317.00000,7920.00000,-11113.00000,14487.00000,61777.00000,,,-113855.00000,76769.00000,-37086.00000,-43544.00000,-80630.00000,1626.00000,-17875.00000,-16249.00000,-28144.00000,-27069.00000,-5934.00000,52629.00000,3377.00000,-15844.00000,1974.00000,-5934.00000
2018-12-31,28147.00000,3887.00000,7898.00000,11785.00000,901.00000,-23673.00000,11920.00000,2158.00000,39520.00000,,,-44725.00000,-10201.00000,-54926.00000,-16542.00000,-71468.00000,11232.00000,-2408.00000,8824.00000,-20094.00000,-20091.00000,-6895.00000,71280.00000,53118.00000,19970.00000,1729.00000,-6895.00000
2017-12-31,18232.00000,4354.00000,12965.00000,17319.00000,-2958.00000,-14663.00000,-20090.00000,-33038.00000,9864.00000,,,-109437.00000,85439.00000,-23998.00000,-27543.00000,-51541.00000,4006.00000,15562.00000,19568.00000,-12814.00000,-12814.00000,-5700.00000,48214.00000,49268.00000,9696.00000,1649.00000,-5700.00000
2016-12-31,17822.00000,5375.00000,10267.00000,15642.00000,-519.00000,-2635.00000,-14103.00000,-17292.00000,17277.00000,,,-125373.00000,87370.00000,-38003.00000,-24282.00000,-62285.00000,-16086.00000,-8014.00000,-24100.00000,-5112.00000,-2165.00000,-4194.00000,63612.00000,33153.00000,-11615.00000,1367.00000,-4194.00000
2015-12-31,15910.00000,5002.00000,4901.00000,9903.00000,-1729.00000,2550.00000,2645.00000,4196.00000,28397.00000,,,-82452.00000,68795.00000,-13657.00000,-41914.00000,-55571.00000,3305.00000,-30060.00000,-26755.00000,590.00000,590.00000,-3574.00000,78274.00000,48535.00000,20764.00000,-89.00000,-3574.00000
2014-12-31,5520.00000,4221.00000,2019.00000,6240.00000,-830.00000,5866.00000,5894.00000,20632.00000,30795.00000,,,2535.00000,-45607.00000,-43072.00000,34812.00000,-8260.00000,-2176.00000,-11656.00000,-13832.00000,-1675.00000,4282.00000,-2306.00000,-345.00000,-12201.00000,7267.00000,78.00000,-2306.00000
2013-12-31,11431.00000,4260.00000,6196.00000,10456.00000,12019.00000,33870.00000,35154.00000,68124.00000,92817.00000,,,36750.00000,27455.00000,64205.00000,-39147.00000,25058.00000,-19944.00000,-79144.00000,-99088.00000,-3220.00000,-8673.00000,-1677.00000,13996.00000,-95442.00000,20570.00000,,-1677.00000
2012-12-31,4188.00000,5618.00000,8879.00000,14497.00000,-4723.00000,-47606.00000,-11424.00000,-39692.00000,-16056.00000,5.00000,,-1431.00000,-31248.00000,-32679.00000,-2305.00000,-34979.00000,-102189.00000,73378.00000,-28811.00000,,667.00000,-1909.00000,72469.00000,42416.00000,-9350.00000,,-1909.00000
2011-12-31,1446.00000,8715.00000,4767.00000,13482.00000,23694.00000,25481.00000,21285.00000,52336.00000,64448.00000,-1307.00000,,-1462.00000,57211.00000,55749.00000,-2013.00000,52429.00000,-75813.00000,-54759.00000,-130572.00000,,5000.00000,-1738.00000,22656.00000,-104654.00000,11675.00000,,-1738.00000
2010-12-31,-2238.00000,16312.00000,26499.00000,42811.00000,,20775.00000,5213.00000,40057.00000,82541.00000,-987.00000,,-21837.00000,-17477.00000,-39314.00000,9954.00000,-30347.00000,-58704.00000,-41524.00000,-100228.00000,,,-1762.00000,36656.00000,-65334.00000,-12912.00000,,-1762.00000
2009-12-31,6276.00000,4314.00000,44217.00000,48531.00000,,59822.00000,28553.00000,71774.00000,129731.00000,-2240.00000,31804.00000,50450.00000,37816.00000,88266.00000,40095.00000,157925.00000,-33463.00000,-189419.00000,-222882.00000,13468.00000,17712.00000,-4863.00000,10465.00000,-199568.00000,88482.00000,,-4863.00000
