,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-08-31,2429.60400,453.49900,256.20600,709.70500,-125.73200,-990.68600,-25.93100,71.82610,3211.13500,-614.40400,,,-2.15800,-31.53700,-33.69500,-648.09900,786.21800,,786.21800,-4246.05700,-4246.05700,-10.65800,-3470.49700,-906.95500,70.61200
2021-08-31,2170.31400,420.54100,21.68000,442.22100,-11.03900,-138.51700,-3.81500,906.00790,3518.54300,-591.78300,,,31.71700,-41.71200,-9.99500,-601.77800,-309.85300,,-309.85300,-3190.56400,-3190.56400,,-3500.41700,-579.48000,56.11200
2020-08-31,1732.97200,408.19600,95.91200,504.10800,-58.56400,-184.17400,104.46300,483.02800,2720.10800,-445.97300,,,-6.71200,-45.19000,-51.90200,-497.87500,267.84200,,267.84200,-862.51100,-862.51100,-48.96700,-643.63600,1574.51500,44.83500
2019-08-31,1617.22100,378.11900,78.30600,456.42500,-48.51200,-394.14700,43.83900,54.86700,2128.51300,-489.44800,,,-2.39800,,-2.39800,-491.84600,151.39300,,151.39300,-1816.07700,-1816.07700,-9.40400,-1674.08800,-41.52400,43.25500
2018-08-31,1337.53600,353.47700,231.24200,584.71900,7.53400,-188.78200,26.11400,158.03700,2080.29200,-522.24700,,35.27900,-34.89200,,-34.89200,-521.86000,-299.00400,170.20000,-128.80400,-1502.29800,-1502.29800,-1.05200,-1632.15400,-75.44600,43.67400
2017-08-31,1280.86900,331.42000,95.38500,426.80500,7.79500,-236.80700,12.99500,-137.06200,1570.61200,-550.88100,,,-2.71800,,-2.71800,-553.59900,152.39600,-42.40000,109.99600,-1016.96300,-1016.96300,-7.36200,-914.32900,103.53600,38.24400
2016-08-31,1241.00700,305.37700,32.12300,337.50000,-41.44700,-227.51800,10.19800,62.55300,1641.06000,-486.13700,-10.00000,,-9.69800,,-9.69800,-505.83500,113.68000,149.90000,263.58000,-1372.17300,-1372.17300,-7.93500,-1116.52800,14.42500,39.82500
2015-08-31,1160.24100,276.14900,76.96600,353.11500,-36.46600,-266.77600,-3.10300,59.66200,1573.01800,-478.83800,-10.00000,-75.74400,-3.32900,,-3.32900,-567.91100,268.81400,,268.81400,-1204.69900,-1204.69900,-8.71200,-944.59700,50.82400,40.99500
2014-08-31,1069.74400,258.12300,7.78200,265.90500,-27.96300,-276.83400,2.32900,5.58500,1341.23400,-433.91600,-11.11200,,-2.94000,,-2.94000,-447.96800,124.14400,,124.14400,-1057.17800,-1057.17800,21.47700,-911.55700,-17.70600,39.39000
2013-08-31,1016.48000,235.49000,57.01100,292.50100,-8.19600,-232.84600,-4.11400,106.03000,1415.01100,-404.68600,0.00000,-116.08400,-6.52500,,-6.52500,-527.29500,272.45500,118.65200,391.10700,-1290.16100,-1290.16100,52.03200,-847.02200,39.09800,37.30700
2012-08-31,930.37300,219.89700,58.92000,278.81700,-21.27600,-167.91400,12.86200,14.79100,1223.98100,-371.48100,0.00000,,-3.28000,,-3.28000,-374.76100,473.25000,-81.27100,391.97900,-1287.52600,-1287.52600,52.11400,-843.43300,5.48700,33.36300
2011-08-31,848.97400,205.17100,71.29200,276.46300,-14.60500,-155.42100,-6.07300,166.10100,1291.53800,-318.30300,,,-0.69100,,-0.69100,-318.99400,277.91900,141.50100,419.42000,-1410.95600,-1410.95600,17.76500,-973.77100,-0.67400,26.62500
2010-08-31,738.31100,198.57900,10.09700,208.67600,0.78200,-96.07700,5.21500,249.26500,1196.25200,-303.91100,,,-3.53600,,-3.53600,-307.44700,-16.59700,181.58600,164.98900,-1070.73300,-1070.73300,22.25100,-883.49300,5.57400,19.12000
2009-08-31,657.04900,184.07700,65.45300,249.53000,-56.82300,-76.33700,-10.62600,17.22900,923.80800,-261.58400,,,-2.13800,,-2.13800,-263.72200,182.26000,277.60000,459.86000,-1260.14700,-1260.14700,-6.60900,-806.89600,-149.75500,19.13500
