,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,2105.00000,2230.00000,74.00000,2304.00000,-329.00000,-25.00000,304.00000,-164.00000,24.00000,4433.00000,-2701.00000,-2340.00000,-7.00000,-7.00000,32.00000,-5016.00000,1644.00000,1644.00000,-1068.00000,-1068.00000,-24.00000,552.00000,-38.00000,127.00000
2021-12-31,1386.00000,1996.00000,-44.00000,1952.00000,-300.00000,9.00000,307.00000,248.00000,351.00000,3689.00000,-2200.00000,-1436.00000,,,25.00000,-3611.00000,-98.00000,-98.00000,-34.00000,-34.00000,-8.00000,-140.00000,-58.00000,119.00000
2020-12-31,890.00000,2002.00000,-231.00000,1771.00000,218.00000,-5.00000,10.00000,-228.00000,-3.00000,2658.00000,-258.00000,-2.00000,-3.00000,-3.00000,40.00000,-223.00000,-1985.00000,-1985.00000,-285.00000,-285.00000,-23.00000,-2293.00000,150.00000,70.00000
2019-12-31,1174.00000,2053.00000,2.00000,2055.00000,39.00000,-8.00000,-86.00000,-59.00000,-205.00000,3024.00000,-1482.00000,-249.00000,-3.00000,-3.00000,24.00000,-1710.00000,-418.00000,-418.00000,-859.00000,-859.00000,-28.00000,-1305.00000,9.00000,61.00000
2018-12-31,1096.00000,1683.00000,120.00000,1803.00000,-115.00000,-20.00000,49.00000,75.00000,-46.00000,2853.00000,-1604.00000,-2966.00000,-3.00000,-3.00000,22.00000,-4551.00000,2236.00000,2236.00000,-815.00000,-815.00000,-24.00000,1397.00000,-309.00000,102.00000
2017-12-31,1346.00000,1392.00000,-537.00000,855.00000,-184.00000,1.00000,141.00000,-20.00000,8.00000,2209.00000,-1323.00000,-2377.00000,-5.00000,-5.00000,21.00000,-3684.00000,1594.00000,1594.00000,-53.00000,-53.00000,-44.00000,1497.00000,40.00000,87.00000
2016-12-31,566.00000,1254.00000,5.00000,1259.00000,15.00000,1.00000,-29.00000,77.00000,116.00000,1941.00000,-829.00000,-28.00000,-2.00000,-2.00000,12.00000,-847.00000,-471.00000,-471.00000,-527.00000,-527.00000,34.00000,-964.00000,133.00000,45.00000
2015-12-31,585.00000,1254.00000,248.00000,1502.00000,-11.00000,8.00000,-8.00000,-38.00000,-92.00000,1995.00000,-1081.00000,-86.00000,-3.00000,-3.00000,,-1170.00000,84.00000,84.00000,-788.00000,-788.00000,-71.00000,-775.00000,21.00000,49.00000
2014-12-31,540.00000,1211.00000,185.00000,1396.00000,-101.00000,11.00000,-23.00000,-52.00000,-135.00000,1801.00000,-1244.00000,-756.00000,,,,-2000.00000,787.00000,787.00000,-611.00000,-611.00000,20.00000,196.00000,-17.00000,74.00000
2013-12-31,387.00000,1119.00000,56.00000,1175.00000,-20.00000,-2.00000,9.00000,60.00000,-11.00000,1551.00000,-1168.00000,-9.00000,,,,-1177.00000,-160.00000,-160.00000,-109.00000,-109.00000,-26.00000,-295.00000,69.00000,46.00000
2012-12-31,75.00000,920.00000,163.00000,1083.00000,-86.00000,-2.00000,-223.00000,-18.00000,-437.00000,721.00000,-939.00000,-1165.00000,,,,-2104.00000,1643.00000,1643.00000,-110.00000,-110.00000,-80.00000,1453.00000,70.00000,32.00000
2011-12-31,101.00000,502.00000,26.00000,528.00000,-62.00000,-3.00000,68.00000,-15.00000,-17.00000,612.00000,-589.00000,-276.00000,,,,-865.00000,79.00000,79.00000,28.00000,28.00000,-27.00000,80.00000,-167.00000,12.00000
2010-12-31,-26.00000,472.00000,-29.00000,443.00000,-38.00000,5.00000,4.00000,61.00000,35.00000,452.00000,-223.00000,,,,,-223.00000,-183.00000,-183.00000,,,-20.00000,-203.00000,34.00000,8.00000
2009-12-31,-62.00000,491.00000,17.00000,508.00000,128.00000,16.00000,-32.00000,-36.00000,-8.00000,438.00000,-69.00000,-25.00000,,,,-94.00000,-206.00000,-206.00000,-1.00000,-1.00000,-61.00000,-268.00000,92.00000,8.00000
