,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-709.36800,721.74500,-27.03100,694.71400,-9.33500,-19.73700,69.69200,-56.61800,-71.27200,-298.65600,-52.37700,,,,1700.00000,1348.96700,143.24700,143.24700,-184.60400,-184.60400,-1.44500,19.12400,-23.67800,1251.92300,67.62700,-1.44500
2021-12-31,-1011.99000,743.00900,187.40700,930.41600,-29.44100,-21.49900,-207.87800,-141.01700,-222.59100,-286.38900,-56.03400,,,,,-342.42300,-1163.77800,-1163.77800,832.71600,832.71600,-1.55300,-55.38700,-388.00200,-955.31700,95.23800,-1.55300
2020-12-31,-2326.94600,754.43400,745.70700,1500.14100,81.64600,27.66000,-192.45100,-245.62000,-1072.42500,-270.36300,0.00000,4.60400,,,,-265.75900,2650.68300,2650.68300,-11.46300,-11.46300,-108.77700,-67.19800,2463.24500,1128.09200,62.25400,-108.77700
2019-12-31,311.37800,653.83200,257.24700,911.07900,-86.71200,-37.90700,-134.85800,-321.38700,901.07000,-1062.59800,-6.00000,,,,,-1068.59800,963.69020,963.69020,-57.67400,-57.67400,-574.26600,-32.73800,299.01200,138.96900,40.37200,-574.26600
2018-12-31,803.08400,587.51300,-321.87100,265.64200,-59.15700,-5.21200,-92.39500,-107.23700,961.48900,-1421.75900,-126.41400,,325.36300,325.36300,,-1222.81000,-243.34200,-243.34200,771.43500,771.43500,-875.15300,22.80300,-324.25700,-587.31100,35.04000,-875.15300
2017-12-31,889.25400,577.38100,-113.47400,463.90700,0.82900,-4.37200,456.00500,523.41600,1876.57700,-915.10000,-13.57100,,-28.96200,-28.96200,,-957.63300,-529.85500,-529.85500,44.04600,44.04600,-332.19600,63.65000,-754.35500,160.68900,43.97100,-332.19600
2016-12-31,302.46900,429.05600,35.16600,464.22200,-39.27200,-36.64200,162.78400,203.85500,970.54600,-1222.07100,-14.98500,,-51.19400,-51.19400,,-1288.25000,1013.62800,1013.62800,-18.11000,-18.11000,-325.25000,212.36100,882.62900,563.79600,43.72200,-325.25000
2015-12-31,281.52400,342.41400,140.53800,482.95200,47.01100,-23.61300,-107.44800,-191.66300,572.81300,-1921.24000,-3.91200,,-3.66000,-3.66000,37.25400,-1891.55800,1917.80800,1917.80800,-8.56400,-8.56400,-499.10700,-193.87900,1216.25800,-102.07500,38.47500,-499.10700
2014-12-31,962.64400,350.76800,45.61700,396.38500,0.03800,-6.91700,-151.00600,-260.71200,1098.31700,-1188.54400,-124.58300,,-0.16800,-0.16800,198.94300,-1114.35200,728.93100,728.93100,7.71600,7.71600,-942.92800,-29.34400,-235.62500,-252.87700,39.19600,-942.92800
2013-12-31,1004.15700,392.50400,66.76300,459.26700,-14.87500,-17.74900,145.61500,213.21800,1676.64200,-494.18200,-5.94500,,-76.74400,-76.74400,-100.70900,-677.58000,768.55300,768.55300,4.96400,4.96400,-1034.98600,-29.67400,-291.14300,709.82200,39.53700,-1034.98600
2012-12-31,728.69900,397.16400,90.80200,487.96600,-21.01900,3.64400,-32.35300,-30.94700,1185.71800,-240.25500,,,32.60600,32.60600,-137.20500,-344.85400,612.34690,612.34690,14.67200,14.67200,-955.49300,-54.00500,-382.47900,462.63200,19.64800,-955.49300
2011-12-31,825.11300,417.72200,139.86400,557.58600,-84.65300,11.16800,-14.15100,133.13600,1515.83500,-183.44900,,,-215.51600,-215.51600,-60.13500,-459.10000,-51.41800,-51.41800,16.23000,16.23000,-1033.44700,10.99400,-1057.64100,4.08800,23.88100,-1033.44700
2010-12-31,316.59600,429.90000,137.26200,567.16200,-63.07300,22.16900,0.88000,173.55400,1057.31200,-283.82800,,,,,-12.29500,-296.12300,-305.20000,-305.20000,66.18600,66.18600,-1192.13800,-61.48400,-1492.63600,-733.33100,27.16800,-1192.13800
2009-12-31,39.10700,436.70700,2.79600,439.50300,-41.41600,3.26500,2.25800,115.34600,593.95600,-539.82200,-11.25800,,,,,-551.08000,-703.37190,-703.37190,2078.14500,2078.14500,-489.87600,-69.38200,815.51500,857.92600,24.33600,-489.87600
