,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,235.70000,76.90000,260.70000,337.60000,-181.90000,-181.90000,391.40000,-70.30000,-8.00000,86.40000,,86.40000,,8.10000,150.60000,150.60000,-403.50000,-403.50000,-177.20000,-0.70000,-430.80000,-52.10000,11.10000,-177.20000
2021-12-31,487.10000,77.90000,11.90000,89.80000,64.20000,64.20000,641.10000,-75.10000,-207.60000,-67.20000,,-67.20000,,-349.90000,83.50000,83.50000,-366.50000,-366.50000,-170.10000,32.10000,-421.00000,-129.80000,11.90000,-170.10000
2020-12-31,344.90000,80.00000,12.70000,92.70000,124.50000,124.50000,562.10000,-56.80000,,68.60000,,68.60000,,11.80000,-170.80000,-170.80000,-56.70000,-56.70000,-158.70000,11.40000,-374.80000,199.10000,12.70000,-158.70000
2019-12-31,370.00000,78.30000,13.30000,91.60000,-5.40000,-5.40000,456.20000,-64.40000,-107.00000,205.30000,,205.30000,,33.90000,62.60000,62.60000,-288.20000,-288.20000,-149.20000,-1.00000,-375.80000,114.30000,13.30000,-149.20000
2018-12-31,444.20000,71.90000,10.10000,82.00000,-77.30000,-77.30000,448.90000,-85.20000,,72.50000,,72.50000,,-12.70000,-189.00000,-189.00000,-202.60000,-202.60000,-130.10000,-1.40000,-523.10000,-86.90000,10.10000,-130.10000
2017-12-31,296.50000,70.10000,91.70000,161.80000,-131.90000,-131.90000,326.40000,-94.20000,-43.10000,-20.80000,,-20.80000,,-158.10000,86.50000,86.50000,-139.10000,-139.10000,-96.90000,-2.60000,-152.10000,16.20000,9.90000,-96.90000
2016-12-31,326.50000,65.10000,9.40000,74.50000,45.60000,45.60000,446.60000,-80.70000,-90.80000,-128.70000,,-128.70000,,-300.20000,74.10000,74.10000,-135.20000,-135.20000,-84.20000,5.70000,-139.60000,6.80000,9.40000,-84.20000
2015-12-31,282.90000,63.00000,8.90000,71.90000,-3.10000,-3.10000,351.70000,-72.70000,,-113.40000,,-113.40000,,-186.10000,28.10000,28.10000,-128.10000,-128.10000,-67.80000,6.40000,-161.40000,4.20000,8.80000,-67.80000
2014-12-31,207.80000,59.80000,37.60000,97.40000,-41.20000,-41.20000,264.00000,-86.10000,,-119.90000,,-119.90000,,-206.00000,34.20000,34.20000,-99.10000,-99.10000,-54.40000,,-119.30000,-61.30000,10.80000,-54.40000
2013-12-31,169.70000,59.70000,36.00000,95.70000,14.20000,14.20000,279.60000,-97.70000,-4.00000,93.50000,,93.50000,,-8.20000,-51.50000,-51.50000,-63.50000,-63.50000,-42.60000,,-157.60000,113.80000,10.50000,-42.60000
2012-12-31,158.70000,54.60000,-36.40000,18.20000,-33.10000,-33.10000,143.80000,-69.90000,-13.50000,-3.40000,,-3.40000,,-86.80000,-218.80000,-218.80000,-1.50000,-1.50000,-33.20000,,-253.50000,-196.50000,,-33.20000
2011-12-31,305.70000,47.00000,-212.90000,-165.90000,-81.10000,-81.10000,58.70000,-53.50000,-421.10000,,,,600.20000,125.60000,200.20000,200.20000,-12.30000,-12.30000,-27.70000,,160.20000,344.50000,,-27.70000
2010-12-31,111.50000,40.80000,18.80000,59.60000,-46.30000,-46.30000,124.80000,-53.50000,-11.80000,4.60000,,4.60000,-5.80000,-66.50000,5.00000,5.00000,,,-24.70000,4.00000,-15.70000,42.60000,,-24.70000
2009-12-31,89.60000,38.30000,111.80000,150.10000,23.20000,23.20000,262.90000,-42.70000,-78.50000,,8.90000,8.90000,-4.70000,-117.00000,-91.10000,-91.10000,7.60000,7.60000,-21.40000,,-104.90000,41.00000,,-21.40000
