,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,673.80000,46.90000,54.70000,101.60000,,75.20000,55.70000,831.10000,-27.40000,,,1721.50000,-1338.40000,383.10000,,355.70000,,,,-1035.80000,-1035.80000,,,-1035.80000,150.20000,58.60000,
2021-12-31,784.80000,47.90000,59.40000,107.30000,,76.50000,-84.90000,807.20000,-53.00000,,,2654.50000,-2870.70000,-216.20000,,-269.20000,-8.90000,,-8.90000,-710.20000,-710.20000,,,-719.10000,-181.80000,53.40000,
2020-12-31,814.90000,46.40000,39.10000,85.50000,,19.80000,-170.20000,730.20000,-43.40000,,20.80000,2305.70000,-2355.40000,-49.70000,,-72.30000,,,,-764.90000,-764.90000,,,-764.90000,-107.00000,48.20000,
2019-12-31,612.29900,46.33000,38.70000,85.03000,,12.91200,56.56300,753.89200,-40.31600,,-9.87200,217.38310,,217.38310,,167.19500,,,,-769.43100,-769.43100,,-0.87200,-770.30300,150.84800,50.62600,
2018-12-31,582.48900,30.10800,12.31000,42.41800,,20.86600,72.86000,697.76700,-37.00700,,52.24000,1055.05700,,1055.05700,-0.16000,1070.13000,-1250.00900,,-1250.00900,-625.31600,-625.31600,,,-1875.32500,-108.38600,52.50400,
2017-12-31,457.24800,35.01800,42.75800,77.77600,,39.12300,167.73700,702.76100,-49.49900,,11.74800,-367.67290,,-367.67290,,-405.42400,543.18500,,543.18500,-608.25800,-608.25800,,,-65.07300,233.55800,52.90700,
2016-12-31,440.64500,66.05100,35.99700,102.04800,,22.45600,150.31400,693.00700,-26.57400,-143.00000,,126.84190,,126.84190,,-42.73200,,,,-648.82100,-648.82100,,,-648.82100,0.95300,50.04400,
2015-12-31,375.23600,71.94000,49.50800,121.44800,,69.92100,173.26200,669.94600,-40.65600,,,-452.30190,,-452.30190,-3.94100,-496.89900,492.23700,,492.23700,-628.47900,-628.47900,,,-136.24200,37.05100,46.07500,
2014-12-31,355.26000,74.56800,36.15400,110.72200,-0.07300,46.08900,134.96700,600.94900,-39.32700,,,151.56290,,151.56290,0.45200,112.68800,,,,-865.80600,-865.80600,,6.05400,-859.75200,-147.61500,43.97700,
2013-12-31,544.45000,70.40300,20.70300,91.10600,-2.50000,40.56000,-56.15900,579.39700,-65.59400,,,58.50110,,58.50110,-3.96900,-11.06200,638.29700,,638.29700,-1014.95000,-1014.95000,,19.32000,-357.33300,208.48700,36.64900,
2012-12-31,320.03200,54.81900,98.31900,153.13800,3.32700,74.66700,64.46000,537.63000,-53.02300,,,-1388.74200,,-1388.74200,-0.58800,-1442.35300,,,,-296.37700,-296.37700,,18.62500,-277.75200,-1182.61300,33.36200,
2011-12-31,142.89100,55.70600,67.59600,123.30200,-0.25100,73.42800,69.70800,335.90100,-192.66000,,,467.03100,,467.03100,-1.12900,273.24200,-1.06700,100.00000,98.93300,-500.11400,-500.11400,-463.49800,12.48100,-852.19800,-246.27900,43.27200,-463.49800
2010-12-31,833.85400,67.65500,-750.06210,-682.40700,13.14700,99.23600,63.75900,215.20600,-80.52700,,1162.30600,-473.90100,,-473.90100,-4.78800,603.09000,-1.00400,,-1.00400,-357.23900,-357.23900,-518.21700,131.18600,-745.27400,82.46200,52.17800,-518.21700
2009-12-31,249.23900,86.26600,5.88000,92.14600,25.79800,-6.53700,53.80600,395.19100,-110.81200,,469.38000,129.47900,-1.15000,128.32900,-2.44200,484.45500,,2.07100,2.07100,-224.36700,-224.36700,,24.30200,-197.99400,688.09800,51.16600,
