,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,586.70000,121.40000,-17.80000,103.60000,-71.70000,-72.40000,17.60000,-23.00000,-132.90000,557.40000,-59.10000,,-896.20000,39.70000,39.70000,-1.60000,-917.20000,275.40000,,275.40000,-128.80000,-128.80000,-177.40000,-7.00000,-37.80000,-425.20000,21.60000,-177.40000
2021-12-31,449.30000,104.70000,27.00000,131.70000,-49.40000,-46.10000,22.90000,31.10000,-15.70000,565.30000,-72.70000,,-577.40000,-45.20000,-45.20000,-2.80000,-698.10000,149.30000,,149.30000,19.70000,19.70000,-161.10000,-17.40000,-9.50000,-170.50000,20.40000,-161.10000
2020-12-31,377.80000,85.20000,32.10000,117.30000,20.90000,36.50000,2.70000,27.80000,74.20000,569.30000,-51.60000,,-123.10000,,,2.10000,-172.60000,198.70000,,198.70000,-65.70000,-65.70000,-151.80000,-23.80000,-42.60000,393.30000,14.80000,-151.80000
2019-12-31,425.50000,78.30000,45.20000,123.50000,22.30000,-3.30000,-9.10000,13.20000,-20.90000,528.10000,-50.90000,,-87.20000,,,1.10000,-137.00000,-50.10000,,-50.10000,-15.90000,-15.90000,-147.20000,-14.40000,-227.60000,166.20000,22.10000,-147.20000
2018-12-31,410.57300,78.87600,27.83000,106.70600,-23.41900,-23.03100,-1.22000,2.61100,-37.93400,479.34500,-55.72600,-4.00000,-20.20500,,,-1.50000,-81.43100,-11.28400,,-11.28400,-146.28700,-146.28700,-127.47800,-4.96200,-290.01100,90.45700,24.75400,-127.47800
2017-12-31,337.25700,85.53600,-11.64000,73.89600,-15.80300,0.76000,12.55600,4.37700,21.60000,432.75300,-37.84700,,-16.36600,,,-0.53300,-54.74600,-167.61800,,-167.61800,-6.13900,-6.13900,-111.17200,7.50800,-277.42100,139.98600,24.40500,-111.17200
2016-12-31,271.10900,88.18700,35.89800,124.08500,0.30200,32.74700,0.07300,-22.92900,4.72300,399.91700,-38.19300,,-470.93700,,,-0.06900,-509.19900,-320.12500,501.52900,181.40400,-27.03200,-27.03200,-102.65000,-5.17400,46.54800,-92.05400,20.32600,-102.65000
2015-12-31,282.80700,79.73200,4.08500,83.81700,8.83200,4.55700,-2.82800,-0.19200,-6.30300,360.32100,-42.88200,,-167.33600,,,-0.27300,-210.49100,-8.01800,,-8.01800,-191.60500,-191.60500,-96.17200,0.26700,-295.52800,-181.11900,20.04800,-96.17200
2014-12-31,279.38600,78.63000,15.19400,93.82400,-11.11000,-7.82100,-2.46600,-7.61200,-5.24900,367.96100,-46.53700,,-25.44300,,,-0.28000,-72.26000,165.01400,-61.95100,103.06300,-202.73200,-202.73200,-85.72600,1.32300,-184.07200,69.50800,20.71700,-85.72600
2013-12-31,255.21500,81.03700,15.35800,96.39500,6.19500,9.08800,15.46000,7.37900,49.91200,401.52200,-30.96900,,-36.84900,,,-0.34400,-68.16200,-16.37700,,-16.37700,-132.19700,-132.19700,-72.90500,2.43400,-219.04500,120.76500,16.99300,-72.90500
2012-12-31,37.63000,79.99700,177.55500,257.55200,12.74700,23.79900,-1.37600,-14.11600,30.99800,326.18000,-35.80700,,-68.93000,,,-0.52900,-105.26600,-29.34600,,-29.34600,-43.79200,-43.79200,-64.08700,0.74000,-136.48500,88.60500,13.10200,-64.08700
2011-12-31,193.85700,73.64900,-34.76600,38.88300,-16.48800,-0.60700,-8.64500,2.83000,-15.49900,217.24100,-22.52400,,-443.63400,,,-3.37900,-469.53700,820.34700,-541.11500,279.23200,33.06400,33.06400,-54.61300,-4.27100,253.41200,-4.87700,12.07600,-54.61300
2010-12-31,157.10000,58.65500,-24.39300,34.26200,-22.16200,-26.65100,21.43200,2.55500,-6.88500,184.47700,-31.02000,,-91.28600,,,,-122.30600,395.18900,-270.08100,125.10800,18.05700,18.05700,-46.33400,-1.31000,95.52100,161.61000,17.35800,-46.33400
2009-12-31,113.39100,56.65400,14.47600,71.13000,26.06900,23.14900,-16.31000,9.39700,28.01100,212.53200,-21.47700,,,,,1.86000,-19.61700,,-155.49000,-155.49000,7.69400,7.69400,-38.63700,1.44900,-184.98400,12.17300,15.71000,-38.63700
