,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,796.00000,477.00000,-311.00000,166.00000,93.00000,-430.00000,60.00000,290.00000,13.00000,975.00000,-624.00000,997.00000,,,19.00000,392.00000,-250.00000,326.00000,76.00000,-1002.00000,-1002.00000,-381.00000,-14.00000,-1321.00000,34.00000,-381.00000
2021-12-31,867.00000,538.00000,241.00000,779.00000,-281.00000,-389.00000,554.00000,89.00000,-27.00000,1619.00000,-578.00000,553.00000,,,-4.00000,-29.00000,-300.00000,-50.00000,-350.00000,-1000.00000,-1000.00000,-375.00000,35.00000,-1690.00000,-105.00000,-375.00000
2020-12-31,489.00000,574.00000,227.00000,801.00000,-31.00000,291.00000,-100.00000,5.00000,165.00000,1455.00000,-396.00000,-1.00000,,,3.00000,-394.00000,-186.00000,-121.00000,-307.00000,-60.00000,-60.00000,-358.00000,21.00000,-704.00000,360.00000,-358.00000
2019-12-31,762.00000,611.00000,157.00000,768.00000,170.00000,-80.00000,-27.00000,-89.00000,-26.00000,1504.00000,-431.00000,-48.00000,,,-1.00000,-480.00000,-300.00000,-70.00000,-370.00000,-325.00000,-325.00000,-343.00000,-5.00000,-1043.00000,-22.00000,-343.00000
2018-12-31,1084.00000,604.00000,-72.00000,532.00000,16.00000,-224.00000,90.00000,45.00000,-73.00000,1543.00000,-523.00000,-3.00000,,,63.00000,-463.00000,-170.00000,-146.00000,-316.00000,-400.00000,-400.00000,-318.00000,-6.00000,-1040.00000,35.00000,-318.00000
2017-12-31,1388.00000,587.00000,-461.00000,126.00000,-53.00000,-71.00000,123.00000,144.00000,143.00000,1657.00000,-635.00000,-4.00000,,,-4.00000,-643.00000,-350.00000,-19.00000,-369.00000,-350.00000,-350.00000,-296.00000,9.00000,-1006.00000,10.00000,-296.00000
2016-12-31,859.00000,580.00000,39.00000,619.00000,-29.00000,54.00000,7.00000,-125.00000,-93.00000,1385.00000,-585.00000,-26.00000,,,-44.00000,-655.00000,-278.00000,-150.00000,-428.00000,-145.00000,-145.00000,-280.00000,15.00000,-838.00000,-112.00000,-280.00000
2015-12-31,854.00000,571.00000,183.00000,754.00000,114.00000,-26.00000,-102.00000,30.00000,16.00000,1624.00000,-648.00000,-45.00000,,,,-693.00000,-700.00000,195.00000,-505.00000,-95.00000,-95.00000,-244.00000,,-844.00000,79.00000,-244.00000
2014-12-31,757.00000,450.00000,301.00000,751.00000,19.00000,-61.00000,-30.00000,-3.00000,-75.00000,1433.00000,-580.00000,-3509.00000,,,-2.00000,-4091.00000,3440.00000,-190.00000,3250.00000,-392.00000,-392.00000,-219.00000,,2639.00000,-23.00000,-219.00000
2013-12-31,1172.00000,433.00000,-91.00000,342.00000,-38.00000,-6.00000,-2.00000,-171.00000,-217.00000,1297.00000,-483.00000,,31.00000,31.00000,-5.00000,-457.00000,-955.00000,425.00000,-530.00000,-179.00000,-179.00000,-150.00000,,-859.00000,-12.00000,-150.00000
2012-12-31,444.00000,360.00000,270.00000,630.00000,48.00000,38.00000,10.00000,-42.00000,54.00000,1128.00000,-470.00000,-2669.00000,7.00000,7.00000,170.00000,-2962.00000,1645.00000,-1.00000,1644.00000,56.00000,56.00000,-196.00000,,1504.00000,-328.00000,-196.00000
2011-12-31,647.00000,273.00000,-33.00000,240.00000,-73.00000,-156.00000,-51.00000,18.00000,-262.00000,625.00000,-466.00000,-156.00000,451.00000,451.00000,29.00000,-142.00000,-38.00000,1.00000,-37.00000,-247.00000,-247.00000,-139.00000,,-423.00000,61.00000,-139.00000
2010-12-31,427.00000,280.00000,219.00000,499.00000,-358.00000,-160.00000,152.00000,15.00000,-351.00000,575.00000,-250.00000,-190.00000,0.00000,,-2.00000,-442.00000,-124.00000,2.00000,-122.00000,-162.00000,-162.00000,-127.00000,,-411.00000,-277.00000,-127.00000
2009-12-31,136.00000,274.00000,364.00000,638.00000,2.00000,100.00000,16.00000,-134.00000,-16.00000,758.00000,-288.00000,-68.00000,0.00000,,-13.00000,-369.00000,147.00000,3.00000,150.00000,-4.00000,-4.00000,-128.00000,,18.00000,406.00000,-128.00000
