,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,8362.00000,379.00000,-305.00000,74.00000,1790.00000,492.00000,240.00000,-5761.00000,-3455.00000,4981.00000,-400.00000,-4776.00000,-4776.00000,,-5176.00000,-184.00000,-184.00000,-3264.00000,-3264.00000,,,-3448.00000,-3643.00000,226.00000
2021-12-31,12202.00000,286.00000,-176.00000,110.00000,-1784.00000,-1394.00000,204.00000,2417.00000,1308.00000,13620.00000,-284.00000,-8239.00000,-8239.00000,,-8523.00000,-140.00000,-140.00000,-733.00000,-733.00000,,,-873.00000,4224.00000,142.00000
2020-12-31,-747.00000,41.00000,155.00000,196.00000,-1385.00000,-47.00000,12.00000,3610.00000,2578.00000,2027.00000,-68.00000,-1604.00000,-1604.00000,,-1672.00000,-6.00000,-6.00000,2039.00000,2039.00000,,,2033.00000,2388.00000,93.00000
2019-12-31,-514.00000,27.00000,81.00000,108.00000,7.00000,,-24.00000,-33.00000,-53.00000,-459.00000,-32.00000,17.00000,17.00000,,-15.00000,1.00000,1.00000,51.00000,51.00000,,,52.00000,-422.00000,81.00000
2018-12-31,-384.73400,22.99600,73.45600,96.45200,0.83200,,15.01700,-67.21900,-42.58300,-330.86500,-105.76600,-267.32800,-267.32800,,-373.09400,-2.17500,-2.17500,564.45300,1217.38200,,11.63500,1226.84200,522.88300,72.56500
2017-12-31,-255.91600,21.62300,40.05500,61.67800,0.10600,,-12.76600,-158.95500,-137.24600,-331.48400,-58.40100,475.76500,475.76500,,417.36400,-1.28500,-1.28500,0.21200,0.21200,-1.48300,2.72400,0.16800,86.04800,40.05500
2016-12-31,-216.21100,17.59200,39.36000,56.95200,52.33700,,5.99300,162.04700,225.99300,66.73400,-33.14400,-606.56100,-606.56100,-8.90200,-648.60700,,,0.01100,473.54300,-0.63300,,472.91000,-108.96300,39.36000
