,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2290.00000,569.00000,-12.00000,557.00000,-238.00000,-11.00000,-75.00000,-324.00000,2568.00000,-332.00000,-339.00000,477.00000,88.00000,565.00000,-106.00000,-36.00000,-36.00000,-1336.00000,-1336.00000,-564.00000,-3.00000,-1939.00000,502.00000,261.00000,-564.00000
2021-12-31,2137.00000,574.00000,273.00000,847.00000,-407.00000,-35.00000,-46.00000,-488.00000,2495.00000,-279.00000,-970.00000,-605.00000,-310.00000,-915.00000,-2164.00000,-53.00000,-53.00000,-641.00000,-641.00000,-509.00000,,-1203.00000,-888.00000,246.00000,-509.00000
2020-12-31,1392.00000,559.00000,416.00000,975.00000,264.00000,109.00000,440.00000,813.00000,3299.00000,-398.00000,-1123.00000,283.00000,,283.00000,-1238.00000,-50.00000,-50.00000,-1479.00000,-1479.00000,-480.00000,,-2009.00000,35.00000,232.00000,-480.00000
2019-12-31,1842.00000,526.00000,-89.00000,437.00000,37.00000,8.00000,56.00000,101.00000,2499.00000,-392.00000,-617.00000,823.00000,1774.00000,2597.00000,1588.00000,-28.00000,-28.00000,-2088.00000,-2088.00000,-453.00000,,-2569.00000,1484.00000,217.00000,-453.00000
2018-12-31,2101.00000,498.00000,275.00000,773.00000,-365.00000,-4.00000,-38.00000,-407.00000,2592.00000,-377.00000,-1111.00000,-347.00000,208.00000,-139.00000,-1627.00000,-66.00000,-141.00000,-1080.00000,-1080.00000,-468.00000,-4.00000,-1693.00000,-764.00000,267.00000,-468.00000
2017-12-31,1504.00000,443.00000,345.00000,788.00000,-249.00000,16.00000,419.00000,186.00000,2407.00000,-284.00000,-216.00000,-366.00000,284.00000,-82.00000,-582.00000,-95.00000,-20.00000,-1700.00000,-1700.00000,-265.00000,,-1985.00000,-109.00000,221.00000,-265.00000
2016-12-31,1553.00000,379.00000,138.00000,517.00000,-330.00000,6.00000,-147.00000,-471.00000,1645.00000,-300.00000,-334.00000,-80.00000,-249.00000,-329.00000,-963.00000,-57.00000,-407.00000,-336.00000,-336.00000,,,-743.00000,-91.00000,217.00000,0.00000
2015-12-31,1624.00000,330.00000,76.00000,406.00000,-322.00000,19.00000,411.00000,108.00000,2187.00000,-273.00000,-2.00000,-336.00000,-760.00000,-1096.00000,-1371.00000,-53.00000,-353.00000,-329.00000,-329.00000,,,-682.00000,115.00000,192.00000,0.00000
2014-12-31,1439.00000,208.00000,16.00000,224.00000,-259.00000,26.00000,12.00000,-221.00000,1473.00000,-212.00000,-2691.00000,-258.00000,,-258.00000,-3161.00000,985.00000,1635.00000,-147.00000,-147.00000,,15.00000,1503.00000,-203.00000,135.00000,
2013-12-31,1228.60000,179.90000,3.60000,183.50000,-258.50000,-12.10000,229.70000,-40.90000,1423.80000,-261.60000,-193.80000,-275.40010,,-275.40010,-730.80000,,,-61.50000,-61.50000,,30.60000,-30.90000,642.90000,118.80000,
2012-12-31,1051.26300,156.58800,-53.85000,102.73800,-158.60300,32.77300,141.91300,16.08300,1172.58300,-334.46500,-59.89400,-175.68710,,-175.68710,-570.04600,,,-391.36100,-391.36100,,48.37300,-342.98800,259.17100,107.35500,
2011-12-31,883.61800,124.17500,47.07400,171.24900,-284.16700,-8.59300,67.00900,-225.75100,875.15200,-288.22100,-82.80000,-479.25990,,-479.25990,-850.28100,,,-294.59600,-294.59600,,39.14100,-255.45500,-230.06300,90.23200,
2010-12-31,733.54000,110.17200,-60.89400,49.27800,-278.41800,18.59700,-99.64300,-10.56600,764.65400,-185.51200,-33.86300,-227.51500,,-227.51500,-446.89000,,,48.08400,48.08400,,71.91900,120.00300,440.03900,56.98400,
2009-12-31,534.96300,89.37100,-9.98200,79.38900,-98.45100,6.67500,155.85000,64.07400,672.32500,-76.63900,-68.61300,-249.51200,,-249.51200,-394.76400,,,45.39200,45.39200,,31.55600,76.94800,365.86400,44.81600,
