,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,160.56800,1336.90900,-28.18900,1308.72000,-191.43700,-140.58000,1328.70800,-3214.27700,,,104.01200,104.01200,-593.55000,-3703.81500,371.30000,371.30000,3667.85400,3667.85400,-1131.52700,-146.35000,2761.27700,375.53700,26.14900,-1131.52700
2021-12-31,374.47900,1053.17800,-107.76900,945.40910,-122.11700,-44.56300,1275.32500,-3714.40300,,,-646.66990,-646.66990,-155.19500,-4516.26800,320.75990,320.75990,2348.20100,2348.20100,-1035.90600,-65.39100,1567.66400,-1674.28800,17.81200,-1035.90600
2020-12-31,1038.85200,1049.78000,-692.05700,357.72310,-54.58300,-31.81900,1364.75600,2949.94700,,,-229.31400,-229.31400,-372.70500,2347.92800,-1198.23600,-1198.23600,587.65700,587.65700,-1119.23200,-351.04700,-2080.85800,1635.27700,28.31800,-1119.23200
2019-12-31,1330.41000,1043.22400,-745.18010,298.04400,-63.41800,-92.48600,1535.96800,-1961.34500,,,-0.49200,-0.49200,-86.95400,-2048.79100,1139.12900,1139.12900,1056.12500,1056.12500,-1400.71200,-217.39200,577.15000,69.63700,25.04700,-1400.71200
2018-12-31,829.75000,970.06700,-292.46400,677.60290,5.82900,76.59100,1583.94400,-2445.37900,,,157.28600,157.28600,-98.37800,-2386.47100,1484.78200,1484.78200,789.57500,789.57500,-1348.86300,-107.12600,818.36800,6.82600,27.64600,-1348.86300
2017-12-31,540.61300,938.59800,-95.33100,843.26690,23.48600,50.29700,1434.17700,895.02310,-805.26400,,166.48300,166.48300,-101.66100,154.58100,-826.07400,-826.07400,621.98700,334.48700,-1325.61700,-96.32300,-1913.52700,-297.91700,19.10200,-1325.61700
2016-12-31,1082.07000,910.38600,-349.65300,560.73300,-18.03700,-3.73900,1639.06400,-417.58280,,,228.01500,228.01500,6.12500,-183.44300,-466.04700,-466.04700,534.19400,534.19400,-1298.92500,-20.03900,-1250.81700,184.53000,28.86900,-1298.92500
2015-12-31,888.54900,835.24900,-332.70900,502.53990,0.47800,-8.49000,1382.59900,-2961.43600,,,-360.53200,-360.53200,-180.10700,-3502.07500,1382.89900,1382.89900,1755.72200,1755.72200,-1210.13300,68.83000,1997.31800,-130.73300,30.84400,-1210.13300
2014-12-31,512.30000,851.84000,-151.45000,700.39010,-25.63900,-74.02000,1138.67000,-1630.19600,,-6.07200,-86.44200,-92.51400,-403.49600,-2126.20600,46.46800,46.46800,2343.86800,2343.86800,-1035.06900,-52.09500,1303.17200,314.94600,32.07500,-1035.06900
2013-12-31,138.28000,882.51700,-52.28600,830.23100,-47.57100,19.98600,988.49700,-3499.32400,,79.95700,-20.97600,58.98100,-91.25000,-3531.59300,783.67200,783.67200,1854.63700,1854.63700,-906.27500,-64.36400,1667.67000,-874.98400,20.17700,-906.27500
2012-12-31,294.84000,548.93500,-45.57000,503.36500,-18.28500,19.92800,818.13300,-2734.84000,,-35.76600,-623.42200,-659.18800,-198.95100,-3592.97900,796.39200,796.39200,3581.29200,3583.97900,-722.45000,-12.79300,3645.12800,870.28200,18.52100,-722.45000
2011-12-31,212.71600,437.94900,-68.35000,369.59900,-4.74400,5.90900,588.22400,-4657.91200,,30.24800,137.33400,167.58200,-29.79900,-4520.12900,1726.11500,1726.11500,2137.59400,2834.03100,-544.24800,-52.08100,3963.81700,31.91200,10.78600,-544.24800
2010-12-31,128.88400,216.85600,27.24300,244.09900,-20.53500,-8.24200,364.74100,-1855.14900,,-52.12400,-53.77000,-105.89400,-350.99600,-2312.03900,1422.73600,1422.73600,995.43800,995.43800,-370.22300,-4.55900,2043.39200,96.09400,11.82300,-370.22300
2009-12-31,192.92700,178.62200,46.08900,224.71100,-36.06800,-36.37900,381.25900,-374.95200,,130.83300,37.36200,168.19500,-63.30300,-270.06000,-462.50700,-462.50700,704.53300,704.53300,-333.83900,-7.28000,-99.09300,12.10600,9.63300,-333.83900
