,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1386.00000,1452.00000,-105.00000,1347.00000,113.00000,-522.00000,349.00000,-78.00000,-138.00000,2615.00000,-1604.00000,76.00000,,-38.00000,-38.00000,211.00000,-1355.00000,127.00000,-87.00000,40.00000,-181.00000,-688.00000,-932.00000,-69.00000,-1649.00000,-477.00000,175.00000,-932.00000
2021-12-31,1935.00000,1481.00000,-234.00000,1247.00000,-54.00000,-103.00000,772.00000,-312.00000,303.00000,3412.00000,-1620.00000,103.00000,,84.00000,84.00000,14.00000,-1419.00000,-694.00000,-144.00000,-838.00000,-177.00000,-684.00000,-871.00000,-59.00000,-2452.00000,-524.00000,190.00000,-871.00000
2020-12-31,523.00000,1520.00000,-321.00000,1199.00000,-274.00000,423.00000,190.00000,33.00000,372.00000,2180.00000,-1340.00000,,,-28.00000,-28.00000,58.00000,-1310.00000,122.00000,-100.00000,22.00000,19.00000,19.00000,-787.00000,17.00000,-729.00000,238.00000,207.00000,-787.00000
2019-12-31,960.00000,1503.00000,-63.00000,1440.00000,48.00000,-298.00000,31.00000,-150.00000,-369.00000,2031.00000,-1900.00000,,,-26.00000,-26.00000,35.00000,-1891.00000,1531.00000,,1531.00000,-882.00000,-882.00000,-742.00000,46.00000,-47.00000,79.00000,56.00000,-742.00000
2018-12-31,1066.00000,1293.00000,616.00000,1909.00000,-154.00000,-346.00000,345.00000,99.00000,-56.00000,2919.00000,-2291.00000,-842.00000,,,,246.00000,-2887.00000,1485.00000,-629.00000,856.00000,-2146.00000,-2146.00000,-685.00000,-20.00000,-1995.00000,-1962.00000,51.00000,-685.00000
2017-12-31,-497.00000,1158.00000,1668.00000,2826.00000,-225.00000,-170.00000,169.00000,-99.00000,-325.00000,2004.00000,-1804.00000,-171.00000,,,,265.00000,-1710.00000,1445.00000,-252.00000,1193.00000,-2143.00000,-2143.00000,-651.00000,-23.00000,-1624.00000,-974.00000,46.00000,-651.00000
2016-12-31,3695.00000,1195.00000,-2472.00000,-1277.00000,-106.00000,-68.00000,259.00000,34.00000,119.00000,2537.00000,-1130.00000,-333.00000,101.00000,4818.00000,4919.00000,206.00000,3662.00000,,-566.00000,-566.00000,-4089.00000,-4089.00000,-645.00000,-22.00000,-5322.00000,791.00000,,-645.00000
2015-12-31,1339.00000,1184.00000,283.00000,1467.00000,162.00000,-77.00000,-126.00000,64.00000,23.00000,2829.00000,-1250.00000,-720.00000,660.00000,,660.00000,625.00000,-685.00000,1220.00000,-9.00000,1211.00000,-3126.00000,-3126.00000,-679.00000,-29.00000,-2623.00000,-809.00000,,-679.00000
2014-12-31,2472.00000,1200.00000,901.00000,2101.00000,-16.00000,2.00000,-3.00000,153.00000,136.00000,4709.00000,-1076.00000,66.00000,-231.00000,-109.00000,-340.00000,388.00000,-962.00000,-6.00000,-23.00000,-29.00000,-2367.00000,-1967.00000,-591.00000,1.00000,-2586.00000,605.00000,58.00000,-591.00000
2013-12-31,1961.00000,1002.00000,71.00000,1073.00000,-29.00000,-247.00000,-23.00000,52.00000,-247.00000,2787.00000,-1019.00000,-68.00000,620.00000,-526.00000,94.00000,-11.00000,-1004.00000,-257.00000,-71.00000,-328.00000,-1431.00000,-1431.00000,-566.00000,262.00000,-2063.00000,-284.00000,54.00000,-566.00000
2012-12-31,1636.00000,997.00000,931.00000,1928.00000,-272.00000,-23.00000,189.00000,-252.00000,-358.00000,3206.00000,-1801.00000,-723.00000,-1.00000,-111.00000,-112.00000,8.00000,-2628.00000,1081.00000,-26.00000,1055.00000,-682.00000,-682.00000,-472.00000,-16.00000,-115.00000,327.00000,70.00000,-472.00000
2011-12-31,2817.00000,957.00000,-217.00000,740.00000,-84.00000,-201.00000,-27.00000,-122.00000,-434.00000,3189.00000,-2432.00000,-213.00000,589.00000,,589.00000,,-2056.00000,88.00000,-24.00000,64.00000,-690.00000,-690.00000,-354.00000,,-980.00000,63.00000,86.00000,-354.00000
2010-12-31,3558.00000,854.00000,-457.00000,397.00000,-162.00000,-160.00000,192.00000,10.00000,-120.00000,3835.00000,-1006.00000,-63.00000,-707.00000,,-707.00000,7.00000,-1769.00000,316.00000,-75.00000,241.00000,70.00000,70.00000,-313.00000,,-2.00000,2057.00000,92.00000,-313.00000
2009-12-31,2008.00000,792.00000,-875.00000,-83.00000,-201.00000,238.00000,56.00000,59.00000,152.00000,2077.00000,-869.00000,-410.00000,-91.00000,,-91.00000,,-1370.00000,336.00000,-86.00000,250.00000,44.00000,44.00000,-312.00000,3.00000,-15.00000,668.00000,127.00000,-312.00000
