,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,917.00000,212.00000,181.00000,393.00000,-123.00000,-220.00000,-237.00000,-51.00000,-452.00000,858.00000,-189.00000,-124.00000,-107.00000,-420.00000,-108.00000,,-108.00000,-290.00000,-35.00000,-433.00000,-31.00000,75.00000,-290.00000
2021-12-31,1351.00000,195.00000,-88.00000,107.00000,-277.00000,-138.00000,663.00000,244.00000,702.00000,2160.00000,-185.00000,-192.00000,-104.00000,-481.00000,9358.00000,-1512.00000,7846.00000,-145.00000,-8678.00000,-977.00000,725.00000,59.00000,-145.00000
2020-12-31,2256.00000,142.00000,3.00000,145.00000,13.00000,34.00000,37.00000,-95.00000,-117.00000,2284.00000,-250.00000,,,-250.00000,,1512.00000,1512.00000,,-3534.00000,-2022.00000,12.00000,40.00000,
2019-12-31,3306.00000,333.00000,53.00000,386.00000,200.00000,-91.00000,-35.00000,-70.00000,-672.00000,3020.00000,-88.00000,0.00000,,-88.00000,,,,,-2932.00000,-2932.00000,75.00000,41.00000,
2018-12-31,2153.00000,1673.00000,35.00000,1708.00000,250.00000,44.00000,20.00000,-152.00000,-174.00000,3687.00000,-69.00000,,,-69.00000,18.00000,41.00000,59.00000,,-4223.00000,-4164.00000,-527.00000,56.00000,
