,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,4491.92400,14362.81000,-16249.70000,-1886.89000,-158.54300,-364.72100,-578.77700,2026.25700,-407.72900,,-757.38700,-911.27600,,-911.27600,,-2076.39200,-700.00000,-700.00000,35.74600,35.74600,,-664.25400,-884.52900,575.45200
2021-12-31,5116.22800,12438.78000,-17153.32000,-4714.53900,145.11500,-334.53200,-9.07900,392.61000,-524.58500,,-788.34900,,,,-26.91900,-1339.85300,-500.00000,-500.00000,-425.60800,-425.60800,-224.16800,-1149.77600,-2183.75900,403.22000
2020-12-31,2761.39500,10922.62000,-10467.63000,454.98830,-41.60500,-945.88400,-789.30600,2427.07700,-497.92300,,,,,,-7.43100,-505.35400,1009.46400,1009.46400,235.40600,235.40600,-7.55900,1237.31100,3195.08400,415.18000
2019-12-31,1866.91600,9319.82600,-14117.11000,-4797.28100,96.06300,-210.79800,43.04300,-2887.32200,-253.03500,,,,,,-134.02900,-387.06400,4469.30600,4469.30600,72.49000,72.49000,-36.13400,4505.66200,1231.74500,405.37600
2018-12-31,1211.24200,7615.24500,-11800.73000,-4185.48800,199.19800,-55.85300,293.76700,-2680.47900,-173.94600,,,,,,-165.17400,-339.12000,3961.85200,3961.85200,124.50200,124.50200,-37.82700,4048.52700,989.24600,320.65700
2017-12-31,558.92900,6269.72800,-8673.58200,-2403.85400,74.55900,-129.91900,58.97700,-1785.94800,-173.30200,,,268.04000,,268.04000,-60.40900,34.32900,3020.51000,3020.51000,88.37800,88.37800,-31.89800,3076.99000,1355.21900,182.20900
2016-12-31,186.67800,4924.97800,-6778.02000,-1853.04200,32.24700,91.42700,192.38000,-1473.98400,-107.65300,-77.17700,,235.53600,,235.53600,-0.94100,49.76500,1000.00000,1000.00000,36.97900,36.97900,54.65100,1091.63000,-341.75400,173.67500
2015-12-31,122.64100,3547.04500,-4592.01200,-1044.96700,51.61500,72.46200,172.88700,-749.43900,-91.24800,-77.95800,,-8.07400,,-8.07400,-1.91200,-179.19200,1500.00000,1500.00000,77.98000,77.98000,62.29700,1640.27700,695.72200,124.72500
2014-12-31,266.79900,2781.79800,-3168.77700,-386.97880,83.81200,-2.78500,136.66300,16.48300,-69.72600,-74.79000,,100.31600,,100.31600,1.33400,-42.86600,400.00000,400.00000,60.54400,60.54400,81.16800,541.71200,508.64300,115.23900
2013-12-31,112.40300,2241.68000,-2357.06200,-115.38210,18.37400,80.49500,100.81000,97.83100,-54.14300,-65.92700,,-141.83700,,-141.83700,5.93900,-255.96800,279.45800,279.45800,124.55700,124.55700,72.24900,476.26400,314.67400,73.10000
2012-12-31,17.15200,1702.08300,-1722.47500,-20.39200,-4.94300,19.96300,24.82600,21.58600,-40.27800,-48.27500,,-165.00300,,-165.00300,8.81600,-244.74000,-2.31900,-2.31900,3.66000,3.66000,4.24800,5.58900,-217.76200,73.94800
2011-12-31,226.12600,839.61900,-863.62590,-24.00680,23.96800,26.06500,115.59300,317.71200,-49.68200,-85.15400,,-134.65200,,-134.65200,3.67400,-265.81400,195.97700,195.97700,19.89500,19.89500,45.78400,261.65600,313.55400,61.58200
2010-12-31,160.85300,338.69500,-282.28700,56.40800,19.21400,-25.77200,59.14000,276.40100,-33.83700,-123.90100,,29.31300,,29.31300,12.34400,-116.08100,-1.77600,-1.77600,-160.48300,-160.48300,62.21400,-100.04500,60.27500,27.99600
2009-12-31,115.86000,257.53400,-70.91200,186.62200,1.53700,7.87500,22.58100,325.06300,-45.93200,-193.04400,,-25.62100,7.48300,-18.13800,11.03500,-246.07900,191.73700,191.73700,-289.06100,-289.06100,12.68300,-84.64100,-5.65700,12.61800
