,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1182.70100,347.81900,-62.52500,285.29400,-244.37100,-380.42000,676.40600,-71.01600,-19.40100,1466.97100,-194.62500,-1648.05600,158.44100,-1684.24000,960.86820,,960.86820,-240.10300,-240.10300,-495.91700,-19.74700,205.10100,-61.23800,38.05800,-495.91700
2021-12-31,898.79000,290.97100,57.27300,348.24400,-258.99400,-329.23700,777.31800,-200.41100,-11.32400,1258.28500,-239.58700,-266.57700,,-506.16400,-160.72900,,-160.72900,-355.94500,-355.94500,-465.64900,-7.20900,-989.53200,-275.46500,25.59700,-465.64900
2020-12-31,-29.10200,779.56300,187.39600,966.95900,957.51400,58.46200,89.35000,-51.90900,1053.41700,2014.52200,-135.43800,318.20600,,182.76800,-895.00320,,-895.00320,-100.33500,-100.33500,-453.27700,-65.15000,-1513.76500,713.17400,22.62100,-453.27700
2019-12-31,621.08500,257.26300,-10.72800,246.53500,-134.16300,-54.76500,82.73900,88.67700,-17.51200,832.51900,-253.48600,-290.10900,,-543.59500,139.39890,,139.39890,-85.60000,-85.60000,-438.89000,-0.87100,-385.96200,-56.55500,28.70300,-438.89000
2018-12-31,810.47400,227.58400,-45.84200,181.74200,-62.10300,-74.14800,357.09700,-157.98800,62.85800,1056.72200,-212.11500,-257.82300,,-469.93800,-59.97410,,-59.97410,-102.21000,-102.21000,-415.98300,-30.66300,-608.83000,18.64800,17.73700,-415.98300
2017-12-31,616.75700,167.69100,79.74800,247.43900,-19.27300,-9.92300,61.47400,-63.39100,-31.11300,815.04300,-135.48500,-1494.79500,,-1630.28000,1446.29700,,1446.29700,-178.76300,-178.76300,-395.47500,,872.05900,72.02000,16.89200,-395.47500
2016-12-31,687.24000,147.48700,25.68700,173.17400,-53.54400,-64.21400,240.71700,-37.29500,85.66400,946.07800,-131.83200,-462.16700,,-593.99900,250.00000,,250.00000,-197.56400,-197.56400,-386.86300,12.02100,-322.40600,31.24800,19.71900,-386.86300
2015-12-31,705.67200,141.67500,43.04800,184.72300,1.97400,-21.82100,331.41900,-42.59400,268.97800,1159.37300,-100.92600,-162.70100,,-263.62700,-142.96680,,-142.96680,-301.84700,-301.84700,-368.28400,7.02400,-806.07400,73.90100,17.71700,-368.28400
2014-12-31,711.28600,148.31300,49.07300,197.38600,-225.17800,-100.82000,292.25700,-84.78600,-118.52700,790.14500,-98.81500,-287.90000,,-386.71500,-7.93800,,-7.93800,-117.99700,-117.99700,-347.27100,17.76600,-455.44000,-59.16300,16.23900,-347.27100
2013-12-31,684.95900,133.95700,-85.60800,48.34900,-116.08000,-79.25300,473.42400,45.33200,323.42300,1056.73100,-113.40600,-712.17300,,-825.57900,24.59600,,24.59600,-136.40100,-136.40100,-326.21700,12.90500,-425.11700,-206.20200,12.64800,-326.21700
2012-12-31,648.04100,98.38300,10.53700,108.92000,13.36600,-25.84500,220.69400,-58.73800,149.47700,906.43800,-93.48300,-558.38400,,-651.86700,,,,-88.86900,-88.86900,-300.98300,11.01800,-378.83400,-121.95900,10.74700,-300.98300
2011-12-31,565.11600,88.93600,-3.15800,85.77800,-85.01100,-19.62400,85.76600,-7.09800,-25.96700,624.92700,-94.56100,-136.93600,,-231.49700,,,,-123.12700,-123.12700,-276.36900,5.35600,-394.14000,-4.91400,7.54700,-276.36900
2010-12-31,475.51100,89.33200,14.07400,103.40600,-140.56200,44.86500,280.73900,-85.29600,99.74600,678.66300,-81.70300,-90.64500,,-172.34800,,,,-65.92200,-65.92200,-257.89800,3.25100,-320.56900,193.16500,7.01600,-257.89800
2009-12-31,399.57500,90.41100,33.40400,123.81500,69.25800,194.74300,49.94700,7.96000,321.90800,845.29800,-130.21700,-134.20300,,-264.42000,,-52.00000,-52.00000,-24.14100,-24.14100,-253.55800,-0.68400,-330.38300,269.02600,8.57800,-253.55800
