,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4925.00000,13821.00000,10571.00000,24392.00000,-1327.00000,-2074.00000,-2904.00000,26413.00000,-10956.00000,-3141.00000,1973.00000,-2274.00000,-2274.00000,258.00000,-14140.00000,438.00000,660.00000,1098.00000,-13328.00000,-13328.00000,-4741.00000,786.00000,-16184.00000,-3997.00000,1336.00000,-4741.00000
2021-12-31,13833.00000,13804.00000,2378.00000,16182.00000,-1335.00000,-298.00000,-868.00000,29146.00000,-10150.00000,-2883.00000,-690.00000,-174.00000,-174.00000,451.00000,-13446.00000,-8870.00000,,-8870.00000,-4672.00000,-4672.00000,-4532.00000,-544.00000,-18618.00000,-2989.00000,1315.00000,-4532.00000
2020-12-31,10701.00000,13100.00000,370.00000,13470.00000,-20.00000,852.00000,566.00000,24737.00000,-10677.00000,-2914.00000,2106.00000,-812.00000,-812.00000,250.00000,-12047.00000,-133.00000,,-133.00000,-534.00000,-534.00000,-4140.00000,-1706.00000,-6513.00000,6179.00000,1193.00000,-4140.00000
2019-12-31,13323.00000,12953.00000,1981.00000,14934.00000,-57.00000,-2156.00000,-2560.00000,25697.00000,-11069.00000,-2475.00000,516.00000,-1899.00000,-1899.00000,86.00000,-14841.00000,-3700.00000,-1288.00000,-4988.00000,-504.00000,-504.00000,-3735.00000,46.00000,-9181.00000,1680.00000,1021.00000,-3735.00000
2018-12-31,11862.00000,10676.00000,2056.00000,12732.00000,-802.00000,899.00000,-297.00000,24297.00000,-10234.00000,-1935.00000,-38078.00000,-1257.00000,-1257.00000,650.00000,-50854.00000,35983.00000,379.00000,36362.00000,-5320.00000,-5320.00000,-3352.00000,-550.00000,27140.00000,338.00000,826.00000,-3352.00000
2017-12-31,22922.00000,9688.00000,-9817.00000,-129.00000,-869.00000,-836.00000,-1532.00000,21261.00000,-10039.00000,-1605.00000,-382.00000,-2292.00000,-2292.00000,785.00000,-13533.00000,5102.00000,-1905.00000,3197.00000,-5435.00000,-5435.00000,-2883.00000,-2451.00000,-7572.00000,156.00000,751.00000,-2883.00000
2016-12-31,9028.00000,9426.00000,2323.00000,11749.00000,-649.00000,-815.00000,-1086.00000,19691.00000,-9585.00000,-1552.00000,-3929.00000,-1479.00000,-1479.00000,-1720.00000,-18265.00000,6179.00000,1790.00000,7969.00000,-5329.00000,-5329.00000,-2601.00000,-473.00000,-434.00000,992.00000,640.00000,-2601.00000
2015-12-31,8413.00000,8680.00000,1905.00000,10585.00000,-708.00000,811.00000,487.00000,19485.00000,-8677.00000,-1370.00000,-1353.00000,-784.00000,-784.00000,220.00000,-11964.00000,1108.00000,135.00000,1243.00000,-7139.00000,-7139.00000,-2437.00000,-803.00000,-9136.00000,-1615.00000,567.00000,-2437.00000
2014-12-31,8592.00000,8019.00000,1869.00000,9888.00000,-33.00000,-1655.00000,-1535.00000,16945.00000,-7463.00000,-1122.00000,189.00000,-191.00000,-191.00000,-146.00000,-8733.00000,1007.00000,-504.00000,503.00000,-4216.00000,-4216.00000,-2254.00000,-53.00000,-6020.00000,2192.00000,513.00000,-2254.00000
2013-12-31,7135.00000,7871.00000,639.00000,8510.00000,-721.00000,-97.00000,-1485.00000,14160.00000,-8500.00000,-1009.00000,-99.00000,-140.00000,-140.00000,234.00000,-9514.00000,489.00000,1345.00000,1834.00000,-1960.00000,-1960.00000,-1964.00000,-11789.00000,-13879.00000,-9233.00000,419.00000,-1964.00000
2012-12-31,7865.00000,7798.00000,-1123.00000,6675.00000,-823.00000,771.00000,314.00000,14854.00000,-5714.00000,-923.00000,-90.00000,2805.00000,2805.00000,2436.00000,-1486.00000,1663.00000,-544.00000,1119.00000,-2767.00000,-2767.00000,-1608.00000,-781.00000,-4037.00000,9331.00000,371.00000,-1608.00000
2011-12-31,5157.00000,14423.00000,1917.00000,16340.00000,-427.00000,-6705.00000,-7152.00000,14345.00000,-5307.00000,-954.00000,-6407.00000,142.00000,142.00000,18.00000,-12508.00000,-3216.00000,544.00000,-2672.00000,-1858.00000,-1858.00000,-1187.00000,-484.00000,-6201.00000,-4364.00000,344.00000,-1187.00000
2010-12-31,3668.00000,6803.00000,864.00000,7667.00000,-131.00000,-62.00000,-156.00000,11179.00000,-4961.00000,-536.00000,-183.00000,-161.00000,-161.00000,130.00000,-5711.00000,2267.00000,,2267.00000,-1166.00000,-1166.00000,-1064.00000,-192.00000,-155.00000,5313.00000,300.00000,-1064.00000
2009-12-31,3628.00000,6849.00000,1112.00000,7961.00000,-84.00000,-1088.00000,-1308.00000,10281.00000,-5117.00000,-522.00000,-88.00000,-244.00000,-244.00000,74.00000,-5897.00000,-3174.00000,,-3174.00000,-764.00000,-764.00000,-761.00000,-209.00000,-4908.00000,-524.00000,257.00000,-761.00000
