,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,6437.00000,1981.00000,2870.00000,4851.00000,-2594.00000,-549.00000,444.00000,-2699.00000,8589.00000,-1784.00000,491.00000,,-15.00000,-15.00000,-1.00000,-1309.00000,8800.00000,499.00000,9299.00000,-13973.00000,-13973.00000,-2370.00000,-5.00000,-7049.00000,215.00000,223.00000,-2370.00000
2022-01-31,8442.00000,1882.00000,1329.00000,3211.00000,-1413.00000,466.00000,-593.00000,-1540.00000,10113.00000,-1740.00000,,,228.00000,228.00000,-134.00000,-1646.00000,2854.00000,,2854.00000,-12880.00000,-12880.00000,-1984.00000,-6.00000,-12016.00000,-3557.00000,230.00000,-1984.00000
2021-01-31,5835.00000,1594.00000,2237.00000,3831.00000,-2967.00000,3211.00000,1139.00000,1383.00000,11049.00000,-1701.00000,,,-168.00000,-168.00000,-25.00000,-1894.00000,2311.00000,-941.00000,1370.00000,-4819.00000,-4819.00000,-1704.00000,-38.00000,-5191.00000,3974.00000,155.00000,-1704.00000
2020-01-31,4281.00000,1410.00000,845.00000,2255.00000,-600.00000,-637.00000,-1003.00000,-2240.00000,4296.00000,-1321.00000,,,-48.00000,-48.00000,,-1369.00000,2859.00000,220.00000,3079.00000,-4195.00000,-4195.00000,-1618.00000,-1.00000,-2735.00000,205.00000,98.00000,-1618.00000
2019-01-31,2314.00000,2559.00000,576.00000,3135.00000,-1289.00000,1720.00000,313.00000,744.00000,6193.00000,-1098.00000,,,20.00000,20.00000,-2.00000,-1080.00000,-326.00000,-415.00000,-741.00000,-2923.00000,-2923.00000,-1455.00000,-5.00000,-5124.00000,-77.00000,74.00000,-1455.00000
2018-01-31,3447.00000,1540.00000,574.00000,2114.00000,-791.00000,-92.00000,387.00000,-496.00000,5065.00000,-1078.00000,-509.00000,,133.00000,133.00000,13.00000,-1441.00000,119.00000,625.00000,744.00000,-3053.00000,-3053.00000,-1288.00000,-10.00000,-3607.00000,30.00000,99.00000,-1288.00000
2017-01-31,3093.00000,1590.00000,563.00000,2153.00000,-178.00000,653.00000,-104.00000,371.00000,5617.00000,-1130.00000,-2356.00000,,62.00000,62.00000,63.00000,-3361.00000,2094.00000,466.00000,2560.00000,-3456.00000,-3456.00000,-1121.00000,-75.00000,-2092.00000,153.00000,90.00000,-1121.00000
2016-01-31,2546.00000,1587.00000,673.00000,2260.00000,-582.00000,524.00000,36.00000,-22.00000,4784.00000,-1140.00000,,-50.00000,-125.00000,-175.00000,-28.00000,-1343.00000,1166.00000,43.00000,1209.00000,-3800.00000,-3800.00000,-957.00000,55.00000,-3493.00000,-61.00000,117.00000,-957.00000
2015-01-31,2698.00000,1586.00000,77.00000,1663.00000,170.00000,127.00000,271.00000,568.00000,4929.00000,-828.00000,,-15.00000,-241.00000,-256.00000,-4.00000,-1088.00000,1191.00000,-386.00000,805.00000,-3768.00000,-3768.00000,-822.00000,24.00000,-3761.00000,75.00000,119.00000,-822.00000
2014-01-31,2286.00000,1562.00000,54.00000,1616.00000,-396.00000,291.00000,314.00000,209.00000,4111.00000,-865.00000,-203.00000,-50.00000,-173.00000,-223.00000,5.00000,-1286.00000,938.00000,386.00000,1324.00000,-3545.00000,-3545.00000,-733.00000,-15.00000,-2969.00000,-150.00000,100.00000,-733.00000
2013-01-31,1959.00000,1623.00000,91.00000,1714.00000,-244.00000,303.00000,30.00000,89.00000,3762.00000,-1081.00000,,393.00000,-219.00000,174.00000,4.00000,-903.00000,1393.00000,,1393.00000,-4044.00000,-4044.00000,-704.00000,22.00000,-3333.00000,-473.00000,100.00000,-704.00000
2012-01-31,1839.00000,1579.00000,629.00000,2208.00000,-33.00000,-5.00000,340.00000,302.00000,4349.00000,-1777.00000,-100.00000,-1433.00000,1888.00000,455.00000,-15.00000,-1437.00000,956.00000,,956.00000,-2837.00000,-2837.00000,-647.00000,-21.00000,-2549.00000,362.00000,107.00000,-647.00000
2011-01-31,2010.00000,1684.00000,89.00000,1773.00000,-64.00000,60.00000,73.00000,69.00000,3852.00000,-1304.00000,,-2605.00000,1739.00000,-866.00000,-14.00000,-2184.00000,1433.00000,,1433.00000,-2514.00000,-2514.00000,-571.00000,1.00000,-1651.00000,20.00000,115.00000,-571.00000
2010-01-31,1783.00000,1733.00000,172.00000,1905.00000,-28.00000,175.00000,219.00000,366.00000,4054.00000,-1781.00000,,-1827.00000,1724.00000,-103.00000,-2.00000,-1886.00000,-27.00000,-1007.00000,-1034.00000,-376.00000,-376.00000,-391.00000,,-1801.00000,387.00000,102.00000,-391.00000
2009-01-31,2195.00000,1667.00000,261.00000,1928.00000,-611.00000,402.00000,208.00000,-1.00000,4122.00000,-3237.00000,,,67.00000,67.00000,-56.00000,-3226.00000,-558.00000,-57.00000,-615.00000,166.00000,166.00000,-491.00000,1.00000,-939.00000,-36.00000,95.00000,-491.00000
