,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1409.70000,1122.60000,38.70000,1161.30000,-342.10000,-171.30000,121.50000,51.10000,-340.80000,2060.70000,-2245.90000,-19.20000,-382.00000,-30.10000,-30.10000,34.80000,-2642.40000,1891.60000,-249.90000,1641.70000,-35.60000,-35.60000,-917.90000,-11.80000,676.40000,94.70000,-917.90000
2021-12-31,1298.50000,1074.30000,59.20000,1133.50000,-249.20000,-107.20000,126.90000,-77.30000,-306.80000,2032.70000,-2230.90000,0.00000,-119.90000,18.70000,18.70000,20.30000,-2311.80000,1056.20000,120.10000,1176.30000,-17.40000,-17.40000,-854.80000,-10.10000,294.00000,14.90000,-854.80000
2020-12-31,1201.40000,975.90000,99.80000,1075.70000,16.10000,21.20000,-61.30000,-27.80000,-51.80000,2196.00000,-2218.50000,0.00000,-604.50000,-2.80000,-2.80000,19.00000,-2806.80000,550.80000,946.10000,1496.90000,-55.40000,-55.40000,-798.00000,-42.40000,601.10000,-9.70000,-798.00000
2019-12-31,1134.70000,926.30000,94.10000,1020.40000,98.20000,-1.50000,1.50000,71.60000,169.80000,2345.50000,-2260.80000,,-230.60000,-52.40000,-52.40000,48.90000,-2494.90000,1522.40000,-609.30000,913.10000,-73.10000,-73.10000,-744.50000,-9.90000,85.60000,-63.80000,-744.50000
2018-12-31,1060.50000,845.80000,201.10000,1046.90000,23.50000,-8.80000,110.60000,-77.60000,47.70000,2445.50000,-2115.70000,,-289.30000,0.10000,0.10000,20.50000,-2384.40000,777.20000,-4.50000,772.70000,-43.30000,-43.30000,-697.30000,-5.70000,26.40000,87.50000,-697.30000
2017-12-31,1204.90000,798.60000,146.40000,945.00000,-86.40000,49.30000,8.50000,154.70000,126.10000,2078.60000,-1959.50000,,-202.00000,-104.60000,-104.60000,12.00000,-2254.10000,280.50000,584.40000,864.90000,-40.50000,-40.50000,-656.50000,-6.50000,161.40000,-14.10000,-656.50000
2016-12-31,940.20000,762.60000,418.50000,1181.10000,-180.70000,100.00000,34.40000,82.40000,36.10000,2103.80000,-1257.40000,,,-99.80000,-99.80000,3.00000,-1354.20000,94.00000,-234.80000,-140.80000,-66.40000,-66.40000,-624.90000,-13.60000,-845.70000,-96.10000,-624.90000
2015-12-31,640.30000,583.50000,286.70000,870.20000,84.00000,-69.40000,-9.30000,-13.10000,-7.80000,1293.60000,-1237.30000,,-1329.90000,-8.70000,-8.70000,58.40000,-2517.50000,1620.40000,163.00000,1783.40000,-44.60000,-97.30000,-455.40000,-18.90000,1211.80000,-12.10000,-455.40000
2014-12-31,589.50000,417.00000,305.70000,722.70000,80.70000,-71.20000,23.70000,-59.20000,-26.00000,1198.90000,-761.20000,,13.90000,-13.10000,-13.10000,3.60000,-756.80000,-74.30000,80.20000,5.90000,-72.90000,-72.90000,-352.00000,12.80000,-406.20000,35.90000,-352.00000
2013-12-31,578.60000,396.00000,289.90000,685.90000,-162.90000,31.30000,-14.80000,1.30000,-108.50000,1232.20000,-722.70000,,,-10.50000,-10.50000,-12.60000,-745.80000,-146.20000,142.80000,-3.40000,-174.90000,-174.90000,-328.90000,11.20000,-496.00000,-9.60000,-328.90000
2012-12-31,546.30000,371.70000,193.20000,564.90000,38.30000,21.30000,43.80000,6.40000,226.70000,1173.90000,-698.30000,,,27.10000,27.10000,-58.40000,-729.60000,231.50000,-275.30000,-43.80000,-103.40000,-103.40000,-276.30000,0.70000,-422.80000,21.50000,-276.30000
2011-12-31,526.20000,336.40000,153.20000,489.60000,30.10000,-2.90000,11.80000,49.50000,1.10000,993.40000,-789.30000,,,-43.80000,-43.80000,-59.40000,-892.50000,253.40000,12.00000,265.40000,-139.50000,-139.50000,-242.00000,4.80000,-111.30000,-10.40000,-242.00000
2010-12-31,456.50000,119.00000,205.70000,324.70000,-50.40000,-1.00000,21.30000,62.00000,-10.80000,810.40000,-729.50000,,,181.00000,181.00000,-85.00000,-633.50000,238.30000,-167.20000,71.10000,-65.70000,-65.70000,-187.00000,9.00000,-172.60000,4.30000,-187.00000
2009-12-31,382.40000,116.20000,99.80000,216.00000,111.10000,-34.60000,-119.10000,59.30000,60.10000,628.90000,-797.80000,,,166.10000,166.10000,-104.40000,-736.10000,40.40000,222.80000,263.20000,-12.60000,-12.60000,-157.80000,2.90000,95.70000,-11.50000,-157.80000
