,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,501.87200,283.80000,68.30500,352.10500,81.25400,-272.25300,212.56800,9.73200,-134.34200,722.22200,-422.54800,-1.90000,,,-424.44800,,332.53690,332.53690,-618.48000,-618.48000,-336.23000,1.46900,-620.70400,-332.14600,50.97800,-336.23000
2021-12-31,616.10800,259.93300,140.21800,400.15100,-32.65200,-120.27200,281.06400,-134.13500,103.98800,1112.26200,-287.31400,,,,-287.31400,,,,-906.20800,-906.20800,-160.92500,3.02100,-1064.11200,-233.56400,63.06700,-160.92500
2020-12-31,493.02100,250.08100,106.15600,356.23700,-59.01400,-101.44900,216.48800,-15.56900,118.96300,969.68800,-266.66700,-0.23000,,,-266.89700,,244.52400,244.52400,-469.69100,-469.69100,-56.34700,-4.48300,-285.99700,416.32700,45.27100,-56.34700
2019-12-31,486.89600,238.37100,78.01300,316.38400,-62.83700,-63.13000,245.78500,14.41800,61.94800,866.90900,-261.42000,-201.51900,,,-462.93900,-310.04700,-59.33900,-369.38600,-495.10100,-495.10100,-17.18500,-0.48100,-882.15300,-477.86200,37.43800,-17.18500
2018-12-31,423.84700,238.18400,59.67200,297.85600,-21.47100,-206.12500,285.49300,-64.70700,87.13000,811.02800,-191.82700,,,,-191.82700,,32.01400,32.01400,-278.15400,-278.15400,-17.81900,0.04400,-263.91500,349.59000,27.76000,-17.81900
2017-12-31,475.50500,249.26000,-98.89000,150.37000,36.04700,167.54800,-197.16800,-21.32500,-28.19300,600.80500,-178.65900,,,0.02000,-178.63900,,14.00400,14.00400,-2.42200,-2.42200,-17.85400,-8.60000,-14.87200,411.75900,35.26700,-17.85400
2016-12-31,459.62200,258.38700,46.66400,305.05100,-41.64200,-144.60300,-119.32500,16.89800,-239.33100,523.30300,-257.34700,,,-4.69700,-262.04400,,-165.57300,-165.57300,-13.86100,-13.86100,-17.73800,-19.94800,-217.12000,44.39600,20.45200,-17.73800
2015-12-31,473.39800,269.47600,40.59200,310.06800,-21.47600,-244.09600,119.16400,27.82300,-83.48200,702.64400,-234.47700,,,-18.88900,-253.36600,,-426.32200,-426.32200,-1.49100,-1.49100,-17.64900,-13.49200,-458.95400,-13.88900,36.92900,-17.64900
2014-12-31,493.82500,284.69300,72.96700,357.66000,-48.20900,-227.65700,216.41200,-56.80900,-145.12500,708.99100,-227.45400,,-2060.78300,,-2288.23700,,599.61890,599.61890,1.42400,1.42400,-17.58000,-7.55200,575.91100,-1007.80000,21.70500,-17.58000
2013-12-31,391.75800,207.79500,-3.76700,204.02800,-32.42800,-203.51300,113.49700,6.88300,-52.21500,545.25000,-175.97000,,-186.13700,,-362.10700,448.60500,-2.92600,445.67900,-77.18400,-77.18400,-17.57400,-19.70400,331.21700,514.36000,13.19100,-17.57400
2012-12-31,387.67000,189.54400,23.31100,212.85500,-89.48200,-260.29800,376.63100,16.96900,84.75600,685.28100,-264.60900,,-8.36900,,-272.97800,299.90400,-122.45900,177.44500,-18.60000,-18.60000,-17.59600,-13.34200,127.90700,540.21000,15.23600,-17.59600
2011-12-31,394.68200,175.94900,68.15500,244.10400,-15.37200,-179.28800,360.67800,38.84800,188.96500,828.84900,-266.84100,,-23.13300,,-289.97400,,121.62500,121.62500,-610.09300,-610.09300,-18.55400,-33.16100,-540.18300,-1.30800,19.55300,-18.55400
2010-12-31,346.05300,164.43700,62.08800,226.52500,-31.66700,-232.00300,325.83900,-8.40900,92.47500,666.15900,-199.35000,,,,-199.35000,298.76100,0.02800,298.78900,-580.28200,-580.28200,-21.05100,-205.07400,-507.61800,-40.80900,22.31100,-21.05100
2009-12-31,270.37300,150.91700,92.06000,242.97700,4.64300,-8.77900,174.94400,-5.60600,185.98000,699.69000,-185.53900,,,,-185.53900,,-262.56000,-262.56000,-64.66000,-64.66000,-22.80300,-101.46800,-451.49100,62.66000,19.68200,-22.80300
