,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2023-01-31,208.00000,5454.00000,3518.00000,8972.00000,-995.00000,528.00000,-1602.00000,-2069.00000,7111.00000,-798.00000,-439.00000,-752.00000,-752.00000,,-1989.00000,-423.00000,-423.00000,-3139.00000,-3139.00000,,-3562.00000,1552.00000,3279.00000
2022-01-31,1444.00000,4646.00000,1568.00000,6214.00000,-1824.00000,507.00000,-341.00000,-1658.00000,6000.00000,-717.00000,-14876.00000,1057.00000,1057.00000,,-14536.00000,6549.00000,6549.00000,1289.00000,1289.00000,,7838.00000,-731.00000,2779.00000
2021-01-31,4072.00000,3904.00000,-1983.00000,1921.00000,-1556.00000,1100.00000,-736.00000,-1192.00000,4801.00000,-710.00000,-1281.00000,-1980.00000,-1980.00000,,-3971.00000,-127.00000,-127.00000,1321.00000,1321.00000,,1194.00000,2050.00000,2190.00000
2020-01-31,126.00000,3011.00000,1524.00000,4535.00000,-1000.00000,982.00000,-312.00000,-330.00000,4331.00000,-643.00000,-369.00000,-1968.00000,-1968.00000,,-2980.00000,-676.00000,-676.00000,840.00000,840.00000,,164.00000,1476.00000,1785.00000
2019-01-31,1110.00000,1719.00000,741.00000,2460.00000,-923.00000,287.00000,464.00000,-172.00000,3398.00000,-595.00000,-5115.00000,402.00000,402.00000,,-5308.00000,1306.00000,1306.00000,704.00000,704.00000,,2010.00000,126.00000,1283.00000
2018-01-31,360.00000,1376.00000,978.00000,2354.00000,-719.00000,-39.00000,390.00000,24.00000,2738.00000,-534.00000,-25.00000,-1452.00000,-1452.00000,,-2011.00000,-429.00000,-429.00000,650.00000,650.00000,,221.00000,936.00000,997.00000
2017-01-31,323.00000,1133.00000,789.00000,1922.00000,-633.00000,35.00000,446.00000,-83.00000,2162.00000,-464.00000,-3193.00000,973.00000,973.00000,,-2684.00000,597.00000,597.00000,401.00000,401.00000,,998.00000,449.00000,820.00000
2016-01-31,-47.42600,872.29100,535.21900,1407.51000,-582.42500,253.98600,640.43600,311.99700,1672.08100,-284.47600,-58.68000,-967.71090,-967.71090,-177.01100,-1487.87800,-382.33000,-382.33000,455.48200,455.48200,,73.15200,250.24600,593.62800
2015-01-31,-262.68800,745.55800,559.46600,1305.02400,-544.61000,159.97300,523.74500,139.10800,1181.44400,-290.45400,38.07100,-542.78200,-542.78200,96.80500,-698.36000,-627.20000,-627.20000,308.98900,308.98900,,-318.21100,126.48200,564.76500
2014-01-31,-232.17500,613.55800,495.35000,1108.90800,-424.70200,-29.04300,452.48100,-1.26400,875.46900,-299.11000,-2617.30200,484.85710,484.85710,,-2431.55500,1369.15900,1369.15900,220.93100,220.93100,8.14400,1598.23400,34.39000,503.28000
2013-01-31,-270.44500,395.69900,364.41700,760.11600,-183.24200,193.35800,237.11000,247.22600,736.89700,-175.60100,-579.74500,-179.46590,-179.46590,-4.10600,-938.91800,-31.75400,-31.75400,351.36600,351.36600,14.93300,334.54500,139.96100,379.35000
2012-01-31,-11.57200,274.82800,223.24000,498.06800,-244.94700,80.33600,269.62200,105.01100,591.50700,-151.64500,-422.69900,104.30900,104.30900,-19.65500,-489.69000,-30.53300,-30.53300,116.56500,116.56500,-10.18200,75.85000,182.99200,229.25800
2011-01-31,69.69700,175.52600,84.43800,259.96400,-102.50700,133.25000,98.67700,129.42000,459.08100,-90.88700,-403.33100,-290.39200,-290.39200,-277.94400,-1062.55400,-10.35500,-10.35500,-11.56200,-11.56200,35.99100,14.07400,-587.01400,120.42900
2010-01-31,84.69200,117.79600,37.35300,155.14900,-54.52200,-1.58800,22.68200,31.07000,270.91100,-49.50100,-11.99900,-317.11600,-317.11600,,-378.61600,558.97500,558.97500,26.63900,26.63900,51.53900,637.15300,527.47200,88.89200
2009-01-31,48.03500,94.70300,24.55200,119.25500,-44.79800,8.51200,43.11300,62.26700,229.55700,-61.05900,-27.90700,-10.40900,-10.40900,,-99.37500,-0.99700,-0.99700,21.68900,21.68900,54.59700,75.28900,204.73900,77.36600
