,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2368.00000,919.00000,665.00000,1584.00000,-228.00000,-1121.00000,152.00000,-286.00000,-1483.00000,2469.00000,-828.00000,-481.00000,,,218.00000,-1091.00000,-1465.00000,,-1465.00000,,,-1960.00000,-289.00000,-3714.00000,-2405.00000,148.00000,-1960.00000
2021-12-31,1024.00000,903.00000,3031.00000,3934.00000,87.00000,-144.00000,408.00000,55.00000,406.00000,5364.00000,4109.00000,-74.00000,,,3.00000,4038.00000,-6202.00000,,-6202.00000,,,-1959.00000,-1183.00000,-9344.00000,28.00000,197.00000,-1959.00000
2020-12-31,361.00000,847.00000,3263.00000,4110.00000,-26.00000,-249.00000,207.00000,526.00000,458.00000,4929.00000,-596.00000,,,,74.00000,-522.00000,-1197.00000,,-1197.00000,,,-1958.00000,-176.00000,-3331.00000,1138.00000,156.00000,-1958.00000
2019-12-31,1933.00000,688.00000,1166.00000,1854.00000,140.00000,-307.00000,-58.00000,-10.00000,-235.00000,3552.00000,-768.00000,1676.00000,590.00000,590.00000,13.00000,1511.00000,-1828.00000,,-1828.00000,,,-1953.00000,-132.00000,-3913.00000,1144.00000,46.00000,-1953.00000
2018-12-31,-10254.00000,644.00000,14247.00000,14891.00000,-2280.00000,-251.00000,-23.00000,491.00000,-2063.00000,2574.00000,-808.00000,-248.00000,24.00000,24.00000,1320.00000,288.00000,277.00000,-429.00000,-152.00000,,,-3183.00000,-28.00000,-3363.00000,-633.00000,33.00000,-3183.00000
2017-12-31,10932.00000,703.00000,-7770.00000,-7067.00000,-2629.00000,-236.00000,441.00000,-940.00000,-3364.00000,501.00000,-1194.00000,,6.00000,6.00000,2365.00000,1177.00000,-1145.00000,-206.00000,-1351.00000,,,-2888.00000,18.00000,-4221.00000,-2486.00000,46.00000,-2888.00000
2016-12-31,3606.00000,990.00000,-453.00000,537.00000,-2055.00000,-130.00000,879.00000,-189.00000,-1495.00000,2648.00000,-1247.00000,,,,2699.00000,1452.00000,6896.00000,637.00000,7533.00000,,-8320.00000,-3764.00000,-69.00000,-4620.00000,-657.00000,46.00000,-3584.00000
2015-12-31,647.00000,975.00000,283.00000,1258.00000,-915.00000,25.00000,-119.00000,376.00000,-633.00000,1272.00000,-648.00000,-9468.00000,488.00000,488.00000,1319.00000,-8309.00000,2520.00000,,2520.00000,10000.00000,10000.00000,-2202.00000,-271.00000,10047.00000,2602.00000,133.00000,-1302.00000
2014-12-31,672.00000,524.00000,147.00000,671.00000,144.00000,153.00000,562.00000,-62.00000,797.00000,2140.00000,-399.00000,,,,50.00000,-349.00000,-1103.00000,,-1103.00000,,,-720.00000,3.00000,-1820.00000,-161.00000,8.00000,
2013-12-31,1027.00000,340.00000,-8.00000,332.00000,-103.00000,-49.00000,169.00000,14.00000,31.00000,1390.00000,-399.00000,,,,26.00000,-373.00000,-19.00000,1090.00000,1071.00000,,,-666.00000,-149.00000,256.00000,1146.00000,34.00000,-666.00000
2012-12-31,1642.00000,428.00000,934.00000,1362.00000,220.00000,21.00000,-241.00000,31.00000,31.00000,3035.00000,-422.00000,,,,,-422.00000,5963.00000,,5963.00000,,,,-7321.00000,-1358.00000,1255.00000,54.00000,
2011-12-31,1775.00000,364.00000,312.00000,676.00000,238.00000,-169.00000,226.00000,-82.00000,213.00000,2664.00000,-401.00000,,,,,-401.00000,-9.00000,,-9.00000,,,,-2256.00000,-2265.00000,-2.00000,51.00000,0.00000
2010-12-31,3534.00000,354.00000,-1561.00000,-1207.00000,-80.00000,-69.00000,-5.00000,-1345.00000,-1499.00000,828.00000,-448.00000,3698.00000,,,,3250.00000,-9.00000,,-9.00000,,,,-4069.00000,-4078.00000,0.00000,49.00000,
