,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,6244.80000,1522.50000,-668.40000,854.10000,-299.60000,-599.70000,1331.70000,-793.50000,-14.50010,7084.40000,-1854.30000,,-327.20000,14.00000,-258.00000,-244.00000,-836.10000,-3261.60000,-1560.00000,1498.00000,-62.00000,-1500.00000,-1500.00000,-3535.80000,-308.90000,-5406.70000,-1751.50000,371.10000,-3535.80000
2021-12-31,5581.70000,1547.60000,1154.00000,2701.60000,-1278.30000,-235.90000,-664.10000,1515.40000,-1022.60000,7260.70000,-1309.80000,,-747.40000,-36.10000,-129.90000,-166.00000,-539.10000,-2762.30000,505.40000,-4.00000,501.40000,-1250.00000,-1250.00000,-3086.80000,-295.90000,-4131.30000,161.40000,342.80000,-3086.80000
2020-12-31,6193.70000,1323.90000,-270.60000,1053.30000,-1350.20000,-533.40000,1271.30000,-457.10000,-747.39990,6499.60000,-1387.90000,,-849.30000,118.30000,398.40000,516.70000,-538.40000,-2258.90000,1785.80000,-1494.20000,291.60010,-500.00000,-500.00000,-2687.10000,-241.60000,-3137.10000,1319.60000,308.10000,-2687.10000
2019-12-31,8318.40000,1232.60000,-3027.20000,-1794.60000,-127.20000,-258.70000,-477.70000,-602.30000,-1687.20000,4836.60000,-1033.90000,,-6562.90000,93.90000,362.30000,456.20000,-942.30000,-8082.90000,3690.00000,995.40000,4685.40000,-4400.00000,-4400.00000,-2409.80000,-200.10000,-2324.50000,-5660.70000,312.40000,-2409.80000
2018-12-31,3232.00000,1609.00000,3062.20000,4671.20000,-996.70000,7.80000,-284.50000,-980.00000,-2378.70000,5524.50000,-1210.60000,,,2440.30000,2671.60000,5111.90000,-1995.30000,1906.00000,1468.60000,-2197.90000,-729.29990,-2491.00000,-2491.00000,-2311.80000,-372.80000,-5904.90000,1462.00000,279.50000,-2311.80000
2017-12-31,-204.10000,1567.30000,1047.50000,2614.80000,-357.00000,-253.90000,916.30000,-590.10000,3204.90000,5615.60000,-1076.80000,,-882.10000,1462.80000,-2025.60000,-562.80000,-1261.90000,-3783.60000,1601.40000,1397.50000,2998.90000,-299.80000,-299.80000,-2192.10000,-364.40000,142.60000,1954.10000,281.30000,-2192.10000
2016-12-31,2737.60000,1496.60000,1100.90000,2597.50000,-709.40000,-328.20000,1123.80000,-265.50000,-484.10000,4851.00000,-963.60000,,-45.00000,314.60000,-2260.00000,-1945.40000,-185.10000,-3139.10000,1206.40000,1293.20000,2499.60000,-600.10000,-600.10000,-2158.50000,-300.80000,-559.80000,915.70000,255.30000,-2158.50000
2015-12-31,2408.40000,1427.70000,267.70000,1695.40000,-304.50000,-736.30000,207.90000,-288.50000,-1139.20000,2964.60000,-973.60000,410.00000,-5283.10000,1319.60000,-158.10010,1161.50000,4712.00000,26.80000,2499.00000,-2680.60000,-181.59990,-749.50000,-749.50000,-2127.30000,-52.60000,-3111.00000,-205.20000,217.80000,-2127.30000
2014-12-31,2390.50000,1379.00000,1014.40000,2393.40000,117.40000,-307.10000,-809.00000,673.20000,-325.50000,4458.40000,-1147.30000,-308.30000,-551.40000,2416.30000,1206.70000,3623.00000,-5525.10000,-3909.10000,-41.90000,2680.60000,2638.70000,-800.00000,-800.00000,-2101.20000,96.10000,-166.40000,41.40000,156.00000,-2101.20000
2013-12-31,4684.80000,1445.60000,-2.40000,1443.20000,-152.70000,-286.50000,-70.30000,116.50000,-393.00000,5735.00000,-832.70000,-24.10000,-43.70000,1789.10000,-2806.90000,-1017.80000,-154.50000,-2072.80000,-10.50000,,-10.50000,-1698.10000,-1698.10000,-2120.70000,,-3829.30000,-188.60000,144.90000,-2120.70000
2012-12-31,4088.60000,1462.20000,-194.80000,1267.40000,361.80000,-307.90000,-336.10000,231.00000,-51.20000,5304.80000,-883.40000,-138.80000,-199.30000,375.10000,-3262.90000,-2887.80000,1276.50000,-2832.80000,-1511.10000,,-1511.10000,-721.10000,-721.10000,-2187.40000,,-4419.60000,-1903.70000,141.50000,-2187.40000
2011-12-31,4347.70000,1373.60000,264.80000,1638.40000,-188.80000,203.10000,591.40000,642.70000,1248.40000,7234.50000,-646.70000,-632.90000,-307.80000,-250.90000,-2485.90000,-2736.80000,-500.20000,-4824.40000,-61.70000,-134.10000,-195.80000,,,-2180.10000,6.00000,-2369.90000,-70.70000,147.40000,-2180.10000
2010-12-31,5069.50000,1328.20000,644.60000,1972.80000,-319.10000,157.00000,-363.90000,340.50000,-185.50000,6856.80000,-669.70000,-442.40000,-609.40000,-686.50000,-482.49990,-1169.00000,-269.30000,-3159.80000,-1.10000,125.10000,124.00000,,,-2165.30000,19.40000,-2021.90000,1530.30000,231.00000,-2165.30000
2009-12-31,4328.80000,1297.80000,-334.20000,963.60010,-492.90000,-179.00000,-200.10000,-84.90000,-956.90000,4335.50000,-747.30000,,,399.10000,675.50010,1074.60000,-184.50000,142.80000,2400.00000,-5824.20000,-3424.20000,,,-2152.10000,42.60000,-5533.70000,-1033.80000,368.50000,-2152.10000
