,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,340.66000,67.85500,362.61600,430.47100,-28.57900,-67.50400,105.43600,-30.73900,198.81000,969.94100,-77.83300,,-0.70900,,-0.70900,-78.54200,-2.86200,-2.86200,61.11500,61.11500,-59.04700,-0.79400,893.96000,188.42000
2021-12-31,948.58100,57.84400,-242.36800,-184.52400,-134.30600,-20.96500,73.34300,-64.08000,-14.56900,749.48800,-181.00600,,-3.65600,-23.03700,-26.69300,-207.69900,-2.41700,-2.41700,58.62600,58.62600,-50.03300,6.17600,544.39500,183.00600
2020-12-31,-295.69700,51.80700,191.03200,242.83900,-173.18500,-19.46800,15.12000,-8.05000,-71.74100,-124.59900,-187.37900,,-3.40400,-78.21800,-81.62200,-269.00100,-0.83600,-0.83600,133.06400,133.06400,-60.51900,71.70900,-318.94200,177.87700
2019-12-31,446.90600,54.53300,151.92200,206.45500,-1.21100,-6.10000,-20.18000,5.74400,57.29500,710.65600,-78.06400,,-9.39000,,-9.39000,-87.45400,-0.82200,-0.82200,80.05000,80.05000,-33.51700,45.71100,668.72100,166.58900
2018-12-31,109.49300,54.96900,218.30400,273.27300,-41.29900,4.04300,36.15600,-33.41200,-46.53900,336.22700,-73.48300,,-4.00400,-8.93600,-12.94000,-86.42300,,,29.94200,29.94200,-15.28500,14.65700,264.55200,148.15300
2017-12-31,-313.14200,52.17800,232.20500,284.38300,-117.54100,4.85100,-7.92800,-31.36700,-64.22900,-92.98800,-111.02100,,-115.06600,-123.89100,-238.95700,-349.97800,,,716.15100,716.15100,-25.94100,690.21000,247.20500,133.05500
2016-12-31,104.22200,58.42500,117.35600,175.78100,-23.94700,4.04700,43.75800,-25.58100,24.75300,304.75600,-120.27700,-142.85600,30.64500,,30.64500,-232.48800,,,49.97300,49.97300,-5.35100,44.62200,116.88100,96.20100
2015-12-31,6.53100,44.88300,72.84100,117.72400,-56.51700,0.09800,5.62300,-9.29600,-34.84700,89.40800,-26.00300,,-39.17800,-39.82900,-79.00700,-105.01000,,,86.43600,86.43600,-1.69200,84.74400,69.14200,69.87200
2014-12-31,-48.48100,41.41300,62.44300,103.85600,-22.55900,-4.09300,5.36000,-43.35700,-29.11900,26.25600,-27.87600,,-110.56300,,-110.56300,-138.43900,,,92.84400,92.84400,0.21300,93.05700,-19.13200,62.15600
2013-12-31,-83.14700,29.20700,67.60200,96.80900,35.57700,-6.59000,5.14100,-65.79900,-4.48200,9.18000,-4.26700,,-33.13000,,-33.13000,-37.39700,228.70200,228.70200,73.15700,73.15700,-26.27000,275.58900,247.37200,38.39800
2012-12-31,-44.32000,29.97900,37.94100,67.92000,-64.53600,-5.21700,-0.97800,-52.36700,-118.43000,-94.83000,-2.83900,,0.85100,,0.85100,-1.98800,,,47.71100,47.71100,,47.71100,-49.10700,38.49300
2011-12-31,-186.54000,26.99000,29.08000,56.07000,-0.71400,-3.53600,4.16600,-46.79400,-31.24500,-161.71500,-3.79900,,1.29800,,1.29800,-2.50100,,,19.46800,19.46800,,19.46800,-144.74800,28.98300
2010-12-31,-31.84600,24.48500,18.28200,42.76700,157.96000,,-10.19100,-51.48500,87.01700,97.93800,-4.10900,,19.31300,,19.31300,15.20400,-158.64400,-158.64400,13.59000,13.59000,,-145.05400,-31.91200,14.85600
2009-12-31,-211.87000,16.69000,53.35700,70.04700,-162.61100,,5.28500,309.09100,154.18100,12.35800,-0.38700,,16.83900,,16.83900,16.45200,164.08000,164.08000,134.39700,134.39700,-56.22300,242.25400,271.05700,9.98000
