,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1644.81700,378.95900,333.43700,712.39600,-38.16500,-186.96300,216.47900,-25.73200,-29.37600,2327.83700,-519.48100,,,,-275.53400,-275.53400,7.63900,-787.37600,-4.74100,-245.63300,-250.37400,-354.80600,-354.80600,-775.03000,-35.51500,-1415.72500,134.62300,65.99100,-775.03000
2021-12-31,1482.81900,315.00200,238.75700,553.75900,-14.64200,21.45700,39.73200,29.44100,46.30600,2082.88400,-495.87700,,-1601.07300,,-128.41700,-128.41700,2.53900,-2222.82800,-439.44400,869.03000,429.58600,-408.12500,-408.12500,-685.98700,-16.61000,-681.13600,-814.72100,66.71100,-685.98700
2020-12-31,1275.41300,294.90700,320.98500,615.89200,-55.53700,-151.91800,41.47000,-9.50500,-191.64800,1699.65700,-441.62600,,,,-87.21100,-87.21100,-2.44300,-531.28000,285.40900,41.75900,327.16800,-164.82400,-164.82400,-640.73200,-20.84000,-499.22800,650.72500,57.58400,-640.73200
2019-12-31,1146.75200,291.54400,237.06100,528.60500,40.25200,-21.19400,41.10100,37.90100,88.51600,1763.87300,-318.19200,,-402.16000,,-80.23000,-80.23000,20.10200,-780.48000,983.46700,-1168.20500,-184.73800,-286.40500,-286.40500,-610.31200,,-1081.45500,-94.73600,51.89900,-610.31200
2018-12-31,1171.05100,295.14400,205.01300,500.15700,8.58500,-12.74600,-100.25200,-42.37000,-71.21500,1599.99300,-278.84200,,-1171.41100,,-52.64100,-52.64100,,-1502.89400,289.00100,645.80500,934.80600,-184.17700,-184.17700,-562.52100,-72.00000,116.10800,207.81900,49.28600,-562.52100
2017-12-31,756.53700,470.56500,156.71000,627.27500,-6.88100,-71.40400,-52.96000,67.97500,-134.29700,1249.51500,-250.06600,,,,-78.59800,-78.59800,,-328.66400,0.95400,-81.42600,-80.47200,-237.02400,-237.02400,-526.27200,,-843.76800,83.21200,51.06100,-526.27200
2016-12-31,720.04400,306.04100,43.19800,349.23900,21.09600,13.96500,-63.46700,-26.51200,-55.85500,1013.42800,-265.82500,,-285.37400,,-44.25500,-44.25500,,-595.45400,292.95300,275.60700,568.56000,-497.71900,-497.71900,-499.47500,-35.76200,-464.39600,-49.56200,54.78500,-499.47500
2015-12-31,512.95100,525.73000,56.00500,581.73500,-24.44000,52.04900,9.57400,87.59400,161.62500,1256.31100,-355.60500,,-186.24600,95.31600,-30.72000,64.59600,,-477.25500,243.58500,10.72000,254.30500,-526.92000,-526.92000,-476.13200,-48.27000,-797.01700,-28.32500,51.53300,-476.13200
2014-12-31,846.91200,227.43200,-44.77000,182.66200,-67.46400,-88.49700,-59.10200,29.86600,-185.19700,844.37700,-369.17700,,-396.26500,-97.13100,,-97.13100,,-862.57300,1.60900,117.51500,119.12400,-454.44900,-454.44900,-440.41400,56.43700,-719.30200,-743.65400,54.06800,-440.41400
2013-12-31,820.47000,201.03300,-44.18500,156.84800,-16.52900,-26.27900,102.41100,154.47800,214.08100,1191.39900,-335.58000,,,,-16.00000,-16.00000,,-351.58000,-0.16600,54.35100,54.18500,-158.30900,-158.30900,-393.80100,51.33600,-446.58900,390.23600,53.96700,-393.80100
2012-12-31,660.93100,210.03700,24.32700,234.36400,-50.47000,26.59800,69.64500,153.75900,199.53200,1094.82700,-277.51300,,-172.85600,0.00000,-23.00000,-23.00000,,-473.36900,-95.35600,77.69800,-17.65800,-249.03300,-249.03300,-356.99700,36.81600,-586.87200,34.58600,50.48200,-356.99700
2011-12-31,628.96200,215.76300,54.99900,270.76200,-9.43800,-115.33100,7.86000,-194.94800,-311.85700,587.86700,-347.25500,20.00000,-5.75000,,-7.00000,-7.00000,,-340.00500,-7.06300,10.83400,3.77100,-200.10400,-200.10400,-304.08300,61.59800,-438.81800,-190.95600,43.46800,-304.08300
2010-12-31,509.79900,197.11600,63.81000,260.92600,20.32900,-13.91000,90.43400,33.84500,130.69800,901.42300,-199.28600,0.00000,,,,,,-199.28600,276.66000,1.15600,277.81600,-77.06600,-77.06600,-283.43400,11.58400,-71.10000,631.03700,49.46800,-283.43400
2009-12-31,435.99400,182.41100,-3.74000,178.67100,46.58400,74.00000,37.22800,293.27200,451.08400,1065.74900,-135.10600,0.00000,-15.22000,,,,,-150.32600,-8.25200,-458.04700,-466.29900,19.00400,19.00400,-263.40300,11.77700,-698.92100,216.50200,34.92700,-263.40300
