,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1893.00000,81.00000,1137.00000,1218.00000,20.00000,26.00000,319.00000,3430.00000,-25.00000,,-1.00000,,-1.00000,-2.00000,-28.00000,,,-1412.00000,-1412.00000,723.00000,-689.00000,2376.00000,930.00000
2021-12-31,-352.00000,138.00000,1766.00000,1904.00000,40.00000,433.00000,761.00000,2313.00000,-25.00000,,-1327.00000,,-1327.00000,,-1352.00000,-329.00000,-329.00000,189.00000,189.00000,1448.00000,1308.00000,2059.00000,899.00000
2020-12-31,-4585.00000,126.00000,4114.00000,4240.00000,-73.00000,-243.00000,-395.00000,-740.00000,-37.00000,,125.00000,,125.00000,-8.00000,80.00000,1924.00000,1924.00000,3666.00000,3666.00000,-2539.00000,3051.00000,2525.00000,3003.00000
2019-12-31,-674.33900,114.16200,162.52200,276.68400,75.71600,-2.98800,620.38200,222.72700,-125.45200,-192.11600,144.93000,-208.18200,-63.25200,33.66500,-347.15500,,,5.87300,5.87300,848.70600,854.57900,704.86700,97.54700
2018-12-31,-16.86000,82.40100,108.98700,191.38800,29.83700,43.08700,421.02900,595.55700,-90.62400,-31.30000,-514.10700,-28.85000,-542.95700,-3.29000,-668.17100,,,16.04300,16.04300,124.47300,140.51600,-91.01700,53.89300
2017-12-31,-70.04600,78.33100,59.73800,138.06900,11.75800,-3.36400,183.20200,251.22500,-100.20400,-172.64900,-512.09090,-4.00000,-516.09090,,-788.94400,,,1.00700,50.87200,622.08200,672.95400,362.40700,38.35700
