,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,5825.00000,560.00000,1789.00000,2349.00000,6155.00000,6155.00000,21119.00000,12257.00000,25646.00000,25646.00000,-30403.00000,7500.00000,1806.00000,15213.00000,17019.00000,-48.00000,-711.00000,-3075.00000,-17215.00000,-3982.00000,24637.00000,-2776.00000
2021-12-31,7963.00000,497.00000,-1571.00000,-1074.00000,553.00000,553.00000,9870.00000,-661.00000,-41748.00000,-41748.00000,-15078.00000,-57487.00000,-8806.00000,30.00000,-8776.00000,-1512.00000,-541.00000,-2887.00000,26146.00000,13942.00000,-33675.00000,-2579.00000
2020-12-31,4959.00000,527.00000,3462.00000,3989.00000,-4174.00000,-4174.00000,3716.00000,-556.00000,-11782.00000,-11782.00000,-3102.00000,-15440.00000,25.00000,-11957.00000,-11932.00000,-1657.00000,-1171.00000,-2852.00000,67854.00000,51899.00000,40175.00000,-2552.00000
2019-12-31,6914.00000,502.00000,1035.00000,1537.00000,-4020.00000,-4020.00000,4889.00000,,-9488.00000,-9488.00000,-12072.00000,-21560.00000,-1220.00000,9584.00000,8364.00000,-4437.00000,-4437.00000,-2745.00000,16441.00000,17623.00000,952.00000,-2443.00000
2018-12-31,7096.00000,467.00000,869.00000,1336.00000,1122.00000,1122.00000,10564.00000,,-622.00000,-622.00000,-8355.00000,-8977.00000,9150.00000,-2512.00000,6638.00000,-2736.00000,-2171.00000,-2366.00000,-1740.00000,361.00000,1948.00000,-2092.00000
2017-12-31,6218.00000,468.00000,888.00000,1356.00000,947.00000,947.00000,6472.00000,,-3086.00000,-3086.00000,-9040.00000,-12126.00000,-1083.00000,2688.00000,1605.00000,-2472.00000,-2564.00000,-2212.00000,12625.00000,9454.00000,3800.00000,-1928.00000
2016-12-31,5888.00000,470.00000,707.00000,1177.00000,-2216.00000,-2216.00000,5336.00000,,-4620.00000,-4620.00000,-13338.00000,-17958.00000,1220.00000,-13914.00000,-12694.00000,-2201.00000,-2201.00000,-2077.00000,34152.00000,17180.00000,4558.00000,-1810.00000
2015-12-31,5879.00000,481.00000,729.00000,1210.00000,906.00000,906.00000,8782.00000,,-5084.00000,-5084.00000,-16066.00000,-21150.00000,-244.00000,-2016.00000,-2260.00000,-1895.00000,-1150.00000,-2019.00000,18290.00000,12861.00000,493.00000,-1777.00000
2014-12-31,5851.00000,501.00000,634.00000,1135.00000,-1697.00000,-1697.00000,5332.00000,3436.00000,-20183.00000,-20183.00000,-13065.00000,-29812.00000,12266.00000,2285.00000,14551.00000,-1747.00000,-1747.00000,-1969.00000,15822.00000,26657.00000,2177.00000,-1726.00000
2013-12-31,5836.00000,520.00000,1266.00000,1786.00000,3939.00000,3939.00000,11446.00000,-58.00000,-6683.00000,-6683.00000,-14283.00000,-21024.00000,-842.00000,1306.00000,464.00000,-1758.00000,-1771.00000,-1830.00000,12940.00000,9803.00000,225.00000,-1576.00000
2012-12-31,5647.00000,561.00000,1640.00000,2201.00000,-1806.00000,-1806.00000,7958.00000,94.00000,-3082.00000,-3082.00000,-17265.00000,-20253.00000,-6449.00000,-4167.00000,-10616.00000,-1461.00000,702.00000,-1551.00000,18050.00000,6585.00000,-5710.00000,-1347.00000
2011-12-31,4872.00000,565.00000,3066.00000,3631.00000,868.00000,868.00000,9820.00000,636.00000,-16594.00000,-16594.00000,-16746.00000,-32704.00000,311.00000,-2205.00000,-1894.00000,-334.00000,342.00000,-935.00000,24846.00000,22359.00000,-525.00000,-817.00000
2010-12-31,3317.00000,596.00000,4015.00000,4611.00000,-4182.00000,-4182.00000,5241.00000,923.00000,-7588.00000,-7588.00000,-9707.00000,-16372.00000,-1350.00000,592.00000,-758.00000,119.00000,119.00000,-472.00000,20523.00000,19412.00000,8281.00000,-383.00000
2009-12-31,2205.00000,607.00000,3441.00000,4048.00000,-805.00000,-805.00000,7600.00000,3074.00000,-2022.00000,-2022.00000,-1771.00000,-719.00000,-5700.00000,-4448.00000,-10148.00000,2564.00000,-4035.00000,-1300.00000,7949.00000,-7534.00000,-653.00000,-1025.00000
