,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2372.90700,717.07300,-260.64700,456.42610,-24.23400,36.72200,79.11600,61.92600,26.91100,3092.10000,-2727.30200,-984.30900,2124.91000,2124.91000,-7200.33800,-8787.03900,-139.93800,-139.93800,18.13200,18.13200,,-69.53400,-191.34000,-5886.27900,71.45000,
2021-12-31,2455.94600,724.85200,639.61200,1364.46400,209.45600,-167.98500,101.03400,-162.56400,112.56300,4031.25100,-1185.64200,-777.88500,-2617.69000,-2617.69000,170.80400,-4410.41300,4660.12400,4660.12400,58.30300,58.30300,,-58.99900,4659.42800,4280.26600,51.68000,
2020-12-31,1873.93600,714.55200,1370.98900,2085.54100,-25.17200,58.29100,73.26800,-516.38600,-652.43600,3311.77600,-413.30200,-779.20400,42.14910,42.14910,-2711.21500,-3861.57200,1799.46400,1799.46400,27.41400,27.41400,,-327.40800,1499.47000,949.67400,64.95400,
2019-12-31,1492.56900,630.57700,240.70500,871.28210,49.18300,-79.54200,46.89200,322.12700,206.07900,2662.40100,-581.08100,,770.10790,770.10790,-906.86300,-717.83600,-1358.92000,-1358.92000,1034.84300,1034.84300,,-4.09200,-328.16900,1616.39600,14.26200,
2018-12-31,1655.49100,712.02400,477.78200,1189.80600,14.72400,14.78800,-160.95200,-148.25400,-256.55600,2517.84100,-393.93800,,-673.68000,-673.68000,-907.65500,-1975.27300,-1151.25600,-1151.25600,19.98100,19.98100,,-3.27000,-1134.54500,-591.97700,36.26100,
2017-12-31,2165.40700,817.56400,-412.99900,404.56500,126.84800,37.89500,-131.39900,-98.31300,239.16700,2779.50700,-431.79500,-953.49800,-450.48200,-450.48200,-4685.77800,-6521.55300,-116.56100,-116.56100,28.57400,28.57400,,-15.25000,-103.23700,-3845.28300,29.94100,
2016-12-31,1550.78500,921.20200,396.18700,1317.38900,109.36400,-43.15700,33.97600,-8.70500,-23.50000,2854.24700,-614.05500,-724.32900,523.58200,523.58200,-922.26790,-1737.07000,3196.97900,3196.97900,18.62500,18.62500,,-61.67400,3153.93000,4271.10700,13.03700,
2015-12-31,842.02600,963.35700,83.61200,1046.96900,66.60600,96.31800,67.08600,98.74200,550.38000,2459.12300,-734.99800,,1606.90400,1606.90400,-8933.98900,-8062.08400,-686.84700,-686.84700,33.86800,33.86800,,204.77900,-448.20000,-6051.16100,19.19900,
2014-12-31,928.90200,1077.93600,236.82500,1314.76100,0.21700,0.38000,-212.66400,76.04100,27.68900,2378.12400,-1001.86100,,2934.61500,2934.61500,-2895.83100,-963.07700,868.34800,868.34800,50.93400,50.93400,,60.98500,980.26700,2395.31400,34.15300,
2013-12-31,789.74600,1054.02600,218.58200,1272.60800,-97.22800,-12.65400,109.05200,-21.37600,141.77200,2272.46500,-1116.57300,,-1356.49700,-1356.49700,-548.01400,-3021.08400,1762.13100,1762.13100,76.51200,76.51200,,12.86200,1851.50500,1103.04200,29.73000,
2012-12-31,625.74000,964.48400,283.49200,1247.97600,-66.64800,85.32100,144.93900,15.57200,129.91800,2011.87500,-945.33400,,-1924.80300,-1924.80300,-149.07700,-3019.21400,4363.91000,4363.91000,94.85200,94.85200,-452.89000,-3.38800,4002.48400,2997.03200,39.32700,-452.89000
2011-12-31,1515.57800,912.20300,574.78600,1486.98900,17.14400,-61.80900,-47.34000,-248.75700,-473.69200,2573.87800,-760.15800,-233.58400,-336.33840,-336.33840,-1365.24800,-2695.32800,967.76400,967.76400,,39.99500,-893.27800,-20.48400,93.99700,-31.56400,31.21300,-893.27800
2010-12-31,984.73200,983.96500,196.36200,1180.32700,-17.46000,-229.15400,-12.32600,-133.79300,-42.97800,2139.80200,-1113.21900,,-258.56250,-258.56250,-105.74000,-1477.52100,-26.91000,-26.91000,-100.55900,-100.55900,,0.01600,-127.45300,534.82800,15.38700,0.00000
2009-12-31,635.40300,940.03300,31.83300,971.86600,39.75900,51.41100,-60.50800,-11.54400,574.62000,2194.54300,-1037.19000,,-1509.81600,-1509.81600,-58.55000,-2605.55600,1348.69900,1348.69900,-13.17600,-13.17600,-894.15000,-23.09000,418.28300,7.27000,12.22700,-894.15000
